,Home,,Away,
13,Qatar,21,Ecuador,66
68,England,20,Iran,12
15,Senegal,21,Netherlands,64
47,United States,29,Wales,23
79,Argentina,15,Saudi Arabia,5
54,Denmark,26,Tunisia,20
38,Mexico,26,Poland,36
74,France,16,Australia,10
43,Morocco,29,Croatia,28
46,Germany,29,Japan,25
85,Spain,10,Costa Rica,4
74,Belgium,17,Canada,9
62,Switzerland,22,Cameroon,16
58,Uruguay,23,Korea Republic,19
74,Portugal,15,Ghana,11
77,Brazil,15,Serbia,7
25,Wales,28,Iran,47
15,Qatar,23,Senegal,61
61,Netherlands,22,Ecuador,17
64,England,22,United States,14
35,Tunisia,28,Australia,37
52,Poland,27,Saudi Arabia,20
55,France,23,Denmark,22
68,Argentina,19,Mexico,12
60,Japan,24,Costa Rica,16
36,Belgium,31,Morocco,34
66,Croatia,20,Canada,14
60,Spain,20,Germany,20
17,Cameroon,23,Serbia,59
48,Korea Republic,23,Ghana,29
76,Brazil,16,Switzerland,8
48,Portugal,26,Uruguay,26
38,Ecuador,30,Senegal,32
88,Netherlands,8,Qatar,4
34,Iran,28,United States,38
8,Wales,18,England,75
21,Australia,23,Denmark,56
10,Tunisia,18,France,71
19,Saudi Arabia,28,Mexico,53
12,Poland,18,Argentina,70
11,Canada,24,Morocco,66
28,Croatia,24,Belgium,48
11,Costa Rica,17,Germany,72
15,Japan,21,Spain,64
11,Korea Republic,15,Portugal,74
14,Ghana,22,Uruguay,64
3,Cameroon,12,Brazil,86
36,Serbia,23,Switzerland,41
59,Netherlands,22,United States,19
72,Argentina,17,Australia,10
72,France,17,Poland,11
69,England,20,Senegal,11
29,Japan,26,Croatia,45
83,Brazil,12,Korea Republic,5
27,Morocco,29,Spain,44
66,Portugal,18,Switzerland,16
13,Croatia,21,Brazil,66
28,Netherlands,24,Argentina,48
30,Morocco,29,Portugal,40
37,England,26,France,37
57,Argentina,23,Croatia,20
44,France,29,Morocco,27
28,Croatia,29,Morocco,43
38,Argentina,26,France,37
