proba,teama,probx,teamb,probb
0.24,"Qatar",0.26,"Ecuador",0.5
0.63,"England",0.25,"Iran",0.12
0.22,"Senegal",0.27,"Netherlands",0.51
0.45,"USA",0.29,"Wales",0.26
0.72,"Argentina",0.2,"Saudi Arabia",0.08
0.5,"Denmark",0.29,"Tunisia",0.21
0.42,"Mexico",0.3,"Poland",0.28
0.69,"France",0.21,"Australia",0.1
0.32,"Morocco",0.29,"Croatia",0.39
0.6,"Germany",0.23,"Japan",0.17
0.76,"Spain",0.18,"Costa Rica",0.06
0.49,"Belgium",0.26,"Canada",0.25
0.5,"Switzerland",0.28,"Cameroon",0.22
0.53,"Uruguay",0.28,"South Korea",0.19
0.7,"Portugal",0.21,"Ghana",0.09
0.68,"Brazil",0.21,"Serbia",0.11
0.39,"Wales",0.31,"Iran",0.3
0.21,"Qatar",0.27,"Senegal",0.52
0.49,"Netherlands",0.29,"Ecuador",0.22
0.54,"England",0.26,"USA",0.2
0.39,"Tunisia",0.32,"Australia",0.29
0.41,"Poland",0.3,"Saudi Arabia",0.29
0.51,"France",0.27,"Denmark",0.22
0.51,"Argentina",0.29,"Mexico",0.2
0.6,"Japan",0.25,"Costa Rica",0.15
0.41,"Belgium",0.28,"Morocco",0.31
0.41,"Croatia",0.3,"Canada",0.29
0.46,"Spain",0.26,"Germany",0.28
0.24,"Cameroon",0.3,"Serbia",0.46
0.44,"South Korea",0.33,"Ghana",0.23
0.64,"Brazil",0.24,"Switzerland",0.12
0.44,"Portugal",0.3,"Uruguay",0.26
0.78,"Netherlands",0.15,"Qatar",0.07
0.37,"Ecuador",0.33,"Senegal",0.3
0.31,"Iran",0.31,"USA",0.38
0.14,"Wales",0.26,"England",0.6
0.11,"Tunisia",0.24,"France",0.65
0.2,"Australia",0.28,"Denmark",0.52
0.15,"Poland",0.27,"Argentina",0.58
0.23,"Saudi Arabia",0.31,"Mexico",0.46
0.29,"Canada",0.31,"Morocco",0.4
0.39,"Croatia",0.28,"Belgium",0.33
0.05,"Costa Rica",0.15,"Germany",0.8
0.14,"Japan",0.25,"Spain",0.61
0.16,"Ghana",0.27,"Uruguay",0.57
0.17,"South Korea",0.24,"Portugal",0.59
0.31,"Serbia",0.29,"Switzerland",0.4
0.04,"Cameroon",0.15,"Brazil",0.81
0.66,"Netherlands",0,"USA",0.34
0.83,"Argentina",0,"Australia",0.17
0.81,"France",0,"Poland",0.19
0.68,"England",0,"Senegal",0.32
0.45,"Japan",0,"Croatia",0.55
0.83,"Brazil",0,"South Korea",0.17
0.27,"Morocco",0,"Spain",0.73
0.62,"Portugal",0,"Switzerland",0.38
0.23,"Croatia",0,"Brazil",0.77
0.42,"Netherlands",0,"Argentina",0.58
0.32,"Morocco",0,"Portugal",0.68
0.52,"England",0,"France",0.48
0.64,"Argentina",0,"Croatia",0.36
0.66,"France",0,"Morocco",0.34
0.53,"Croatia",0,"Morocco",0.47
0.53,"Argentina",0,"France",0.47
