Player,#,Pos,Age,Club,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att,-9999
Mohamed Kanno,23,FWCM,28-069,1.sa Al-Hilal,90,0,0,0,0,2,0,0,0,47,3,0,1,0.1,0.1,0.0,2,0,23,31,74.2,1,1,3,74ccf212
Saleh Al-Shehri,11,FW,29-029,1.sa Al-Hilal,61,0,0,0,0,1,1,1,0,28,0,0,1,0.0,0.0,0.0,1,0,8,17,47.1,0,0,1,f4377d0f
Abdulrahman Al-Aboud,20,AMWB,27-182,1.sa Al-Ittihad,29,0,0,0,0,0,0,0,0,13,2,0,0,0.0,0.0,0.0,1,0,6,7,85.7,1,0,2,9bf54a3b
Salem Al-Dawsari,10,LMAM,31-103,1.sa Al-Hilal,90,1,0,0,0,2,1,0,0,31,2,0,0,0.7,0.7,0.1,6,1,13,21,61.9,3,0,1,60ee859c
Saud Abdulhamid,12,CMWBLB,23-135,1.sa Al-Hilal,90,0,0,0,0,0,0,0,0,39,1,1,1,0.0,0.0,0.0,2,0,13,28,46.4,0,0,2,caa254e4
Ali Al Hassan,15,CM,25-271,1.sa Al-Nassr,45,0,0,0,0,1,0,1,0,15,2,0,2,0.1,0.1,0.0,0,0,4,7,57.1,1,0,0,68b689fa
Abdullah Madu,3,CBCM,29-138,1.sa Al-Nassr,45,0,0,0,0,0,0,1,0,19,1,0,3,0.0,0.0,0.0,0,0,5,13,38.5,1,0,0,9c3523a4
Firas Al-Buraikan,9,RMFW,22-200,1.sa Al-Fateh,90,0,0,0,0,1,0,0,0,32,0,0,1,0.0,0.0,0.0,0,0,13,25,52.0,1,0,2,ac717a23
Ali Al-Bulaihi,5,LB,33-009,1.sa Al-Hilal,36,0,0,0,0,0,0,0,0,17,0,2,0,0.0,0.0,0.0,0,0,11,14,78.6,1,0,0,8d7b2936
Riyadh Sharahili,26,CM,29-216,1.sa Abha,54,0,0,0,0,0,0,0,0,28,0,2,1,0.0,0.0,0.0,1,0,14,17,82.4,0,1,2,3e8326a9
Hassan Al Tambakti,17,CB,23-294,1.sa Al-Shabab,90,0,0,0,0,0,0,1,0,31,3,0,2,0.0,0.0,0.0,0,0,16,22,72.7,2,0,0,6d78c320
Abdulelah Al-Amri,4,CB,25-319,1.sa Al-Nassr,90,0,0,0,0,1,0,1,0,53,1,1,1,0.1,0.1,0.0,0,0,23,41,56.1,2,0,0,fd0affe3
Sultan Al-Ghanam,2,RBWB,28-208,1.sa Al-Nassr,87,0,0,0,0,2,0,0,0,44,0,2,3,0.2,0.2,0.1,1,0,21,35,60.0,4,0,1,0ea89f8d
Hattan Bahebri,19,AM,30-137,1.sa Al-Shabab,3,0,1,0,0,0,0,1,0,6,0,0,0,0.0,0.0,0.6,1,1,3,6,50.0,0,0,0,b4f50ff5
Mohammed Al-Owais,21,GK,31-051,1.sa Al-Hilal,90,0,0,0,0,0,0,0,0,50,0,0,0,0.0,0.0,0.0,0,0,19,45,42.2,0,0,0,f2c060c6
