Player,#,Pos,Age,Club,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att,-9999
Saleh Al-Shehri,11,FW,29-021,1.sa Al-Hilal,77,1,0,0,0,1,1,0,0,25,2,0,1,0.1,0.1,0.0,0,0,10,16,62.5,0,0,1,f4377d0f
Sultan Al-Ghanam,2,RM,28-200,1.sa Al-Nassr,13,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,0,2,0.0,0,0,1,0ea89f8d
Salem Al-Dawsari,10,LM,31-095,1.sa Al-Hilal,90,1,0,0,0,1,1,1,0,35,1,0,1,0.0,0.0,0.0,0,0,15,22,68.2,0,1,5,60ee859c
Mohamed Kanno,23,CM,28-061,1.sa Al-Hilal,90,0,0,0,0,0,0,0,0,46,2,1,0,0.0,0.0,0.0,0,0,29,37,78.4,5,2,4,74ccf212
Salman Al-Faraj,7,CM,33-113,1.sa Al-Hilal,44,0,0,0,0,0,0,0,0,19,1,0,2,0.0,0.0,0.0,0,0,12,16,75.0,0,0,0,df145034
Nawaf Al Abed,18,CM,32-300,1.sa Al-Shabab,44,0,0,0,0,1,0,1,0,12,0,1,0,0.1,0.1,0.0,1,1,6,7,85.7,0,0,0,bfef5c87
Abdulelah Al-Amri,4,CM,25-311,1.sa Al-Nassr,2,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,fd0affe3
Firas Al-Buraikan,9,RMFW,22-192,1.sa Al-Fateh,88,0,1,0,0,0,0,0,0,29,2,1,3,0.0,0.0,0.1,0,0,8,13,61.5,2,0,3,ac717a23
Asiri Haitham,25,FW,21-242,2.sa Al-Ahli,2,0,0,0,0,0,0,0,0,5,0,0,2,0.0,0.0,0.0,0,0,1,2,50.0,0,0,0,9c08d5cd
Abdulellah Al-Malki,8,DM,28-042,1.sa Al-Hilal,90,0,0,0,0,0,0,1,0,48,1,2,1,0.0,0.0,0.0,2,1,28,39,71.8,2,0,0,3bcd2730
Yasser Al-Shahrani,13,LB,30-181,1.sa Al-Hilal,89,0,0,0,0,0,0,0,0,43,3,6,0,0.0,0.0,0.0,0,0,13,29,44.8,2,0,0,251c164e
Mohammed Al-Breik,6,LB,30-068,1.sa Al-Hilal,1,0,0,0,0,0,0,0,0,4,0,0,1,0.0,0.0,0.0,0,0,1,2,50.0,0,0,0,bd448676
Ali Al-Bulaihi,5,CB,33-001,1.sa Al-Hilal,90,0,0,0,0,0,0,1,0,22,2,0,1,0.0,0.0,0.0,0,0,11,18,61.1,1,0,0,8d7b2936
Hassan Al Tambakti,17,CB,23-286,1.sa Al-Shabab,90,0,0,0,0,0,0,0,0,44,1,3,1,0.0,0.0,0.0,0,0,24,33,72.7,1,0,0,6d78c320
Saud Abdulhamid,12,RB,23-127,1.sa Al-Hilal,90,0,0,0,0,0,0,1,0,39,3,0,1,0.0,0.0,0.0,0,0,19,28,67.9,2,0,0,caa254e4
Mohammed Al-Owais,21,GK,31-043,1.sa Al-Hilal,90,0,0,0,0,0,0,1,0,34,0,0,0,0.0,0.0,0.0,1,0,18,30,60.0,0,0,0,f2c060c6
