Player,#,Pos,Age,Club,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att,-9999
Lionel Messi,10,FW,35-162,1.fr Paris S-G,90,1,0,0,0,6,2,0,0,73,1,0,0,0.4,0.4,0.5,8,1,51,60,85.0,8,1,2,d70ce98e
Papu Gómez,17,LWRW,34-291,1.es Sevilla,49,0,0,0,0,1,0,0,0,36,1,0,0,0.0,0.0,0.0,0,0,31,33,93.9,1,1,1,6e4df551
Lisandro Martínez,25,CB,24-319,1.eng Manchester Utd,41,0,0,0,0,0,0,0,0,25,1,0,1,0.0,0.0,0.0,0,0,18,21,85.7,1,0,0,bac46a10
Julián Álvarez,9,RWFWLW,22-306,1.eng Manchester City,70,1,0,0,0,1,1,0,0,26,0,0,3,0.6,0.6,0.0,0,0,14,17,82.4,0,0,0,15ab5a2b
Lautaro Martínez,22,FW,25-103,1.it Inter,20,0,0,0,0,4,2,0,0,18,0,0,0,0.6,0.6,0.0,3,0,8,11,72.7,0,1,3,f7036e1c
Alexis Mac Allister,20,LMAM,23-344,1.eng Brighton,79,0,0,0,0,0,0,0,0,49,1,1,2,0.0,0.0,0.0,2,1,38,42,90.5,2,0,1,83d074ff
Gonzalo Montiel,4,AM,25-336,1.es Sevilla,11,0,0,0,0,0,0,0,0,8,1,0,0,0.0,0.0,0.0,0,0,5,6,83.3,0,0,0,374d5158
Enzo Fernández,24,CM,21-320,1.pt Benfica,90,0,0,0,0,0,0,0,0,110,3,1,1,0.0,0.0,0.0,2,0,92,100,92.0,2,0,0,5ff4ab71
Rodrigo De Paul,7,RMCM,28-193,1.es Atlético Madrid,90,0,0,0,0,0,0,0,0,100,2,2,2,0.0,0.0,0.1,4,0,75,91,82.4,2,0,1,162efffd
Marcos Acuña,8,LBWB,31-036,1.es Sevilla,71,0,0,0,0,0,0,0,0,64,3,0,1,0.0,0.0,0.0,0,0,49,58,84.5,1,0,0,81442ecb
Nicolás Tagliafico,3,WB,30-094,1.fr Lyon,19,0,0,0,0,1,0,0,0,16,0,0,0,0.0,0.0,0.0,0,0,9,13,69.2,0,0,1,f0661424
Nicolás Otamendi,19,CB,34-294,1.pt Benfica,90,0,1,0,0,0,0,0,0,108,1,1,0,0.0,0.0,0.0,1,0,89,98,90.8,3,0,0,0d267745
Cristian Romero,13,CB,24-220,1.eng Tottenham,90,0,0,0,0,0,0,0,0,85,1,1,1,0.0,0.0,0.0,0,0,73,79,92.4,3,0,0,a3d94a58
Nahuel Molina,26,RBWB,24-241,1.es Atlético Madrid,79,0,0,0,0,0,0,0,0,68,0,0,0,0.0,0.0,0.0,1,0,56,63,88.9,1,0,0,23610943
Exequiel Palacios,14,WB,24-059,1.de Leverkusen,11,0,0,0,0,1,0,0,0,9,0,1,0,0.1,0.1,0.1,2,0,4,6,66.7,1,0,0,e82adcab
Emiliano Martínez,23,GK,30-092,1.eng Aston Villa,90,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0.0,0.0,0,0,23,31,74.2,0,0,0,7956236f
