Player,#,Pos,Age,Club,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att,-9999
Andrej Kramarić,9,FWAM,31-177,1.de Hoffenheim,71,0,0,0,0,0,0,0,0,41,0,0,3,0.0,0.0,0.1,2,0,32,35,91.4,0,1,2,603cb947
Marko Livaja,14,AM,29-109,1.hr Hajduk Split,19,0,0,0,0,0,0,0,0,9,1,1,0,0.0,0.0,0.0,0,0,4,6,66.7,1,0,1,6e5497ca
Ivan Perišić,4,LBLW,33-314,1.eng Tottenham,90,0,0,0,0,3,1,0,0,64,1,2,0,0.1,0.1,0.0,3,0,39,55,70.9,3,2,2,6fe90922
Mario Pašalić,15,RW,27-307,1.it Atalanta,45,0,0,0,0,1,0,0,0,17,1,1,1,0.1,0.1,0.0,1,0,9,13,69.2,0,0,0,e599253a
Nikola Vlašić,13,RW,25-070,1.it Torino,45,0,0,0,0,1,0,0,0,19,1,0,0,0.0,0.0,0.0,0,0,11,13,84.6,0,0,3,aa8e289e
Mateo Kovačić,8,LMDM,28-221,1.eng Chelsea,90,0,0,0,0,0,0,1,0,99,3,0,0,0.0,0.0,0.1,4,0,86,91,94.5,6,4,7,79c0821a
Marcelo Brozović,11,CM,30-027,1.it Inter,49,0,0,0,0,0,0,0,0,55,1,1,0,0.0,0.0,0.0,0,0,47,50,94.0,3,1,1,33b8d077
Bruno Petković,16,FW,28-088,1.hr Dinamo Zagreb,41,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,3,0,8,11,72.7,1,1,1,24228180
Luka Modrić,10,RMDM,37-095,1.es Real Madrid,80,0,0,0,0,1,0,0,0,85,2,0,0,0.1,0.1,0.1,6,0,67,79,84.8,6,4,4,6025fab1
Lovro Majer,7,DM,24-330,1.fr Rennes,10,0,0,0,0,1,1,0,0,20,0,0,0,0.0,0.0,0.0,0,0,14,17,82.4,2,0,0,fc46aab1
Borna Sosa,19,LB,24-326,1.de Stuttgart,45,0,0,0,0,0,0,0,0,39,2,0,1,0.0,0.0,0.0,0,0,25,33,75.8,1,0,1,af0d79a9
Mislav Oršić,18,LW,29-349,1.hr Dinamo Zagreb,45,0,0,0,0,2,0,0,0,21,0,0,0,0.1,0.1,0.0,2,0,13,15,86.7,1,0,1,ee950928
Joško Gvardiol,20,CB,20-324,1.de RB Leipzig,90,0,0,0,0,0,0,0,0,73,3,0,1,0.0,0.0,0.0,0,0,60,64,93.8,0,0,1,5ad50391
Dejan Lovren,6,CB,33-161,1.ru Zenit,90,0,0,0,0,3,0,0,0,81,0,0,2,0.1,0.1,0.0,0,0,66,75,88.0,1,0,0,1a2935f6
Josip Juranović,22,RB,27-119,1.sct Celtic,90,0,0,0,0,0,0,0,0,67,4,0,0,0.0,0.0,0.0,3,0,50,65,76.9,2,0,0,0a084b35
Dominik Livaković,1,GK,27-338,1.hr Dinamo Zagreb,90,0,0,0,0,0,0,1,0,36,0,0,0,0.0,0.0,0.0,0,0,27,31,87.1,0,0,0,58f077c0
