Player,#,Pos,Age,Club,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att,-9999
Olivier Giroud,9,FW,36-079,1.it Milan,40,0,0,0,0,0,0,1,0,11,1,0,0,0.0,0.0,0.0,0,0,5,9,55.6,0,0,0,16ceb862
Marcus Thuram,26,LMLW,25-134,1.de M'Gladbach,80,0,1,0,0,0,0,1,0,34,1,0,1,0.0,0.0,0.1,1,1,12,20,60.0,4,3,5,6f8cd6d0
Kylian Mbappé,10,FWLW,23-363,1.fr Paris S-G,120,3,0,2,2,4,1,0,0,45,0,0,0,1.8,0.2,0.0,3,3,17,25,68.0,2,4,9,42fd9c7f
Ousmane Dembélé,11,RW,25-217,1.es Barcelona,40,0,0,0,0,0,0,0,0,16,0,0,1,0.0,0.0,0.0,0,0,9,13,69.2,1,0,1,b19db005
Randal Kolo Muani,12,FWRW,24-013,1.de Eint Frankfurt,80,0,0,0,0,2,1,0,0,34,3,0,0,0.4,0.4,0.0,1,1,12,19,63.2,0,1,5,c0b3669f
Antoine Griezmann,7,AM,31-272,1.es Atlético Madrid,70,0,0,0,0,0,0,0,0,42,3,2,1,0.0,0.0,0.1,2,0,23,32,71.9,1,1,2,df69b544
Kingsley Coman,20,RM,26-188,1.de Bayern Munich,50,0,0,0,0,0,0,0,0,26,3,0,2,0.0,0.0,0.0,2,0,6,15,40.0,0,2,3,042e8a49
Adrien Rabiot,14,DMCM,27-259,1.it Juventus,95,0,0,0,0,1,1,1,0,66,2,3,1,0.1,0.1,0.0,1,0,41,53,77.4,1,0,0,8794e251
Youssouf Fofana,13,CM,23-342,1.fr Monaco,25,0,0,0,0,1,0,0,0,15,1,0,1,0.0,0.0,0.0,1,0,10,12,83.3,0,1,1,822d51d7
Aurélien Tchouaméni,8,DMCM,22-325,1.es Real Madrid,120,0,0,0,0,0,0,0,0,82,1,2,0,0.0,0.0,0.0,0,0,53,71,74.6,7,2,3,4f255115
Theo Hernández,22,LB,25-073,1.it Milan,70,0,0,0,0,0,0,0,0,56,3,0,0,0.0,0.0,0.0,1,0,38,50,76.0,3,1,1,d4c9725f
Eduardo Camavinga,25,LB,20-038,1.es Real Madrid,50,0,0,0,0,0,0,0,0,34,3,0,2,0.0,0.0,0.1,2,0,21,23,91.3,0,1,4,7b9c2d84
Dayot Upamecano,18,CB,24-052,1.de Bayern Munich,120,0,0,0,0,0,0,0,0,74,1,0,2,0.0,0.0,0.0,0,0,55,68,80.9,1,0,0,d248cd8f
Raphaël Varane,4,CB,29-237,1.eng Manchester Utd,112,0,0,0,0,0,0,0,0,70,0,1,1,0.0,0.0,0.0,0,0,57,64,89.1,0,0,0,9f8e9423
Ibrahima Konaté,24,CB,23-207,1.eng Liverpool,8,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.3,1,0,1,2,50.0,1,0,0,5ed9b537
Jules Koundé,5,RB,24-036,1.es Barcelona,119,0,0,0,0,0,0,0,0,79,4,1,0,0.0,0.0,0.0,1,0,53,69,76.8,2,1,1,4d1666ff
Axel Disasi,3,RB,24-282,1.fr Monaco,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,ad82197c
Hugo Lloris,1,GK,35-357,1.eng Tottenham,120,0,0,0,0,0,0,0,0,49,0,0,0,0.0,0.0,0.0,0,0,23,41,56.1,0,0,0,8f62b6ee
