Player,#,Pos,Age,Club,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att,-9999
Alexis Vega,10,FW,25-001,1.mx Guadalajara,65,0,0,0,0,2,1,0,0,20,0,1,1,0.1,0.1,0.0,0,0,4,10,40.0,0,0,1,f40f4c38
Uriel Antuna,21,RWFW,25-097,1.mx Cruz Azul,25,0,0,0,0,0,0,0,0,12,3,0,0,0.0,0.0,0.0,0,0,4,7,57.1,0,0,1,a35f5848
Hirving Lozano,22,FW,27-119,1.it Napoli,72,0,0,0,0,1,0,0,0,18,0,0,1,0.0,0.0,0.0,1,0,3,8,37.5,0,0,1,a69e4806
Roberto Alvarado,25,LW,24-080,1.mx Guadalajara,18,0,0,0,0,0,0,1,0,12,0,0,0,0.0,0.0,0.0,0,0,5,10,50.0,0,0,1,ff871e14
Andrés Guardado,18,CM,36-059,1.es Betis,41,0,0,0,0,0,0,0,0,22,4,0,0,0.0,0.0,0.0,0,0,11,16,68.8,0,0,0,ef322658
Erick Gutiérrez,14,CMDM,27-164,1.nl PSV Eindhoven,49,0,0,0,0,0,0,1,0,34,1,2,0,0.0,0.0,0.0,1,0,24,29,82.8,1,0,1,c7842dab
Héctor Herrera,16,CMDM,32-221,1.us Houston Dynamo,90,0,0,0,0,0,0,1,0,51,2,3,1,0.0,0.0,0.0,0,0,37,42,88.1,2,0,1,a8542814
Luis Chávez,24,CMAM,26-315,1.mx Pachuca,90,0,0,0,0,0,0,0,0,32,0,1,0,0.0,0.0,0.2,1,0,20,28,71.4,1,0,1,e50949ea
Jesús Gallardo,23,LB,28-103,1.mx Monterrey,90,0,0,0,0,0,0,0,0,38,3,0,1,0.0,0.0,0.0,0,0,19,28,67.9,1,0,0,d0846b6c
Héctor Moreno,15,CB,34-313,1.mx Monterrey,90,0,0,0,0,0,0,0,0,57,2,1,0,0.0,0.0,0.0,1,0,39,51,76.5,3,0,0,5d311e8d
César Montes,3,CB,25-275,1.mx Monterrey,90,0,0,0,0,1,0,0,0,67,1,0,0,0.2,0.2,0.0,0,0,49,59,83.1,1,2,2,28e957d7
Néstor Araujo,2,CBRB,31-089,1.mx América,90,0,0,0,0,0,0,1,0,62,1,3,0,0.0,0.0,0.0,0,0,44,53,83.0,3,0,0,27a013f7
Kevin Álvarez,26,RB,23-315,1.mx Pachuca,65,0,0,0,0,0,0,0,0,31,1,1,2,0.0,0.0,0.0,0,0,16,22,72.7,0,0,2,636b0833
Raúl Jiménez,9,FWRB,31-205,1.eng Wolves,25,0,0,0,0,0,0,0,0,16,0,1,0,0.0,0.0,0.0,0,0,9,15,60.0,1,0,0,b561db50
Guillermo Ochoa,13,GK,37-136,1.mx América,90,0,0,0,0,0,0,0,0,31,0,0,0,0.0,0.0,0.0,0,0,20,31,64.5,0,0,0,1e9bde92
