Player,#,Pos,Age,Club,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att,-9999
Martin Braithwaite,9,FW,31-178,1.es Espanyol,58,0,0,0,0,0,0,0,0,16,0,0,0,0.0,0.0,0.1,3,0,11,14,78.6,1,0,1,fd771f95
Kasper Dolberg,12,FW,25-055,1.es Sevilla,32,0,0,0,0,1,1,0,0,9,1,0,0,0.1,0.1,0.0,0,0,4,4,100.0,1,1,1,cc83b74d
Jesper Lindstrøm,25,LWLM,22-274,1.de Eint Frankfurt,90,0,0,0,0,2,0,0,0,40,1,1,2,0.1,0.1,0.0,1,0,20,27,74.1,2,2,6,37dc1a48
Andreas Skov Olsen,11,RW,22-336,1.be Club Brugge,68,0,0,0,0,4,1,0,0,44,0,1,1,0.2,0.2,0.0,2,0,24,35,68.6,0,0,2,c50cee19
Robert Skov,24,LB,26-194,1.de Hoffenheim,22,0,0,0,0,0,0,1,0,24,0,0,0,0.0,0.0,0.0,0,0,17,21,81.0,2,0,1,ff98492b
Christian Eriksen,10,LMCM,30-289,1.eng Manchester Utd,90,0,0,0,0,1,0,0,0,86,0,0,1,0.0,0.0,0.0,3,0,65,79,82.3,5,0,0,980522ec
Pierre Højbjerg,23,CM,27-117,1.eng Tottenham,90,0,0,0,0,0,0,0,0,91,0,1,1,0.0,0.0,0.0,1,0,71,81,87.7,7,0,0,8b04d6c1
Mathias Jensen,7,RM,26-333,1.eng Brentford,58,0,0,0,0,1,1,0,0,42,1,0,2,0.1,0.1,0.1,3,0,25,35,71.4,2,1,1,0f134faf
Mikkel Damsgaard,14,RM,22-150,1.eng Brentford,32,0,0,0,0,0,0,0,0,15,1,0,0,0.0,0.0,0.0,0,0,11,13,84.6,1,0,0,215f3907
Joakim Mæhle,5,LB,25-194,1.it Atalanta,69,0,0,0,0,0,0,0,0,57,2,1,1,0.0,0.0,0.0,1,0,38,50,76.0,0,0,3,c459a650
Andreas Cornelius,21,FW,29-259,1.dk FC Copenhagen,21,0,0,0,0,1,0,0,0,16,0,0,0,0.0,0.0,0.1,2,0,7,13,53.8,0,0,0,c693347d
Andreas Christensen,6,CB,26-234,1.es Barcelona,90,0,0,0,0,0,0,0,0,106,2,1,1,0.0,0.0,0.0,1,0,89,96,92.7,5,0,0,1cb49278
Joachim Andersen,2,CB,26-183,1.eng Crystal Palace,90,0,0,0,0,1,0,0,0,134,0,0,0,0.0,0.0,0.0,2,0,94,125,75.2,11,0,0,e34fc66d
Rasmus Nissen,13,RB,25-142,1.eng Leeds United,45,0,0,0,0,0,0,0,0,48,0,0,1,0.0,0.0,0.0,1,0,37,43,86.0,3,0,0,39769cff
Alexander Bah,26,RB,24-356,1.pt Benfica,45,0,0,0,0,2,0,0,0,59,3,2,2,0.1,0.1,0.1,4,0,34,47,72.3,2,0,1,78f21137
Kasper Schmeichel,1,GK,36-025,1.fr Nice,90,0,0,0,0,0,0,0,0,40,0,0,0,0.0,0.0,0.0,0,0,33,40,82.5,1,0,0,53af52f3
