Player,#,Pos,Age,Club,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att,-9999
Youssef En-Nesyri,19,FW,25-179,1.es Sevilla,72,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,2,0,3,5,60.0,0,1,1,04e17fd5
Abderrazak Hamdallah,9,FW,31-345,1.sa Al-Ittihad,18,0,0,0,0,1,1,0,0,8,0,0,0,0.1,0.1,0.0,0,0,3,4,75.0,0,0,0,fe73f8c6
Sofiane Boufal,17,LW,29-071,1.fr Angers,72,0,0,0,0,1,0,0,0,29,1,0,1,0.0,0.0,0.0,2,0,22,23,95.7,4,2,4,b0c71810
Zakaria Aboukhlal,14,LMLW,22-282,1.fr Toulouse,18,1,0,0,0,1,1,0,0,9,1,1,1,0.4,0.4,0.0,0,0,2,5,40.0,0,0,0,c2a6033c
Hakim Ziyech,7,RWRM,29-253,1.eng Chelsea,90,0,1,0,0,2,1,0,0,45,3,1,1,0.0,0.0,0.4,3,2,20,31,64.5,1,4,7,6622454d
Selim Amallah,15,LM,26-012,1.be Standard Liège,66,0,0,0,0,1,0,0,0,30,2,2,2,0.0,0.0,0.0,1,0,17,19,89.5,0,0,0,00eba9c9
Abdelhamid Sabiri,11,CMLM,25-364,1.it Sampdoria,24,0,1,0,0,0,0,1,0,8,0,1,1,0.0,0.0,0.9,3,1,5,6,83.3,0,0,0,4830e0af
Sofyan Amrabat,4,CM,26-098,1.it Fiorentina,90,0,0,0,0,0,0,0,0,54,2,1,0,0.0,0.0,0.0,1,0,36,41,87.8,1,0,2,5a2cb25d
Azzedine Ounahi,8,RM,22-222,1.fr Angers,77,0,0,0,0,1,0,0,0,38,1,1,0,0.0,0.0,0.0,1,0,25,30,83.3,0,0,1,83299cc0
Jawad El Yamiq,18,CB,30-271,1.es Valladolid,13,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,0,0,f6f6b6e8
Noussair Mazraoui,3,LBRB,25-013,1.de Bayern Munich,90,0,0,0,0,1,0,0,0,41,3,1,3,0.0,0.0,0.0,0,0,26,28,92.9,1,0,1,b74277a0
Romain Saïss,6,CB,32-246,1.tr Beşiktaş,90,1,0,0,0,1,1,0,0,54,2,0,0,0.8,0.8,0.0,0,0,32,39,82.1,2,0,0,9fbbcf39
Nayef Aguerd,5,CB,26-242,1.eng West Ham,90,0,0,0,0,0,0,0,0,51,1,1,2,0.0,0.0,0.0,2,0,40,45,88.9,2,0,0,288e1e13
Achraf Hakimi,2,RB,24-023,1.fr Paris S-G,67,0,0,0,0,1,0,0,0,51,6,0,2,0.0,0.0,0.1,3,0,31,38,81.6,1,0,0,e42d61c7
Yahya Attiat Allah,25,LB,27-270,1.ma Wydad Casablanca,23,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,1,1,4,6,66.7,0,0,1,432848a2
Munir,12,GK,33-201,1.sa Al-Wehda,90,0,0,0,0,0,0,0,0,31,0,0,0,0.0,0.0,0.0,0,0,19,28,67.9,0,0,0,fc8287db
