Player,#,Pos,Age,Club,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att,-9999
Son Heung-min,7,LMFW,30-150,1.eng Tottenham,90,0,0,0,0,1,1,0,0,39,0,1,0,0.1,0.1,0.2,2,0,18,30,60.0,0,1,4,92e7e919
Cho Guesung,9,FW,24-314,1.kr Jeonbuk,79,0,0,0,0,0,0,0,0,21,0,0,1,0.0,0.0,0.0,1,1,13,16,81.3,0,0,2,ccfa8e5e
Hwang Ui-jo,16,FW,30-099,1.gr Olympiacos,11,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,a2d873dd
Hwang Hee-chan,11,RMLM,26-313,1.eng Wolves,90,0,0,0,0,5,4,0,0,71,1,0,0,0.3,0.3,0.0,2,0,43,55,78.2,1,2,6,169fd162
Hwang In-beom,6,CM,26-076,1.gr Olympiacos,64,0,0,0,0,1,0,0,0,52,1,0,1,0.0,0.0,0.0,0,0,38,48,79.2,5,0,1,92fa5d28
Paik Seung-ho,8,CM,25-263,1.kr Jeonbuk,26,1,0,0,0,1,1,0,0,30,3,0,0,0.0,0.0,0.0,1,0,20,27,74.1,2,0,0,1e1bea09
Jung Woo-young,5,CM,32-356,1.qa Al Sadd SC,45,0,0,0,0,0,0,1,0,38,0,1,0,0.0,0.0,0.0,0,0,30,34,88.2,4,0,0,858a34b8
Son Jun-ho,13,CM,30-207,1.cn Shandong Lunen,45,0,0,0,0,0,0,0,0,46,3,2,2,0.0,0.0,0.0,2,0,38,39,97.4,4,0,0,f7c7ba0d
Lee Jae-sung,10,RMFW,30-117,1.de Mainz 05,73,0,0,0,0,0,0,0,0,50,2,1,1,0.0,0.0,0.0,3,0,39,45,86.7,0,0,0,34b0387f
Lee Kangin,18,FW,21-289,1.es Mallorca,17,0,0,0,0,0,0,0,0,10,1,0,0,0.0,0.0,0.0,0,0,7,8,87.5,1,0,0,8455ad90
Kim Jin-su,3,LB,30-175,1.kr Jeonbuk,45,0,0,0,0,0,0,0,0,33,3,0,0,0.0,0.0,0.0,0,0,22,28,78.6,2,0,0,8e6ff136
Hong Chul,14,LB,32-079,1.kr Daegu,45,0,0,0,0,0,0,0,0,24,0,1,2,0.0,0.0,0.1,1,0,17,20,85.0,3,0,1,c7de2245
Kim Young-gwon,19,CB,32-281,1.kr Ulsan Hyundai,90,0,0,0,0,0,0,0,0,68,1,2,1,0.0,0.0,0.1,1,0,55,62,88.7,4,0,0,9459ace1
Kim Min-jae,4,CB,26-020,1.it Napoli,90,0,0,0,0,0,0,0,0,77,1,2,1,0.0,0.0,0.0,0,0,65,70,92.9,5,0,0,e0f8151c
Kim Moonhwan,15,RB,27-126,1.kr Jeonbuk,90,0,0,0,0,0,0,0,0,66,5,1,0,0.0,0.0,0.0,0,0,47,53,88.7,0,2,2,6bce7dd8
Kim Seung-gyu,1,GK,32-066,1.sa Al-Shabab,90,0,0,0,0,0,0,0,0,34,0,0,0,0.0,0.0,0.0,0,0,22,28,78.6,0,0,0,eabaafa6
