Player,#,Pos,Age,Club,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att,-9999
Aleksandar Mitrović,9,FW,28-069,1.eng Fulham,82,0,0,0,0,0,0,0,0,26,0,0,0,0.0,0.0,0.0,0,0,18,22,81.8,0,0,0,3925dbd6
Nemanja Maksimović,6,CM,27-302,1.es Getafe,8,0,0,0,0,0,0,0,0,7,0,0,1,0.0,0.0,0.0,0,0,5,6,83.3,0,0,0,00b28772
Sergej Milinković-Savić,20,AMCM,27-270,1.it Lazio,90,0,0,0,0,0,0,0,0,48,1,0,2,0.0,0.0,0.0,0,0,27,38,71.1,3,1,2,4e6dbac4
Dušan Tadić,10,AMFW,34-004,1.nl Ajax,90,0,0,0,0,0,0,0,0,48,4,1,2,0.0,0.0,0.1,2,0,19,35,54.3,1,0,1,2475dcc6
Nemanja Gudelj,8,CM,31-008,1.es Sevilla,56,0,0,0,0,0,0,1,0,38,1,2,2,0.0,0.0,0.0,0,0,27,31,87.1,1,0,0,0076ab7f
Ivan Ilić,24,CM,21-252,1.it Hellas Verona,34,0,0,0,0,0,0,0,0,23,0,1,0,0.0,0.0,0.0,2,0,19,20,95.0,0,0,0,bb376bed
Saša Lukić,16,CM,26-103,1.it Torino,65,0,0,0,0,0,0,1,0,37,2,0,1,0.0,0.0,0.0,0,0,27,29,93.1,1,0,1,c6e8cf1f
Darko Lazović,22,WB,32-070,1.it Hellas Verona,25,0,0,0,0,1,0,0,0,14,0,0,0,0.0,0.0,0.0,0,0,7,12,58.3,0,0,0,5128bde4
Filip Mladenović,25,WB,31-101,1.pl Legia Warsaw,65,0,0,0,0,1,0,0,0,29,0,0,1,0.0,0.0,0.0,0,0,20,25,80.0,1,0,2,a3eabee0
Dušan Vlahović,18,FW,22-300,1.it Juventus,25,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,3,6,50.0,1,0,0,79443529
Andrija Živković,14,WB,26-136,1.gr PAOK,56,0,0,0,0,0,0,0,0,30,2,2,1,0.0,0.0,0.0,1,0,19,25,76.0,1,0,0,321f83a2
Nemanja Radonjić,7,WB,26-282,1.it Torino,34,0,0,0,0,1,0,0,0,18,0,0,0,0.0,0.0,0.0,0,0,6,11,54.5,1,0,2,0630eb63
Strahinja Pavlović,2,CB,21-184,1.at RB Salzburg,90,0,0,0,0,1,0,1,0,52,4,0,0,0.1,0.1,0.0,0,0,31,39,79.5,2,1,2,25146df0
Miloš Veljković,5,CB,27-059,1.de Werder Bremen,90,0,0,0,0,0,0,0,0,55,2,0,1,0.0,0.0,0.0,1,0,39,45,86.7,1,0,0,a5ae8f8e
Nikola Milenković,4,CB,25-043,1.it Fiorentina,90,0,0,0,0,1,0,0,0,68,8,4,3,0.0,0.0,0.0,2,0,43,50,86.0,4,0,0,bee704fc
Vanja Milinković-Savić,23,GK,25-277,1.it Torino,90,0,0,0,0,0,0,0,0,50,0,1,0,0.0,0.0,0.0,0,0,34,45,75.6,0,0,0,9fa26bc2
