Player,#,Pos,Age,Club,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att,-9999
Richarlison,9,FW,25-202,1.eng Tottenham,72,0,0,0,0,2,0,0,0,16,0,0,1,0.1,0.1,0.0,0,0,3,6,50.0,0,0,1,fa031b34
Gabriel Jesus,18,FW,25-239,1.eng Arsenal,18,0,0,0,0,0,0,0,0,11,1,1,0,0.0,0.0,0.1,2,0,4,8,50.0,2,1,1,b66315ae
Vinicius Júnior,20,LW,22-139,1.es Real Madrid,90,0,0,0,0,1,1,0,0,39,2,0,1,0.3,0.3,0.2,4,1,17,22,77.3,2,1,6,7111d552
Raphinha,11,RW,25-349,1.es Barcelona,72,0,0,0,0,1,1,0,0,40,1,0,1,0.0,0.0,0.4,3,0,24,36,66.7,1,0,1,3423f250
Antony,19,RW,22-277,1.eng Manchester Utd,18,0,0,0,0,1,0,0,0,18,1,0,0,0.0,0.0,0.0,1,0,11,15,73.3,0,1,3,99127249
Lucas Paquetá,7,LM,25-093,1.eng West Ham,45,0,0,0,0,0,0,0,0,45,0,0,0,0.0,0.0,0.0,1,0,33,41,80.5,2,0,2,9b6f7fd5
Rodrygo,21,AM,21-323,1.es Real Madrid,45,0,1,0,0,2,1,0,0,32,1,0,2,0.2,0.2,0.1,2,1,21,26,80.8,3,0,1,8f5e92a6
Casemiro,5,DMCM,30-278,1.eng Manchester Utd,90,1,0,0,0,2,1,0,0,58,1,5,2,0.1,0.1,0.0,0,0,41,48,85.4,7,0,0,4d224fe8
Fred,8,RMDM,29-268,1.eng Manchester Utd,57,0,0,0,0,0,0,1,0,34,1,0,1,0.0,0.0,0.0,1,0,25,28,89.3,3,0,0,b853e0ad
Bruno Guimarães,17,DM,25-012,1.eng Newcastle Utd,33,0,0,0,0,1,1,0,0,27,0,0,0,0.0,0.0,0.0,1,0,18,23,78.3,0,1,1,82518f62
Alex Sandro,6,LB,31-306,1.it Juventus,85,0,0,0,0,0,0,0,0,85,7,2,1,0.0,0.0,0.1,2,0,63,74,85.1,6,1,1,0d82903c
Alex Telles,16,LB,29-348,1.es Sevilla,5,0,0,0,0,0,0,0,0,12,1,0,0,0.0,0.0,0.0,1,0,10,11,90.9,1,0,0,e73c9bb2
Thiago Silva,3,CB,38-067,1.eng Chelsea,90,0,0,0,0,1,0,0,0,95,1,1,1,0.1,0.1,0.0,3,0,79,85,92.9,3,0,0,86e7deaf
Marquinhos,4,CB,28-198,1.fr Paris S-G,90,0,0,0,0,1,0,0,0,106,3,0,2,0.1,0.1,0.0,1,0,94,98,95.9,5,0,0,d5f2f82b
Éder Militão,14,RB,24-314,1.es Real Madrid,90,0,0,0,0,1,0,0,0,74,1,1,1,0.0,0.0,0.0,2,0,56,66,84.8,2,0,0,2784f898
Alisson,1,GK,30-057,1.eng Liverpool,90,0,0,0,0,0,0,0,0,18,0,0,0,0.0,0.0,0.0,0,0,12,17,70.6,0,0,0,7a2e46a8
