Player,#,Pos,Age,Club,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att,-9999
Vincent Aboubakar,10,FW,30-314,1.sa Al-Nassr,89,1,0,0,0,3,1,2,1,27,0,0,0,0.2,0.2,0.0,2,0,7,15,46.7,1,0,2,8637e09a
Moumi Ngamaleu,6,LWRM,28-146,1.ru Dynamo Mosc,85,0,0,0,0,0,0,0,0,29,3,0,0,0.0,0.0,0.2,2,0,19,21,90.5,2,2,4,0193a8bf
Jerome Ngom Mbekeli,2,RM,24-063,1.cm Colombe Sportive du Dja et Lobo,5,0,1,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.1,1,1,1,2,50.0,0,0,0,32bb1138
Bryan Mbeumo,20,RW,23-117,1.eng Brentford,63,0,0,0,0,1,1,0,0,22,0,1,0,0.2,0.2,0.1,1,0,7,14,50.0,1,0,2,6afaebf2
Karl Toko Ekambi,12,LMRW,30-079,1.fr Lyon,27,0,0,0,0,0,0,0,0,13,1,1,0,0.0,0.0,0.1,3,0,7,9,77.8,0,1,2,5ceba7fc
Eric Maxim Choupo-Moting,13,AMFW,33-254,1.de Bayern Munich,90,0,0,0,0,0,0,0,0,30,2,0,0,0.0,0.0,0.0,1,0,12,23,52.2,0,0,3,0e6bc38c
Andre-Frank Zambo Anguissa,8,DMCM,27-016,1.it Napoli,90,0,0,0,0,0,0,0,0,57,1,1,1,0.0,0.0,0.0,0,0,39,48,81.3,2,3,3,6bb2c084
Pierre Kunde,15,DM,27-129,1.gr Olympiacos,65,0,0,0,0,1,0,1,0,38,3,2,0,0.0,0.0,0.0,1,0,22,26,84.6,3,0,1,9ceb7642
Olivier Ntcham,22,CM,26-296,2.eng Swansea City,25,0,0,0,0,1,1,0,0,14,0,0,0,0.0,0.0,0.0,3,1,11,12,91.7,4,2,2,6554bb97
Nouhou Tolo,25,LB,25-162,1.us Seattle,90,0,0,0,0,0,0,1,0,35,4,1,2,0.0,0.0,0.0,0,0,15,22,68.2,3,0,1,0796512f
Enzo Ebosse,24,CB,23-266,1.it Udinese,90,0,0,0,0,0,0,0,0,49,4,0,1,0.0,0.0,0.0,0,0,34,38,89.5,2,0,0,9ba7b4fa
Christopher Wooh,4,CB,21-075,1.fr Rennes,90,0,0,0,0,1,0,0,0,45,1,1,3,0.0,0.0,0.0,0,0,25,31,80.6,1,0,0,b003239d
Collins Fai,19,RB,30-111,1.sa Al-Ta'ee,90,0,0,0,0,0,0,1,0,35,3,3,0,0.0,0.0,0.0,0,0,18,23,78.3,3,0,1,46e58246
Devis Epassy,16,GK,29-303,1.sa Abha,90,0,0,0,0,0,0,0,0,49,0,0,0,0.0,0.0,0.0,0,0,30,41,73.2,0,0,0,e171b085
