Player,#,Pos,Age,Club,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att,-9999
Aleksandar Mitrović,9,FW,28-073,1.eng Fulham,90,1,0,0,0,7,2,0,0,36,1,0,0,1.5,1.5,0.0,3,0,19,24,79.2,1,1,1,3925dbd6
Sergej Milinković-Savić,20,AM,27-274,1.it Lazio,77,1,0,0,0,3,1,0,0,71,3,1,3,0.2,0.2,0.0,4,3,36,49,73.5,5,2,4,4e6dbac4
Marko Grujić,26,DM,26-229,1.pt Porto,13,0,0,0,0,1,1,0,0,20,1,0,0,0.0,0.0,0.0,1,0,14,17,82.4,2,0,1,8b8e759d
Dušan Tadić,10,AMFW,34-008,1.nl Ajax,90,0,1,0,0,0,0,0,0,62,0,0,0,0.0,0.0,0.3,7,1,43,57,75.4,7,1,1,2475dcc6
Saša Lukić,16,CM,26-107,1.it Torino,90,0,0,0,0,1,0,0,0,83,0,1,0,0.1,0.1,0.0,2,0,64,73,87.7,3,0,0,c6e8cf1f
Nemanja Maksimović,6,CM,27-306,1.es Getafe,90,0,0,0,0,0,0,0,0,45,3,2,1,0.0,0.0,0.1,2,0,27,32,84.4,0,0,0,00b28772
Filip Kostić,17,WBLW,30-027,1.it Juventus,89,0,0,0,0,1,0,0,0,69,3,0,1,0.0,0.0,0.0,1,0,37,58,63.8,4,0,0,b1cd37e6
Filip Đuričić,21,LW,30-302,1.it Sampdoria,1,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,1,0,3,3,100.0,0,0,0,eccbe56a
Andrija Živković,14,WB,26-140,1.gr PAOK,77,0,2,0,0,0,0,0,0,46,1,0,1,0.0,0.0,1.1,3,2,31,42,73.8,4,0,0,321f83a2
Nemanja Radonjić,7,RW,26-286,1.it Torino,13,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,4,6,66.7,0,0,0,0630eb63
Strahinja Pavlović,2,CB,21-188,1.at RB Salzburg,55,1,0,0,0,1,1,0,0,41,1,1,2,0.1,0.1,0.0,0,0,26,34,76.5,1,1,1,25146df0
Stefan Mitrović,13,CB,32-190,1.es Getafe,35,0,0,0,0,0,0,0,0,22,0,0,0,0.0,0.0,0.0,0,0,18,21,85.7,0,0,0,e6777e6b
Miloš Veljković,5,CB,27-063,1.de Werder Bremen,77,0,0,0,0,0,0,0,0,39,1,0,1,0.0,0.0,0.0,0,0,32,36,88.9,2,0,0,a5ae8f8e
Srđan Babić,15,CB,26-220,1.es Almería,13,0,0,0,0,0,0,0,0,16,1,0,0,0.0,0.0,0.0,0,0,10,16,62.5,0,0,0,075fe5a3
Nikola Milenković,4,CB,25-047,1.it Fiorentina,90,0,0,0,0,1,0,1,0,63,1,0,1,0.0,0.0,0.0,0,0,46,53,86.8,1,0,0,bee704fc
Vanja Milinković-Savić,23,GK,25-281,1.it Torino,90,0,0,0,0,0,0,0,0,38,0,0,0,0.0,0.0,0.0,0,0,27,35,77.1,0,0,0,9fa26bc2
