Player,#,Pos,Age,Club,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att,-9999
Cyle Larin,17,FW,27-228,1.be Club Brugge,59,0,0,0,0,0,0,0,0,17,0,0,0,0.0,0.0,0.4,3,0,6,11,54.5,2,1,2,e7af9060
Jonathan David,20,FW,22-321,1.fr Lille,31,0,0,0,0,0,0,0,0,16,0,0,0,0.0,0.0,0.0,0,0,11,13,84.6,1,0,3,ce50fd99
Junior Hoilett,10,FW,32-179,2.eng Reading,75,0,0,0,0,0,0,1,0,39,5,1,0,0.0,0.0,0.2,2,0,20,28,71.4,5,2,6,33af5b9e
David Wotherspoon,24,LM,32-319,1.sct St Johnstone,15,0,0,0,0,0,0,0,0,9,0,0,1,0.0,0.0,0.0,0,0,4,7,57.1,0,1,1,e9a9b1fa
Tajon Buchanan,11,LMLB,23-296,1.be Club Brugge,90,0,0,0,0,1,0,0,0,42,0,2,0,0.4,0.4,0.0,1,0,20,28,71.4,2,1,7,3aca6420
Mark-Anthony Kaye,14,CM,27-364,1.us Toronto FC,59,0,0,0,0,1,0,0,0,68,2,0,0,0.0,0.0,0.0,0,0,51,61,83.6,1,0,0,36a38acd
Atiba Hutchinson,13,CM,39-296,1.tr Beşiktaş,31,0,0,0,0,1,0,0,0,35,2,1,0,0.1,0.1,0.0,1,0,27,31,87.1,4,0,0,f1b55719
Jonathan Osorio,21,CM,30-172,1.us Toronto FC,64,0,0,0,0,0,0,1,0,29,0,0,0,0.0,0.0,0.0,1,0,27,29,93.1,1,0,0,70106ff6
Richie Laryea,22,RMCM,27-328,1.us Toronto FC,26,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,6,8,75.0,0,1,3,276fdbe4
Alphonso Davies,19,RMFW,22-029,1.de Bayern Munich,90,0,0,0,0,1,0,0,0,40,0,1,2,0.1,0.1,0.0,1,0,19,30,63.3,0,5,7,d781d855
Sam Adekugbe,3,LB,27-319,1.tr Hatayspor,59,0,0,0,0,0,0,1,0,40,0,1,0,0.0,0.0,0.0,0,0,32,36,88.9,2,1,1,7f2309be
Ismaël Koné,15,CMLB,20-178,1.us CF Montréal,31,0,0,0,0,0,0,0,0,30,0,0,0,0.0,0.0,0.0,0,0,26,28,92.9,2,1,2,e0220b70
Kamal Miller,4,CB,25-199,1.us CF Montréal,90,0,0,0,0,0,0,0,0,96,2,0,0,0.0,0.0,0.0,0,0,83,91,91.2,5,0,1,0646bd8a
Steven Vitória,5,CB,35-324,1.pt Chaves,90,0,0,0,0,0,0,1,0,85,1,0,1,0.0,0.0,0.0,0,0,70,80,87.5,2,0,1,9bc450e6
Alistair Johnston,2,RB,24-054,1.us CF Montréal,90,0,0,0,0,1,0,0,0,76,1,1,4,0.8,0.8,0.0,0,0,56,67,83.6,2,0,0,4fb17e20
Milan Borjan,18,GK,35-039,1.rs Red Star,90,0,0,0,0,0,0,0,0,26,0,0,0,0.0,0.0,0.0,0,0,22,25,88.0,0,0,0,5e8936be
