Player,#,Pos,Age,Club,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att,-9999
Thomas Müller,13,FW,33-079,1.de Bayern Munich,66,0,0,0,0,3,0,0,0,31,0,1,1,0.3,0.3,0.5,4,0,19,26,73.1,2,0,0,3c6089ab
Kai Havertz,7,FW,23-173,1.eng Chelsea,24,2,0,0,0,5,3,0,0,20,0,1,0,1.4,1.4,0.2,4,0,9,11,81.8,3,0,0,fed7cb61
Serge Gnabry,10,LWLM,27-140,1.de Bayern Munich,90,1,1,0,0,4,1,0,0,59,2,1,0,0.3,0.3,1.2,6,1,35,48,72.9,1,2,3,88e357ef
Leroy Sané,19,RWLBRM,26-324,1.de Bayern Munich,90,0,1,0,0,3,0,0,0,57,1,0,2,0.1,0.1,1.4,4,1,42,48,87.5,7,1,3,2b114be3
Jamal Musiala,14,AMCM,19-278,1.de Bayern Munich,90,0,0,0,0,8,2,0,0,67,0,0,1,1.2,1.2,0.2,10,1,30,44,68.2,5,13,20,2c0558b8
İlkay Gündoğan,21,DM,32-038,1.eng Manchester City,54,0,0,0,0,0,0,0,0,79,0,0,0,0.0,0.0,0.0,3,0,71,78,91.0,7,0,0,819b3158
Niclas Füllkrug,9,FW,29-295,1.de Werder Bremen,36,1,1,0,0,4,2,0,0,19,0,0,0,1.6,1.6,0.6,2,1,7,12,58.3,0,0,0,4f16405e
Leon Goretzka,8,DM,27-298,1.de Bayern Munich,45,0,0,0,0,2,1,0,0,24,0,0,0,0.3,0.3,0.0,1,0,18,22,81.8,0,0,0,cc86b9a3
Lukas Klostermann,16,RB,26-181,1.de RB Leipzig,45,0,0,0,0,0,0,0,0,46,3,0,0,0.0,0.0,0.0,0,0,43,43,100.0,4,0,0,ca8033cb
David Raum,3,LB,24-223,1.de RB Leipzig,66,0,1,0,0,0,0,0,0,76,1,0,3,0.0,0.0,0.2,3,1,56,69,81.2,4,1,1,7d450ed3
Mario Götze,11,RM,30-181,1.de Eint Frankfurt,24,0,0,0,0,1,1,0,0,23,1,0,0,0.1,0.1,0.1,2,1,18,19,94.7,0,0,1,9efa1d25
Antonio Rüdiger,2,CB,29-273,1.es Real Madrid,90,0,0,0,0,1,0,0,0,94,0,0,0,0.4,0.4,0.0,3,0,81,88,92.0,11,0,0,18b896d6
Niklas Süle,15,CB,27-089,1.de Dortmund,89,0,0,0,0,0,0,0,0,104,0,0,1,0.0,0.0,0.0,2,0,95,101,94.1,10,0,0,e33c06cf
Matthias Ginter,4,CB,28-316,1.de Freiburg,1,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,3,3,100.0,0,0,0,f521b80a
Joshua Kimmich,6,CMRBDM,27-296,1.de Bayern Munich,90,0,0,0,0,1,1,0,0,142,2,2,3,0.0,0.0,0.7,12,2,115,131,87.8,12,0,0,49296448
Manuel Neuer,1,GK,36-249,1.de Bayern Munich,90,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,0,0,30,30,100.0,0,0,0,8778c910
