Player,#,Pos,Age,Club,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att,-9999
Marko Livaja,14,FW,29-097,1.hr Hajduk Split,63,0,0,0,0,1,0,0,0,16,0,0,1,0.1,0.1,0.0,2,0,8,13,61.5,2,0,0,6e5497ca
Bruno Petković,16,FW,28-076,1.hr Dinamo Zagreb,27,0,0,0,0,0,0,0,0,21,0,0,0,0.0,0.0,0.1,1,0,11,19,57.9,1,0,0,24228180
Ivan Perišić,4,LW,33-302,1.eng Tottenham,90,0,0,0,0,2,0,0,0,54,0,1,1,0.1,0.1,0.1,2,0,30,38,78.9,3,1,4,6fe90922
Andrej Kramarić,9,RW,31-165,1.de Hoffenheim,63,0,0,0,0,0,0,0,0,35,0,0,1,0.0,0.0,0.1,3,0,29,33,87.9,1,0,1,603cb947
Mario Pašalić,15,RW,27-295,1.it Atalanta,27,0,0,0,0,0,0,0,0,7,0,0,1,0.0,0.0,0.0,0,0,4,6,66.7,1,0,0,e599253a
Mateo Kovačić,8,LM,28-209,1.eng Chelsea,89,0,0,0,0,1,1,0,0,71,1,1,0,0.0,0.0,0.1,3,0,59,65,90.8,4,0,2,79c0821a
Lovro Majer,7,LM,24-318,1.fr Rennes,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,0,0,fc46aab1
Marcelo Brozović,11,CM,30-015,1.it Inter,90,0,0,0,0,2,1,0,0,97,2,0,1,0.1,0.1,0.0,3,0,77,87,88.5,4,0,0,33b8d077
Luka Modrić,10,RM,37-083,1.es Real Madrid,90,0,0,0,0,2,2,0,0,66,4,2,0,0.2,0.2,0.0,3,0,44,57,77.2,4,0,0,6025fab1
Borna Sosa,19,LB,24-314,1.de Stuttgart,90,0,0,0,0,2,0,0,0,99,0,1,0,0.1,0.1,0.1,1,0,73,85,85.9,3,1,2,af0d79a9
Joško Gvardiol,20,CB,20-312,1.de RB Leipzig,90,0,0,0,0,0,0,0,0,73,1,0,2,0.0,0.0,0.0,2,0,59,62,95.2,3,1,1,5ad50391
Dejan Lovren,6,CB,33-149,1.ru Zenit,90,0,0,0,0,0,0,0,0,60,0,1,1,0.0,0.0,0.0,0,0,43,56,76.8,1,0,0,1a2935f6
Josip Juranović,22,RB,27-107,1.sct Celtic,90,0,0,0,0,1,0,0,0,68,1,0,3,0.0,0.0,0.0,1,0,42,59,71.2,4,0,1,0a084b35
Dominik Livaković,1,GK,27-326,1.hr Dinamo Zagreb,90,0,0,0,0,0,0,0,0,34,0,0,0,0.0,0.0,0.0,0,0,28,34,82.4,0,0,0,58f077c0
