Player,#,Pos,Age,Club,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att,-9999
Richarlison,9,FW,25-213,1.eng Tottenham,83,0,0,0,0,1,0,0,0,21,1,0,0,0.0,0.0,0.5,4,0,7,14,50.0,2,0,0,fa031b34
Pedro,25,FW,25-172,1.br Flamengo,37,0,0,0,0,2,1,0,0,14,1,1,0,0.3,0.3,0.0,0,0,6,7,85.7,0,0,0,1ab6fad3
Vinicius Júnior,20,LW,22-150,1.es Real Madrid,63,0,0,0,0,2,1,0,0,19,0,0,1,0.2,0.2,0.0,2,0,8,13,61.5,0,1,3,7111d552
Rodrygo,21,LW,21-334,1.es Real Madrid,57,0,0,0,0,0,0,0,0,46,1,0,2,0.0,0.0,0.1,5,0,29,35,82.9,1,0,4,8f5e92a6
Raphinha,11,RW,25-360,1.es Barcelona,55,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.0,0,0,19,24,79.2,3,0,0,3423f250
Antony,19,RW,22-288,1.eng Manchester Utd,65,0,0,0,0,1,1,0,0,43,0,1,1,0.0,0.0,0.0,3,0,25,30,83.3,1,1,7,99127249
Neymar,10,AM,30-307,1.fr Paris S-G,120,1,0,0,0,5,5,0,0,84,1,1,0,1.1,1.1,0.1,5,1,49,63,77.8,5,4,12,69384e5d
Casemiro,5,DM,30-289,1.eng Manchester Utd,120,0,0,0,0,3,1,1,0,85,3,1,7,0.2,0.2,0.1,4,0,51,65,78.5,2,1,2,4d224fe8
Lucas Paquetá,7,DM,25-104,1.eng West Ham,105,0,1,0,0,2,2,0,0,70,1,2,2,0.5,0.5,0.7,3,1,54,61,88.5,3,0,0,9b6f7fd5
Fred,8,DM,29-279,1.eng Manchester Utd,15,0,0,0,0,0,0,0,0,7,1,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,0,0,b853e0ad
Danilo,2,LBRB,31-147,1.it Juventus,120,0,0,0,0,1,0,1,0,119,3,2,1,0.0,0.0,0.0,4,0,91,108,84.3,7,0,0,94b2001f
Thiago Silva,3,CB,38-078,1.eng Chelsea,120,0,0,0,0,0,0,0,0,104,1,2,1,0.0,0.0,0.2,2,0,93,99,93.9,2,0,0,86e7deaf
Marquinhos,4,CB,28-209,1.fr Paris S-G,120,0,0,0,0,1,0,1,0,103,0,1,1,0.1,0.1,0.0,2,0,94,96,97.9,7,0,0,d5f2f82b
Éder Militão,14,RB,24-325,1.es Real Madrid,105,0,0,0,0,3,0,0,0,96,3,2,0,0.1,0.1,0.0,3,0,78,86,90.7,4,0,0,2784f898
Alex Sandro,6,LB,31-317,1.it Juventus,15,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,4,5,80.0,0,0,0,0d82903c
Alisson,1,GK,30-068,1.eng Liverpool,120,0,0,0,0,0,0,0,0,31,0,0,0,0.0,0.0,0.0,0,0,28,30,93.3,0,0,0,7a2e46a8
