Player,#,Pos,Age,Club,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att,-9999
Marko Livaja,14,FW,29-093,1.hr Hajduk Split,59,1,0,0,0,3,3,0,0,23,0,0,0,0.6,0.6,0.0,0,0,8,12,66.7,1,0,0,6e5497ca
Bruno Petković,16,FW,28-072,1.hr Dinamo Zagreb,31,0,0,0,0,0,0,0,0,16,1,0,0,0.0,0.0,0.1,1,0,5,14,35.7,1,0,0,24228180
Ivan Perišić,4,LW,33-298,1.eng Tottenham,85,0,2,0,0,2,1,0,0,51,1,0,1,0.1,0.1,0.5,5,2,28,40,70.0,3,2,5,6fe90922
Mislav Oršić,18,LW,29-333,1.hr Dinamo Zagreb,5,0,1,0,0,1,1,0,0,6,0,0,0,0.1,0.1,0.6,1,1,2,3,66.7,0,0,0,ee950928
Andrej Kramarić,9,RW,31-161,1.de Hoffenheim,72,2,0,0,0,5,3,0,0,41,1,0,0,1.1,1.1,0.0,1,0,28,33,84.8,0,1,1,603cb947
Nikola Vlašić,13,RW,25-054,1.it Torino,18,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,1,0,4,4,100.0,1,0,0,aa8e289e
Mateo Kovačić,8,LM,28-205,1.eng Chelsea,85,0,0,0,0,0,0,0,0,53,5,1,0,0.0,0.0,0.8,5,1,42,46,91.3,6,2,2,79c0821a
Mario Pašalić,15,RM,27-291,1.it Atalanta,5,0,0,0,0,0,0,0,0,8,1,0,1,0.0,0.0,0.0,0,0,6,6,100.0,1,0,1,e599253a
Marcelo Brozović,11,CM,30-011,1.it Inter,90,0,0,0,0,1,1,0,0,77,3,0,6,0.3,0.3,0.0,2,1,54,62,87.1,5,0,2,33b8d077
Luka Modrić,10,RM,37-079,1.es Real Madrid,85,0,0,0,0,0,0,1,0,64,3,2,1,0.0,0.0,0.5,4,0,42,53,79.2,4,1,2,6025fab1
Lovro Majer,7,LM,24-314,1.fr Rennes,5,1,0,0,0,1,1,0,0,6,1,0,0,0.6,0.6,0.0,0,0,2,3,66.7,0,0,1,fc46aab1
Borna Sosa,19,LB,24-310,1.de Stuttgart,90,0,0,0,0,0,0,0,0,65,4,1,1,0.0,0.0,0.0,1,0,43,57,75.4,1,0,0,af0d79a9
Joško Gvardiol,20,CB,20-308,1.de RB Leipzig,90,0,0,0,0,0,0,0,0,63,3,2,0,0.0,0.0,0.0,0,0,44,51,86.3,2,0,0,5ad50391
Dejan Lovren,6,CB,33-145,1.ru Zenit,90,0,0,0,0,0,0,1,0,51,1,2,0,0.0,0.0,0.0,1,0,41,43,95.3,3,0,0,1a2935f6
Josip Juranović,22,RB,27-103,1.sct Celtic,90,0,1,0,0,0,0,0,0,61,1,2,1,0.0,0.0,0.1,1,1,38,51,74.5,3,0,0,0a084b35
Dominik Livaković,1,GK,27-322,1.hr Dinamo Zagreb,90,0,0,0,0,0,0,0,0,21,0,0,0,0.0,0.0,0.0,0,0,15,20,75.0,0,0,0,58f077c0
