Player,#,Pos,Age,Club,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att,-9999
Youssef En-Nesyri,19,FW,25-199,1.es Sevilla,90,0,0,0,0,4,1,0,0,24,0,0,0,0.4,0.4,0.0,0,0,10,16,62.5,0,0,0,04e17fd5
Sofiane Boufal,17,LW,29-091,1.fr Angers,63,0,0,0,0,1,0,0,0,30,2,0,1,0.1,0.1,0.0,1,0,16,21,76.2,2,1,2,b0c71810
Anass Zaroury,10,LW,22-040,2.eng Burnley,27,0,0,0,0,0,0,0,0,15,0,0,2,0.0,0.0,0.0,0,0,8,13,61.5,0,1,1,07d65234
Hakim Ziyech,7,RW,29-273,1.eng Chelsea,90,0,0,0,0,2,0,0,0,81,0,3,1,0.0,0.0,0.1,6,1,53,70,75.7,7,5,7,6622454d
Abdelhamid Sabiri,11,LM,26-019,1.it Sampdoria,45,0,0,0,0,0,0,0,0,16,1,0,0,0.0,0.0,0.0,0,0,9,10,90.0,0,0,3,4830e0af
Ilias Chair,13,LMRM,25-048,2.eng QPR,45,0,0,0,0,0,0,0,0,18,1,0,0,0.0,0.0,0.0,1,0,13,15,86.7,0,0,1,ad7873cb
Sofyan Amrabat,4,CMCB,26-118,1.it Fiorentina,90,0,0,0,0,0,0,0,0,53,1,0,0,0.0,0.0,0.0,1,0,44,51,86.3,5,0,0,5a2cb25d
Bilal El Khannous,23,RMLM,18-221,1.be Genk,55,0,0,0,0,0,0,0,0,29,0,0,1,0.0,0.0,0.0,1,1,20,24,83.3,2,0,1,f7042636
Azzedine Ounahi,8,CMLM,22-242,1.fr Angers,35,0,0,0,0,0,0,1,0,30,0,0,0,0.0,0.0,0.0,1,0,24,26,92.3,4,0,1,83299cc0
Yahya Attiat Allah,25,LB,27-290,1.ma Wydad Casablanca,90,0,0,0,0,0,0,0,0,57,0,0,1,0.0,0.0,0.0,2,0,39,49,79.6,1,0,1,432848a2
Achraf Dari,20,CB,23-225,1.fr Brest,63,1,0,0,0,1,1,0,0,43,0,2,1,0.6,0.6,0.0,0,0,29,31,93.5,1,0,0,5069b796
Badr Banoun,24,CB,29-078,1.qa Qatar SC,27,0,0,0,0,0,0,0,0,23,0,1,1,0.0,0.0,0.0,0,0,21,21,100.0,1,0,0,06a24e51
Jawad El Yamiq,18,CB,30-291,1.es Valladolid,65,0,0,0,0,1,0,0,0,41,0,1,1,0.1,0.1,0.0,0,0,31,35,88.6,0,0,0,f6f6b6e8
Selim Amallah,15,RM,26-032,1.be Standard Liège,25,0,0,0,0,0,0,1,0,22,2,2,0,0.0,0.0,0.0,1,0,11,16,68.8,0,0,1,00eba9c9
Achraf Hakimi,2,RB,24-043,1.fr Paris S-G,90,0,0,0,0,0,0,0,0,81,3,1,1,0.0,0.0,0.1,3,0,60,71,84.5,0,0,1,e42d61c7
Yassine Bounou,1,GK,31-256,1.es Sevilla,90,0,0,0,0,0,0,0,0,46,0,0,0,0.0,0.0,0.0,0,0,39,45,86.7,0,0,0,f6798fc3
