Player,#,Pos,Age,Club,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att,-9999
Issam Jebali,9,FW,30-332,1.dk Odense,79,0,0,0,0,3,1,0,0,30,3,0,1,0.5,0.5,0.0,4,0,11,15,73.3,0,0,0,4b751020
Taha Yassine Khenissi,11,FW,30-320,1.kw Kuwait SC,11,0,0,0,0,0,0,1,0,3,0,0,0,0.0,0.0,0.0,0,0,1,3,33.3,0,0,0,44d6aedb
Youssef Msakni,7,AM,32-025,1.qa Al-Arabi SC,79,0,0,0,0,3,0,0,0,36,2,0,1,0.1,0.1,0.5,3,0,19,27,70.4,3,3,3,0083e371
Hannibal Mejbri,8,AM,19-305,2.eng Birmingham City,11,0,0,0,0,0,0,0,0,4,1,1,0,0.0,0.0,0.0,0,0,2,2,100.0,0,0,0,ca22ccb0
Anis Ben Slimane,25,AM,21-251,1.dk Brøndby,66,0,0,0,0,0,0,0,0,31,0,0,1,0.0,0.0,0.1,5,0,14,22,63.6,0,0,1,9ade9ce1
Naïm Sliti,23,AM,30-118,1.sa Al-Ettifaq,24,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,0,0,7,11,63.6,1,2,2,2e0367a6
Aïssa Laïdouni,14,CM,25-344,1.hu Ferencváros,87,0,0,0,0,1,0,0,0,58,2,2,2,0.0,0.0,0.0,0,0,37,46,80.4,2,1,2,22798128
Ferjani Sassi,13,CM,30-249,1.qa Al Duhail SC,3,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,2,0.0,0,0,0,35bf6065
Ellyes Skhiri,17,CM,27-196,1.de Köln,90,0,0,0,0,2,0,0,0,46,4,2,0,0.1,0.1,0.0,2,0,30,33,90.9,2,0,0,c2211709
Ali Abdi,24,WB,28-337,2.fr Caen,90,0,0,0,0,0,0,0,0,63,7,1,0,0.0,0.0,0.0,1,0,27,45,60.0,2,1,1,ad7cdb35
Mohamed Dräger,20,WB,26-150,1.ch Luzern,87,0,0,0,0,2,0,0,0,40,2,0,0,0.0,0.0,0.0,5,0,22,31,71.0,2,0,1,8954fddc
Wajdi Kechrida,21,WB,27-017,1.gr Atromitos,3,0,0,0,0,0,0,0,0,7,1,0,1,0.0,0.0,0.0,0,0,0,1,0.0,0,0,0,11962fe7
Montassar Talbi,3,CB,24-180,1.fr Lorient,90,0,0,0,0,0,0,0,0,62,0,1,3,0.0,0.0,0.0,0,0,38,47,80.9,0,0,0,a4a44eb0
Yassine Meriah,4,CB,29-143,1.tn Espérance de Tunis,90,0,0,0,0,1,0,0,0,65,0,1,0,0.1,0.1,0.0,1,0,44,54,81.5,1,0,0,3640af28
Dylan Bronn,6,CB,27-156,1.it Salernitana,90,0,0,0,0,1,0,0,0,46,2,0,1,0.1,0.1,0.0,1,0,30,42,71.4,1,0,0,edd81e2a
Aimen Dahmen,16,GK,25-298,1.tn CS Sfaxien,90,0,0,0,0,0,0,0,0,40,0,0,0,0.0,0.0,0.0,0,0,26,38,68.4,0,0,0,8bf49030
