Player,#,Pos,Age,Club,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att,-9999
Michael Estrada,11,FW,26-236,1.mx Cruz Azul,63,0,0,0,0,1,0,0,0,16,0,0,1,0.1,0.1,0.0,0,0,2,9,22.2,0,0,0,773f5f12
Djorkaeff Reasco,24,FW,23-315,1.ar Newell's OB,27,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,0,0,5d7b7f0e
Enner Valencia,13,FWLW,33-025,1.tr Fenerbahçe,90,0,0,0,0,2,0,0,0,27,0,0,1,0.1,0.1,0.0,2,0,11,14,78.6,0,0,1,fb485406
Gonzalo Plata,19,AMRW,22-028,1.es Valladolid,90,0,0,0,0,1,1,0,0,43,1,0,1,0.1,0.1,0.1,2,0,23,35,65.7,0,1,3,54bcdeb0
Moisés Caicedo,23,DMLM,21-027,1.eng Brighton,90,1,0,0,0,1,1,0,0,57,1,0,1,0.4,0.4,0.0,2,0,42,53,79.2,2,0,0,16264a81
Carlos Gruezo,8,CM,27-224,1.de Augsburg,45,0,0,0,0,0,0,0,0,19,2,0,0,0.0,0.0,0.0,0,0,15,15,100.0,1,0,0,f2dd9a21
José Cifuentes,5,DM,23-262,1.us Los Angeles FC,45,0,0,0,0,1,1,0,0,39,2,0,0,0.0,0.0,0.0,0,0,28,35,80.0,1,0,0,8c8c07a7
Alan Franco,21,RM,24-100,1.ar Talleres,45,0,0,0,0,0,0,0,0,9,1,2,0,0.0,0.0,0.0,0,0,4,5,80.0,1,0,0,c76b161b
Jeremy Sarmiento,16,AM,20-166,1.eng Brighton,45,0,0,0,0,1,1,0,0,20,0,1,0,0.1,0.1,0.1,1,0,11,18,61.1,0,1,2,ac0d576d
Pervis Estupiñán,7,LB,24-312,1.eng Brighton,90,0,0,0,0,0,0,0,0,64,2,1,2,0.0,0.0,0.1,4,0,44,56,78.6,3,1,1,d38fdf53
Piero Hincapié,3,CB,20-324,1.de Leverkusen,90,0,0,0,0,0,0,0,0,96,3,0,0,0.0,0.0,0.0,2,0,72,85,84.7,3,0,0,0c7a48f8
Félix Torres Caicedo,2,CB,25-322,1.mx Santos,90,0,1,0,0,1,0,0,0,88,1,2,3,0.1,0.1,0.4,1,1,58,73,79.5,1,0,0,c0a8860f
Ángelo Preciado,17,RB,24-284,1.be Genk,84,0,0,0,0,0,0,0,0,52,2,1,0,0.0,0.0,0.1,1,0,28,42,66.7,2,0,2,eadc8e4f
Jackson Porozo,25,RB,22-117,1.fr Troyes,6,0,0,0,0,1,0,0,0,9,0,0,0,0.1,0.1,0.0,0,0,4,5,80.0,0,0,0,7d704e92
Hernán Galíndez,1,GK,35-244,1.ec SD Aucas,90,0,0,0,0,0,0,0,0,38,0,0,0,0.0,0.0,0.0,0,0,21,35,60.0,0,0,0,89c136f6
