Player,#,Pos,Age,Club,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att,-9999
Harry Kane,9,FW,29-116,1.eng Tottenham,75,0,2,0,0,0,0,0,0,17,0,0,0,0.0,0.0,0.7,4,2,10,16,62.5,2,1,2,21a66f6a
Callum Wilson,24,FW,30-267,1.eng Newcastle Utd,15,0,1,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.6,1,1,4,4,100.0,0,0,0,c596fcb0
Raheem Sterling,10,LW,27-348,1.eng Chelsea,70,1,1,0,0,1,1,0,0,34,0,0,0,0.4,0.4,0.1,4,3,25,29,86.2,2,2,3,b400bde0
Jack Grealish,7,LW,27-072,1.eng Manchester City,20,1,0,0,0,1,1,0,0,24,1,1,1,0.6,0.6,0.0,0,0,19,19,100.0,1,0,1,b0b4fd3e
Bukayo Saka,17,RW,21-077,1.eng Arsenal,69,2,0,0,0,3,3,0,0,44,1,1,3,0.2,0.2,0.1,2,0,23,28,82.1,2,1,6,bc7dc64d
Marcus Rashford,11,RW,25-021,1.eng Manchester Utd,21,1,0,0,0,2,1,0,0,26,0,0,0,0.4,0.4,0.0,1,0,15,20,75.0,0,1,3,a1d5bd30
Mason Mount,19,AM,23-315,1.eng Chelsea,70,0,0,0,0,1,0,0,0,44,1,0,1,0.1,0.1,0.0,1,0,32,37,86.5,2,2,2,9674002f
Phil Foden,20,AM,22-177,1.eng Manchester City,20,0,0,0,0,0,0,0,0,23,0,0,0,0.0,0.0,0.1,1,0,15,19,78.9,1,1,1,ed1e53f3
Declan Rice,4,DM,23-311,1.eng West Ham,90,0,0,0,0,0,0,0,0,105,1,3,1,0.0,0.0,0.0,0,0,90,96,93.8,1,0,1,1c7012b8
Jude Bellingham,22,DM,19-145,1.de Dortmund,90,1,0,0,0,1,1,0,0,108,3,0,2,0.1,0.1,0.0,2,2,92,98,93.9,5,2,2,57d88cf9
Luke Shaw,3,LB,27-132,1.eng Manchester Utd,90,0,1,0,0,1,0,0,0,121,0,1,0,0.0,0.0,0.1,2,2,101,118,85.6,6,1,1,9c94165b
Harry Maguire,6,CB,29-261,1.eng Manchester Utd,69,0,1,0,0,2,0,0,0,79,1,0,1,0.2,0.2,0.0,1,1,66,74,89.2,2,1,1,d8931174
Eric Dier,15,CB,28-310,1.eng Tottenham,21,0,0,0,0,0,0,0,0,31,0,0,0,0.0,0.0,0.0,0,0,30,30,100.0,0,0,0,ac861941
John Stones,5,CB,28-177,1.eng Manchester City,90,0,0,0,0,0,0,0,0,118,0,0,0,0.0,0.0,0.0,0,0,116,117,99.1,6,1,1,5eecec3d
Kieran Trippier,12,RB,32-063,1.eng Newcastle Utd,90,0,0,0,0,1,0,0,0,111,5,1,2,0.0,0.0,0.1,2,0,85,104,81.7,5,0,0,21512407
Jordan Pickford,1,GK,28-259,1.eng Everton,90,0,0,0,0,0,0,0,0,31,0,0,0,0.0,0.0,0.0,1,1,17,29,58.6,0,0,0,4806ec67
