Player,#,Pos,Age,Club,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att,-9999
Boulaye Dia,9,FWRW,26-018,1.it Salernitana,71,0,0,0,0,2,1,0,0,13,0,0,1,0.2,0.2,0.0,2,0,8,9,88.9,1,0,0,244bc2c8
Famara Diedhiou,19,FW,29-354,1.tr Alanyaspor,19,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,3,0,4,5,80.0,0,0,0,e447352c
Ismaila Sarr,18,LW,24-282,2.eng Watford,90,0,0,0,0,2,0,0,0,33,0,0,0,0.4,0.4,0.1,1,0,17,22,77.3,2,1,2,bfdb33aa
Krépin Diatta,15,RW,23-282,1.fr Monaco,45,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.1,1,0,8,12,66.7,0,0,0,8104e41e
Pape Matar Sarr,17,DM,20-081,1.eng Tottenham,45,0,0,0,0,4,0,0,0,39,2,0,1,0.1,0.1,0.0,0,0,24,29,82.8,1,0,2,feb5d972
Iliman Ndiaye,13,AM,22-273,2.eng Sheffield Utd,45,0,0,0,0,0,0,0,0,12,0,1,1,0.0,0.0,0.0,0,0,7,8,87.5,0,0,0,5ed97752
Bamba Dieng,20,FWRW,22-256,1.fr Marseille,45,0,0,0,0,1,0,0,0,12,1,0,1,0.0,0.0,0.0,3,0,2,5,40.0,0,0,2,40774c6b
Nampalys Mendy,6,DM,30-164,1.eng Leicester City,90,0,0,0,0,0,0,0,0,57,0,1,3,0.0,0.0,0.0,2,0,49,50,98.0,2,0,0,1598599e
Pathé Ciss,11,DM,28-263,1.es Rayo Vallecano,45,0,0,0,0,0,0,0,0,25,1,1,0,0.0,0.0,0.0,0,0,15,20,75.0,4,0,0,9a0408b6
Pape Gueye,26,AM,23-314,1.fr Marseille,45,0,0,0,0,1,0,0,0,23,1,0,0,0.0,0.0,0.0,1,0,17,20,85.0,1,0,1,7155e3e1
Ismail Jakobs,14,LB,23-109,1.fr Monaco,83,0,0,0,0,0,0,0,0,46,0,1,0,0.0,0.0,0.1,1,0,25,38,65.8,2,0,1,a0415710
Fodé Ballo-Touré,12,LB,25-335,1.it Milan,7,0,0,0,0,0,0,0,0,10,0,0,1,0.0,0.0,0.0,0,0,5,8,62.5,0,0,1,f449640d
Abdou Diallo,22,CB,26-214,1.de RB Leipzig,90,0,0,0,0,0,0,0,0,56,0,0,0,0.0,0.0,0.0,0,0,43,53,81.1,2,0,0,fc62f087
Kalidou Koulibaly,3,CB,31-167,1.eng Chelsea,90,0,0,0,0,0,0,1,0,69,4,0,2,0.0,0.0,0.0,0,0,36,54,66.7,1,0,0,da974c7b
Youssouf Sabaly,21,RB,29-274,1.es Betis,90,0,0,0,0,0,0,0,0,47,2,2,1,0.0,0.0,0.0,2,0,35,41,85.4,0,1,2,fbbb9269
Edouard Mendy,16,GK,30-278,1.eng Chelsea,90,0,0,0,0,0,0,0,0,29,0,0,1,0.0,0.0,0.0,0,0,20,26,76.9,0,0,0,33887998
