Player,#,Pos,Age,Club,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att,-9999
Harry Kane,9,FW,29-120,1.eng Tottenham,90,0,0,0,0,2,0,0,0,34,2,0,0,0.3,0.3,0.0,1,0,16,24,66.7,4,1,3,21a66f6a
Raheem Sterling,10,LW,27-352,1.eng Chelsea,67,0,0,0,0,0,0,0,0,25,0,1,1,0.0,0.0,0.0,0,0,16,19,84.2,0,0,0,b400bde0
Jack Grealish,7,LW,27-076,1.eng Manchester City,23,0,0,0,0,0,0,0,0,16,0,1,1,0.0,0.0,0.0,2,0,9,12,75.0,2,0,2,b0b4fd3e
Bukayo Saka,17,RW,21-081,1.eng Arsenal,77,0,0,0,0,1,0,0,0,32,0,1,1,0.2,0.2,0.2,1,0,19,25,76.0,1,0,1,bc7dc64d
Marcus Rashford,11,RW,25-025,1.eng Manchester Utd,13,0,0,0,0,1,1,0,0,3,0,0,0,0.0,0.0,0.0,1,0,2,2,100.0,0,1,1,a1d5bd30
Mason Mount,19,AMLM,23-319,1.eng Chelsea,90,0,0,0,0,2,1,0,0,40,1,0,1,0.1,0.1,0.0,0,0,24,31,77.4,2,0,1,9674002f
Declan Rice,4,DMCM,23-315,1.eng West Ham,90,0,0,0,0,0,0,0,0,69,1,3,1,0.0,0.0,0.0,0,0,56,61,91.8,3,0,0,1c7012b8
Jude Bellingham,22,DM,19-149,1.de Dortmund,68,0,0,0,0,0,0,0,0,45,2,1,3,0.0,0.0,0.0,2,0,31,35,88.6,1,0,1,57d88cf9
Jordan Henderson,8,RM,32-161,1.eng Liverpool,22,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,0,0,10,13,76.9,1,0,0,935e6b8f
Luke Shaw,3,LB,27-136,1.eng Manchester Utd,90,0,0,0,0,0,0,0,0,85,1,1,2,0.0,0.0,0.4,4,0,70,84,83.3,8,1,1,9c94165b
Harry Maguire,6,CB,29-265,1.eng Manchester Utd,90,0,0,0,0,1,1,0,0,92,1,1,1,0.0,0.0,0.0,1,0,71,81,87.7,5,1,1,d8931174
John Stones,5,CB,28-181,1.eng Manchester City,90,0,0,0,0,1,0,0,0,96,1,0,1,0.0,0.0,0.0,1,0,86,89,96.6,6,0,0,5eecec3d
Kieran Trippier,12,RB,32-067,1.eng Newcastle Utd,90,0,0,0,0,0,0,0,0,76,0,0,0,0.0,0.0,0.1,3,0,63,74,85.1,7,1,1,21512407
Jordan Pickford,1,GK,28-263,1.eng Everton,90,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.0,0,0,22,27,81.5,0,0,0,4806ec67
