Player,#,Pos,Age,Club,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att,-9999
Mitchell Duke,15,FW,31-308,2.jp Fagi Okayama,55,0,0,0,0,1,0,1,0,13,0,1,1,0.0,0.0,0.0,1,0,7,9,77.8,0,0,0,293f5bf9
Jason Cummings,25,FW,27-113,1.au Central Coast,35,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,4,6,66.7,1,0,1,e28fbd0e
Craig Goodwin,23,LM,30-341,1.au Adelaide,72,1,0,0,0,1,1,0,0,29,1,0,0,0.3,0.3,0.0,0,0,18,25,72.0,1,0,0,b2741e3d
Garang Kuol,21,RM,18-068,1.au Central Coast,18,0,0,0,0,0,0,0,0,5,0,1,0,0.0,0.0,0.0,0,0,2,3,66.7,0,0,2,a8a80be7
Riley McGree,14,CM,24-020,2.eng Middlesbrough,72,0,0,0,0,1,0,0,0,28,1,1,0,0.0,0.0,0.2,1,0,17,21,81.0,0,0,0,59d61727
Awer Mabil,11,LMCM,27-068,1.es Cádiz,18,0,0,0,0,0,0,0,0,14,0,0,0,0.0,0.0,0.0,0,0,9,13,69.2,0,0,0,922da988
Jackson Irvine,22,CM,29-260,2.de St. Pauli,84,0,0,0,0,1,0,1,0,42,2,2,0,0.2,0.2,0.0,0,0,26,34,76.5,2,0,0,4637747c
Keanu Baccus,26,CM,24-168,1.sct St Mirren,6,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,6,8,75.0,0,0,0,19df2bf7
Mathew Leckie,7,RMCM,31-291,1.au Melb City,90,0,1,0,0,0,0,0,0,41,1,0,0,0.0,0.0,0.3,2,1,21,29,72.4,3,1,3,b93b7882
Aaron Mooy,13,DM,32-068,1.sct Celtic,90,0,0,0,0,0,0,1,0,79,3,0,2,0.0,0.0,0.0,0,0,59,67,88.1,4,2,2,47b7e3af
Aziz Behich,16,LB,31-341,1.sct Dundee United,90,0,0,0,0,0,0,0,0,72,0,1,1,0.0,0.0,0.0,1,0,55,65,84.6,2,0,1,b6867b96
Kye Rowles,4,CB,24-151,1.sct Hearts,90,0,0,0,0,0,0,0,0,71,1,1,3,0.0,0.0,0.0,0,0,59,62,95.2,0,0,0,8caf6772
Harry Souttar,19,CB,24-031,2.eng Stoke City,90,0,0,0,0,0,0,0,0,62,0,1,2,0.0,0.0,0.0,1,1,44,53,83.0,2,0,0,0a6cb1b1
Nathaniel Atkinson,3,RB,23-162,1.sct Hearts,84,0,0,0,0,0,0,0,0,43,4,1,1,0.0,0.0,0.0,0,0,27,34,79.4,3,0,2,51caa1f0
Miloš Degenek,2,RB,28-208,1.us Columbus Crew,6,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,10,10,100.0,0,0,0,c8e65157
Mathew Ryan,1,GK,30-228,1.dk FC Copenhagen,90,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,0,0,27,34,79.4,0,0,0,4535e4bb
