Player,#,Pos,Age,Club,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att,-9999
Olivier Giroud,9,FW,36-057,1.it Milan,62,0,0,0,0,2,0,0,0,17,0,0,0,0.2,0.2,0.0,1,0,8,11,72.7,0,0,0,16ceb862
Marcus Thuram,26,FWLW,25-112,1.de M'Gladbach,28,0,0,0,0,0,0,0,0,9,0,0,1,0.0,0.0,0.0,0,0,2,3,66.7,0,2,3,6f8cd6d0
Kylian Mbappé,10,LWFW,23-341,1.fr Paris S-G,90,2,0,0,0,6,4,0,0,52,0,0,0,1.0,1.0,0.1,9,1,30,37,81.1,4,2,6,42fd9c7f
Ousmane Dembélé,11,RW,25-195,1.es Barcelona,74,0,0,0,0,2,0,0,0,34,2,0,0,0.1,0.1,0.3,5,0,21,28,75.0,2,3,6,b19db005
Kingsley Coman,20,RW,26-166,1.de Bayern Munich,16,0,0,0,0,0,0,0,0,18,0,0,0,0.0,0.0,0.1,2,0,13,14,92.9,0,2,4,042e8a49
Antoine Griezmann,7,AM,31-250,1.es Atlético Madrid,89,0,1,0,0,2,1,0,0,55,4,2,2,0.3,0.3,0.9,8,1,37,50,74.0,2,1,1,df69b544
Youssouf Fofana,13,LM,23-320,1.fr Monaco,1,0,0,0,0,0,0,0,0,3,0,0,1,0.0,0.0,0.0,0,0,2,2,100.0,0,0,0,822d51d7
Adrien Rabiot,14,DMCM,27-237,1.it Juventus,90,0,0,0,0,4,1,0,0,59,2,2,4,0.4,0.4,0.0,3,0,41,44,93.2,2,0,0,8794e251
Aurélien Tchouaméni,8,DMRM,22-303,1.es Real Madrid,90,0,0,0,0,2,0,0,0,77,4,2,1,0.2,0.2,0.4,4,0,66,67,98.5,5,0,0,4f255115
Theo Hernández,22,LB,25-051,1.it Milan,90,0,1,0,0,0,0,0,0,84,3,1,0,0.0,0.0,0.4,5,1,66,73,90.4,4,0,0,d4c9725f
Dayot Upamecano,18,CB,24-030,1.de Bayern Munich,90,0,0,0,0,0,0,0,0,67,3,1,0,0.0,0.0,0.0,2,0,56,58,96.6,5,0,0,d248cd8f
Raphaël Varane,4,CB,29-215,1.eng Manchester Utd,74,0,0,0,0,1,0,0,0,45,0,0,1,0.1,0.1,0.0,0,0,32,38,84.2,0,0,0,9f8e9423
Ibrahima Konaté,24,CB,23-185,1.eng Liverpool,16,0,0,0,0,0,0,0,0,14,1,0,0,0.0,0.0,0.0,0,0,11,13,84.6,0,0,0,5ed9b537
Jules Koundé,5,RB,24-014,1.es Barcelona,90,0,0,0,0,2,0,1,0,73,1,2,0,0.1,0.1,0.0,1,1,50,67,74.6,2,0,0,4d1666ff
Hugo Lloris,1,GK,35-335,1.eng Tottenham,90,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,0,0,20,34,58.8,0,0,0,8f62b6ee
