Player,#,Pos,Age,Club,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att,-9999
Olivier Giroud,9,FW,36-075,1.it Milan,64,0,0,0,0,3,0,0,0,23,0,1,0,0.3,0.3,0.0,1,0,7,15,46.7,1,0,0,16ceb862
Marcus Thuram,26,LW,25-130,1.de M'Gladbach,26,0,0,0,0,1,0,0,0,20,2,0,0,0.2,0.2,0.1,2,0,6,9,66.7,1,1,4,6f8cd6d0
Kylian Mbappé,10,LWFW,23-359,1.fr Paris S-G,90,0,0,0,0,3,0,0,0,31,0,0,0,0.6,0.6,0.1,8,2,12,16,75.0,1,6,8,42fd9c7f
Ousmane Dembélé,11,RW,25-213,1.es Barcelona,78,0,0,0,0,0,0,0,0,30,3,1,1,0.0,0.0,0.0,0,0,14,20,70.0,1,2,5,b19db005
Randal Kolo Muani,12,RW,24-009,1.de Eint Frankfurt,12,1,0,0,0,1,1,0,0,6,0,0,1,0.7,0.7,0.0,0,0,2,4,50.0,0,0,0,c0b3669f
Antoine Griezmann,7,AM,31-268,1.es Atlético Madrid,90,0,0,0,0,0,0,0,0,41,2,2,1,0.0,0.0,0.4,5,0,24,31,77.4,1,0,2,df69b544
Youssouf Fofana,13,DM,23-338,1.fr Monaco,90,0,0,0,0,2,0,0,0,42,4,2,3,0.1,0.1,0.0,1,0,26,32,81.3,2,1,1,822d51d7
Aurélien Tchouaméni,8,DM,22-321,1.es Real Madrid,90,0,0,0,0,1,0,0,0,62,1,4,1,0.0,0.0,0.6,3,0,40,48,83.3,3,1,2,4f255115
Theo Hernández,22,LB,25-069,1.it Milan,90,1,0,0,0,1,1,0,0,43,4,1,2,0.1,0.1,0.0,1,0,24,35,68.6,2,0,0,d4c9725f
Ibrahima Konaté,24,CB,23-203,1.eng Liverpool,90,0,0,0,0,0,0,0,0,63,2,5,4,0.0,0.0,0.1,1,0,44,48,91.7,2,0,0,5ed9b537
Raphaël Varane,4,CB,29-233,1.eng Manchester Utd,90,0,0,0,0,1,0,0,0,59,0,1,0,0.1,0.1,0.0,1,0,52,56,92.9,2,0,0,9f8e9423
Jules Koundé,5,RB,24-032,1.es Barcelona,90,0,0,0,0,1,0,0,0,58,3,1,3,0.0,0.0,0.0,0,0,42,48,87.5,1,0,0,4d1666ff
Hugo Lloris,1,GK,35-353,1.eng Tottenham,90,0,0,0,0,0,0,0,0,30,0,0,0,0.0,0.0,0.0,1,0,16,28,57.1,0,0,0,8f62b6ee
