Player,#,Pos,Age,Club,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att,-9999
Robert Lewandowski,9,FW,34-105,1.es Barcelona,90,1,0,1,1,4,0,0,0,42,0,1,0,1.1,0.3,0.0,3,1,24,29,82.8,0,0,1,8d78e732
Przemysław Frankowski,24,LM,27-236,1.fr Lens,86,0,0,0,0,1,0,0,0,29,2,1,0,0.0,0.0,0.0,4,0,15,22,68.2,1,1,1,00a8d210
Kamil Grosicki,11,LM,34-179,1.pl Pogoń Szczecin,4,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.1,2,0,4,6,66.7,0,1,1,81d8091f
Sebastian Szymański,19,CM,23-208,1.nl Feyenoord,63,0,0,0,0,0,0,0,0,23,3,1,1,0.0,0.0,0.0,1,0,11,16,68.8,0,0,0,bb718263
Arkadiusz Milik,7,CM,28-279,1.it Juventus,27,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.1,1,0,5,9,55.6,0,0,0,85613cf0
Piotr Zieliński,20,CM,28-198,1.it Napoli,90,0,0,0,0,2,1,0,0,79,3,0,0,0.4,0.4,0.1,5,0,62,71,87.3,6,0,1,a5296e55
Jakub Kamiński,13,RM,20-182,1.de Wolfsburg,70,0,0,0,0,2,0,0,0,28,2,0,1,0.2,0.2,0.0,0,0,13,20,65.0,0,2,3,202b3b68
Nicola Zalewski,21,RM,20-315,1.it Roma,20,0,0,0,0,0,0,0,0,9,2,0,0,0.0,0.0,0.0,0,0,3,4,75.0,1,0,1,45191c29
Grzegorz Krychowiak,10,DM,32-309,1.sa Al-Shabab,70,0,0,0,0,0,0,0,0,54,1,2,2,0.0,0.0,0.0,0,0,38,46,82.6,3,1,1,580d52dd
Krystian Bielik,6,DM,24-334,3.eng Derby County,20,0,0,0,0,0,0,0,0,22,1,0,0,0.0,0.0,0.0,1,0,19,20,95.0,2,0,0,8e0ec853
Bartosz Bereszyński,18,LB,30-145,1.it Sampdoria,90,0,0,0,0,0,0,1,0,62,0,0,1,0.0,0.0,0.0,1,0,42,51,82.4,2,1,4,61b3978f
Jakub Kiwior,14,CB,22-292,1.it Spezia,85,0,0,0,0,0,0,0,0,79,0,0,1,0.0,0.0,0.0,0,0,69,75,92.0,1,0,0,dc3e663e
Jan Bednarek,5,CB,26-236,1.eng Aston Villa,5,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,6,6,100.0,0,0,0,4115ce4e
Kamil Glik,15,CB,34-304,2.it Benevento,90,0,0,0,0,1,0,0,0,44,1,1,0,0.0,0.0,0.0,0,0,35,38,92.1,1,0,0,c6056d58
Matty Cash,2,RB,25-119,1.eng Aston Villa,90,0,0,0,0,1,0,1,0,59,2,0,2,0.0,0.0,0.1,1,0,37,48,77.1,2,0,1,2389cdc2
Wojciech Szczęsny,1,GK,32-230,1.it Juventus,90,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,0,0,18,29,62.1,0,0,0,01b8a2b2
