Player,#,Pos,Age,Club,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att,-9999
Kai Havertz,7,FW,23-165,1.eng Chelsea,78,0,0,0,0,0,0,0,0,26,1,0,0,0.0,0.0,0.0,3,0,18,23,78.3,1,0,0,fed7cb61
Niclas Füllkrug,9,FW,29-287,1.de Werder Bremen,12,0,0,0,0,1,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,3,5,60.0,0,0,0,4f16405e
Jamal Musiala,14,LWAM,19-270,1.de Bayern Munich,78,0,0,0,0,3,0,0,0,59,1,0,1,0.3,0.3,0.1,6,0,38,42,90.5,4,1,6,2c0558b8
Mario Götze,11,AM,30-173,1.de Eint Frankfurt,12,0,0,0,0,0,0,0,0,8,0,0,2,0.0,0.0,0.0,2,0,3,4,75.0,1,0,1,9efa1d25
Serge Gnabry,10,RWLW,27-132,1.de Bayern Munich,89,0,0,0,0,6,3,0,0,59,1,0,0,0.7,0.7,0.3,5,0,39,51,76.5,1,1,1,88e357ef
Youssoufa Moukoko,26,LW,18-003,1.de Dortmund,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,0,0,6ce43701
Thomas Müller,13,AM,33-071,1.de Bayern Munich,66,0,0,0,0,0,0,0,0,43,2,0,1,0.0,0.0,0.1,6,0,29,40,72.5,3,0,0,3c6089ab
Jonas Hofmann,18,RW,30-132,1.de M'Gladbach,24,0,0,0,0,1,1,0,0,20,0,0,0,0.3,0.3,0.1,4,0,15,18,83.3,1,0,1,2903a856
İlkay Gündoğan,21,DM,32-030,1.eng Manchester City,66,1,0,1,1,5,2,0,0,81,0,0,1,1.1,0.4,0.0,2,0,67,72,93.1,8,1,1,819b3158
Leon Goretzka,8,DM,27-290,1.de Bayern Munich,24,0,0,0,0,1,0,0,0,10,0,0,0,0.1,0.1,0.0,0,0,5,8,62.5,0,0,0,cc86b9a3
Joshua Kimmich,6,DM,27-288,1.de Bayern Munich,90,0,0,0,0,4,2,0,0,107,0,0,2,0.2,0.2,0.4,6,1,82,97,84.5,7,0,2,49296448
David Raum,3,LB,24-215,1.de RB Leipzig,90,0,0,0,0,0,0,0,0,91,3,2,2,0.0,0.0,0.3,8,1,63,78,80.8,7,0,2,7d450ed3
Nico Schlotterbeck,23,CB,22-357,1.de Dortmund,90,0,0,0,0,0,0,0,0,129,3,1,2,0.0,0.0,0.1,3,0,107,119,89.9,6,0,2,34e12499
Antonio Rüdiger,2,CB,29-265,1.es Real Madrid,90,0,0,0,0,3,0,0,0,125,0,0,3,0.3,0.3,0.0,1,0,108,115,93.9,4,0,1,18b896d6
Niklas Süle,15,RB,27-081,1.de Dortmund,90,0,0,0,0,1,0,0,0,105,0,0,0,0.1,0.1,0.0,2,0,95,104,91.3,6,0,0,e33c06cf
Manuel Neuer,1,GK,36-241,1.de Bayern Munich,90,0,0,0,0,0,0,0,0,60,0,0,0,0.0,0.0,0.0,0,0,54,58,93.1,0,0,0,8778c910
