Player,#,Pos,Age,Club,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att,-9999
Darwin Núñez,11,FW,23-161,1.eng Liverpool,79,0,0,0,0,1,0,1,0,28,1,0,1,0.3,0.3,0.2,3,1,12,17,70.6,0,0,1,4d77b365
Maxi Gómez,18,FW,26-110,1.tr Trabzonspor,11,0,0,0,0,1,1,0,0,4,0,0,0,0.0,0.0,0.0,1,0,3,3,100.0,1,0,0,4c2e9442
Luis Suárez,9,FW,35-312,1.uy Nacional,65,0,1,0,0,1,1,1,0,25,1,0,0,0.2,0.2,0.1,2,2,13,18,72.2,1,2,3,a6154613
Edinson Cavani,21,FW,35-291,1.es Valencia,25,0,0,0,0,0,0,1,0,14,0,0,0,0.0,0.0,0.1,2,0,9,12,75.0,1,1,1,527f063d
Giorgian De Arrascaeta,10,LM,28-184,1.br Flamengo,79,2,0,0,0,2,2,0,0,40,3,1,1,1.0,1.0,0.3,3,0,14,26,53.8,3,0,1,be8d02dd
Agustín Canobbio,24,LM,24-062,1.br Atl Paranaense,11,0,0,0,0,0,0,0,0,11,1,0,1,0.0,0.0,0.0,0,0,5,7,71.4,0,0,0,4f5a2f38
Rodrigo Bentancur,6,CM,25-160,1.eng Tottenham,33,0,0,0,0,0,0,0,0,28,4,1,1,0.0,0.0,0.0,0,0,17,19,89.5,2,0,1,3b8674e6
Matías Vecino,5,CM,31-100,1.it Lazio,57,0,0,0,0,0,0,0,0,57,2,1,1,0.0,0.0,0.0,0,0,37,48,77.1,1,0,0,44ac04e9
Federico Valverde,15,CM,24-133,1.es Real Madrid,90,0,0,0,0,3,1,0,0,91,2,2,2,0.0,0.0,0.1,5,0,64,76,84.2,8,0,0,0959c2a2
Facundo Pellistri,8,RM,20-347,1.eng Manchester Utd,65,0,0,0,0,1,0,0,0,20,1,0,1,0.2,0.2,0.0,0,0,9,13,69.2,2,0,1,ac7e7b1c
Nicolás De La Cruz,7,RM,25-184,1.ar River Plate,25,0,0,0,0,1,1,0,0,15,0,0,0,0.0,0.0,0.0,1,0,10,13,76.9,2,0,1,8fda5c72
Mathías Olivera,16,LB,25-032,1.it Napoli,90,0,0,0,0,0,0,0,0,63,5,0,1,0.0,0.0,0.2,3,0,38,49,77.6,1,0,2,41c12f75
Sebastián Coates,19,CB,32-056,1.pt Sporting CP,90,0,0,0,0,1,0,1,0,53,0,1,0,0.1,0.1,0.0,1,0,40,47,85.1,2,0,0,1fbbfbde
José María Giménez,2,CB,27-316,1.es Atlético Madrid,90,0,0,0,0,1,0,1,0,57,0,2,4,0.1,0.1,0.0,0,0,37,42,88.1,2,0,0,f0da930c
Guillermo Varela,13,RB,29-253,1.br Flamengo,90,0,0,0,0,0,0,0,0,70,3,2,1,0.0,0.0,0.0,1,0,38,57,66.7,5,0,3,5c961282
Sergio Rochet,23,GK,29-254,1.uy Nacional,90,0,0,0,0,0,0,0,0,34,0,0,0,0.0,0.0,0.0,0,0,19,28,67.9,0,0,0,81b99b9e
