Player,#,Pos,Age,Club,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att,-9999
Josh Sargent,24,FW,22-282,2.eng Norwich City,76,0,0,0,0,3,1,0,0,30,0,1,1,0.1,0.1,0.1,2,0,18,21,85.7,1,2,2,a8d4428b
Haji Wright,19,FW,24-247,1.tr Antalyaspor,14,0,0,0,0,1,1,0,0,8,0,0,0,0.1,0.1,0.0,0,0,1,4,25.0,1,0,0,91cd37b7
Christian Pulisic,10,LW,24-072,1.eng Chelsea,45,1,0,0,0,2,2,0,0,25,1,0,0,0.4,0.4,0.1,4,0,11,16,68.8,3,1,3,1bf33a9a
Brenden Aaronson,11,LM,22-038,1.eng Leeds United,45,0,0,0,0,0,0,0,0,24,0,1,1,0.0,0.0,0.2,2,0,7,13,53.8,3,1,5,5bc43860
Timothy Weah,21,RWFW,22-280,1.fr Lille,81,0,0,0,0,2,1,0,0,41,0,0,1,0.2,0.2,0.0,2,0,26,30,86.7,0,1,1,8eec784d
Walker Zimmerman,3,CB,29-194,1.us Nashville,9,0,0,0,0,0,0,0,0,10,0,0,1,0.0,0.0,0.0,0,0,2,6,33.3,0,0,0,220fa883
Weston McKennie,8,LMCM,24-093,1.it Juventus,64,0,0,0,0,0,0,0,0,41,0,0,0,0.0,0.0,0.0,2,1,29,38,76.3,7,0,1,01c3aff5
Kellyn Acosta,23,CM,27-128,1.us Los Angeles FC,26,0,0,0,0,0,0,0,0,6,2,0,0,0.0,0.0,0.0,0,0,3,4,75.0,0,0,0,ece10cfe
Tyler Adams,4,CM,23-288,1.eng Leeds United,90,0,0,0,0,0,0,1,0,80,3,0,1,0.0,0.0,0.0,0,0,63,70,90.0,2,1,1,2b09d998
Yunus Musah,6,RM,20-000,1.es Valencia,90,0,0,0,0,2,0,0,0,69,4,1,4,0.2,0.2,0.0,3,0,44,51,86.3,4,2,6,b51b1b9c
Antonee Robinson,5,LB,25-113,1.eng Fulham,90,0,0,0,0,0,0,0,0,68,0,0,0,0.0,0.0,0.0,0,0,35,58,60.3,1,2,2,289601e6
Tim Ream,13,CB,35-055,1.eng Fulham,90,0,0,0,0,0,0,0,0,67,0,1,0,0.0,0.0,0.0,1,0,54,59,91.5,6,0,0,28b40c9c
Cameron Carter-Vickers,20,CB,24-333,1.sct Celtic,90,0,0,0,0,0,0,0,0,64,0,0,1,0.0,0.0,0.0,2,0,50,58,86.2,2,0,0,88ced02c
Sergiño Dest,2,RB,22-026,1.it Milan,81,0,1,0,0,2,0,0,0,67,0,1,0,0.1,0.1,0.4,4,1,42,54,77.8,5,4,6,5976f83e
Shaquell Moore,18,RB,26-027,1.us Nashville,9,0,0,0,0,0,0,0,0,12,2,0,0,0.0,0.0,0.0,0,0,2,7,28.6,0,0,0,3b9f859b
Matt Turner,1,GK,28-158,1.eng Arsenal,90,0,0,0,0,0,0,0,0,34,0,0,0,0.0,0.0,0.0,0,0,30,35,85.7,0,0,0,4a51ba65
