Player,#,Pos,Age,Club,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att,-9999
Anthony Contreras,7,FW,22-302,1.cr Club Sport Herediano,64,0,0,0,0,0,0,1,0,19,2,0,0,0.0,0.0,0.0,1,0,6,13,46.2,0,0,0,d05ca2cc
Jewison Bennette,9,AMFW,18-165,2.eng Sunderland,26,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,0,1,58f5704e
Joel Campbell,12,AMFW,30-154,1.mx León,89,0,0,0,0,1,0,0,0,64,5,0,0,0.0,0.0,0.0,0,0,37,45,82.2,1,3,9,895ff3ca
Daniel Chacón,2,CM,21-230,1.cr CS Cartaginés,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,0,0,065a00d5
Gerson Torres,13,AM,25-091,1.cr Club Sport Herediano,64,0,0,0,0,1,0,0,0,25,0,0,1,0.0,0.0,0.0,2,0,16,16,100.0,0,0,2,d56713ff
Brandon Aguilera,20,AMLM,19-152,1.cr Asociación Deportiva Guanacasteca,26,0,0,0,0,0,0,0,0,12,2,1,0,0.0,0.0,0.0,0,0,5,9,55.6,0,0,0,938fa024
Yeltsin Tejeda,17,CM,30-255,1.cr Club Sport Herediano,90,0,1,0,0,0,0,0,0,60,1,0,5,0.0,0.0,0.1,1,1,43,49,87.8,2,0,1,74319b04
Celso Borges,5,CM,34-184,1.cr Liga Deportiva Alajuelense,88,0,0,0,0,0,0,1,0,65,3,1,2,0.0,0.0,0.0,0,0,46,58,79.3,3,2,2,b8836910
Youstin Salas,14,CMRM,26-163,1.cr Deportivo Saprissa,2,0,0,0,0,0,0,0,0,1,0,0,1,0.0,0.0,0.0,0,0,0,0,,0,0,0,055dd4d3
Bryan Oviedo,8,WB,32-282,1.us Real Salt Lake,90,0,0,0,0,0,0,0,0,52,2,1,1,0.0,0.0,0.0,0,0,31,44,70.5,0,0,0,31faf295
Keysher Fuller,4,WB,28-139,1.cr Club Sport Herediano,90,1,0,0,0,1,1,0,0,36,2,0,0,0.1,0.1,0.0,1,0,19,26,73.1,0,0,0,78019e88
Francisco Calvo,15,CB,30-142,1.tr Konyaspor,90,0,0,0,0,1,0,1,0,88,2,2,3,0.0,0.0,0.0,1,0,69,79,87.3,3,2,2,706bd23f
Kendall Waston,19,CB,34-330,1.cr Deportivo Saprissa,90,0,0,0,0,0,0,0,0,51,3,2,0,0.0,0.0,0.0,0,0,34,39,87.2,0,0,0,02ea59b0
Óscar Duarte,6,CB,33-177,1.sa Al-Wehda,90,0,0,0,0,0,0,0,0,59,3,2,1,0.0,0.0,0.0,0,0,38,48,79.2,0,0,0,aa0ac32d
Keylor Navas,1,GK,35-347,1.fr Paris S-G,90,0,0,0,0,0,0,0,0,45,0,0,0,0.0,0.0,0.0,0,0,24,43,55.8,0,0,0,ecada4fc
