Player,#,Pos,Age,Club,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att,-9999
Daizen Maeda,25,FW,25-046,1.sct Celtic,63,1,0,0,0,1,1,0,0,13,2,0,2,0.4,0.4,0.0,1,0,4,7,57.1,0,0,1,395451fc
Takuma Asano,18,FW,28-025,1.de Bochum,57,0,0,0,0,0,0,0,0,15,0,1,0,0.0,0.0,0.0,0,0,8,10,80.0,0,0,0,13ddc856
Daichi Kamada,15,LW,26-122,1.de Eint Frankfurt,74,0,0,0,0,2,0,0,0,43,2,0,1,0.2,0.2,0.0,2,0,29,34,85.3,1,2,2,15b287da
Hiroki Sakai,19,RM,32-237,1.jp Urawa Reds,46,0,0,0,0,0,0,0,0,25,1,0,1,0.0,0.0,0.0,0,0,13,20,65.0,0,0,0,d63e2912
Ritsu Doan,8,RW,24-172,1.de Freiburg,86,0,0,0,0,1,1,0,0,44,0,2,1,0.1,0.1,0.0,1,1,21,33,63.6,2,1,2,d01bbb6f
Takumi Minamino,10,LW,27-323,1.fr Monaco,34,0,0,0,0,1,0,0,0,13,0,0,0,0.1,0.1,0.0,0,0,9,12,75.0,0,0,0,f833a830
Yuto Nagatomo,5,LM,36-084,1.jp FC Tokyo,63,0,0,0,0,0,0,0,0,40,2,0,1,0.0,0.0,0.0,1,0,23,36,63.9,0,1,1,4b6960d2
Kaoru Mitoma,9,LM,25-199,1.eng Brighton,57,0,0,0,0,1,1,0,0,39,1,0,0,0.1,0.1,0.0,2,0,19,29,65.5,1,0,2,74618572
Hidemasa Morita,13,CM,27-209,1.pt Sporting CP,105,0,0,0,0,2,0,0,0,69,0,0,5,0.1,0.1,0.0,4,0,43,56,76.8,3,0,0,a650c75b
Ao Tanaka,17,CM,24-086,2.de Düsseldorf,15,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,0,0,7,10,70.0,1,0,0,1d36d6b6
Wataru Endo,6,CM,29-299,1.de Stuttgart,120,0,0,0,0,3,1,0,0,83,2,1,3,0.1,0.1,0.5,5,0,60,69,87.0,5,0,1,c149016b
Junya Ito,14,RMRWLW,29-271,1.fr Reims,120,0,0,0,0,0,0,0,0,57,2,2,3,0.0,0.0,0.0,4,1,33,48,68.8,1,0,1,dbd3a428
Shogo Taniguchi,3,CB,31-143,1.jp Kawa Frontale,120,0,0,0,0,2,0,0,0,65,0,0,0,0.2,0.2,0.0,0,0,48,56,85.7,1,0,0,828a9c47
Maya Yoshida,22,CB,34-103,1.de Schalke 04,120,0,1,0,0,0,0,0,0,69,1,1,1,0.0,0.0,0.4,0,0,41,53,77.4,0,0,0,caffaf5a
Takehiro Tomiyasu,16,CB,24-030,1.eng Arsenal,120,0,0,0,0,0,0,0,0,89,0,0,2,0.0,0.0,0.1,2,0,54,79,68.4,3,0,0,b3af9be1
Shūichi Gonda,12,GK,33-277,1.jp S-Pulse,120,0,0,0,0,0,0,0,0,38,0,0,0,0.0,0.0,0.0,0,0,15,36,41.7,0,0,0,d8e5492f
