Player,#,Pos,Age,Club,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att,-9999
Álvaro Morata,7,FW,30-039,1.es Atlético Madrid,56,1,0,0,0,3,3,0,0,19,1,0,0,0.6,0.6,0.0,0,0,12,16,75.0,0,0,0,129af0db
Marco Asensio,10,FW,26-314,1.es Real Madrid,34,0,0,0,0,3,1,0,0,33,0,0,0,0.1,0.1,0.0,0,0,19,29,65.5,2,0,0,45af8a54
Dani Olmo,21,LWRM,24-208,1.de RB Leipzig,90,0,0,0,0,4,1,0,0,58,0,0,0,0.3,0.3,0.1,3,0,38,48,79.2,2,2,5,ae44e8e2
Nico Williams,12,RW,20-142,1.es Athletic Club,56,0,0,0,0,0,0,0,0,28,2,0,0,0.0,0.0,0.0,1,1,22,24,91.7,1,1,3,afdc14d7
Ferrán Torres,11,RW,22-275,1.es Barcelona,34,0,0,0,0,0,0,0,0,20,0,0,0,0.0,0.0,0.2,1,0,13,16,81.3,2,0,2,9e1035f8
Pedri,26,LM,20-006,1.es Barcelona,90,0,0,0,0,0,0,0,0,136,1,0,0,0.0,0.0,0.0,7,0,116,132,87.9,6,0,0,0d9b2d31
Sergio Busquets,5,CM,34-138,1.es Barcelona,90,0,0,0,0,1,0,0,0,77,0,0,0,0.1,0.1,0.1,1,0,67,74,90.5,5,0,0,5ab0ea87
Gavi,9,RM,18-118,1.es Barcelona,67,0,0,0,0,0,0,0,0,50,2,1,1,0.0,0.0,0.0,1,0,39,46,84.8,0,2,2,19cae58d
Ansu Fati,25,LW,20-031,1.es Barcelona,23,0,0,0,0,0,0,0,0,22,0,0,0,0.0,0.0,0.0,0,0,18,21,85.7,1,0,1,0ba976e4
Alejandro Balde,14,LB,19-044,1.es Barcelona,67,0,0,0,0,0,0,0,0,73,3,0,1,0.0,0.0,0.0,0,0,60,66,90.9,1,0,2,5ccc9672
Jordi Alba,18,LB,33-255,1.es Barcelona,23,0,0,0,0,1,0,0,0,56,0,0,0,0.0,0.0,0.0,2,0,49,56,87.5,1,0,0,4601e194
Pau Torres,4,CB,25-319,1.es Villarreal,90,0,0,0,0,0,0,0,0,194,0,0,1,0.0,0.0,0.0,2,0,174,191,91.1,3,0,0,532e1e4f
Rodri,16,CB,26-162,1.eng Manchester City,90,0,0,0,0,0,0,0,0,216,0,1,0,0.0,0.0,0.0,4,0,205,216,94.9,8,0,0,6434f10d
César Azpilicueta,2,RB,33-095,1.eng Chelsea,45,0,1,0,0,0,0,0,0,75,1,0,0,0.0,0.0,0.5,1,1,71,74,95.9,4,0,0,53cad200
Dani Carvajal,20,RB,30-324,1.es Real Madrid,45,0,0,0,0,0,0,0,0,64,1,1,0,0.0,0.0,0.0,0,0,56,61,91.8,1,0,0,4958bfb2
Unai Simón,23,GK,25-173,1.es Athletic Club,90,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,0,0,36,36,100.0,0,0,0,5dcf3e90
