Player,#,Pos,Age,Club,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att,-9999
Cho Guesung,9,FW,24-307,1.kr Jeonbuk,90,2,0,0,0,6,4,0,0,27,0,0,1,0.9,0.9,0.0,1,0,11,17,64.7,0,0,2,ccfa8e5e
Son Heung-min,7,LW,30-143,1.eng Tottenham,90,0,0,0,0,2,0,0,0,44,2,0,1,0.1,0.1,0.1,7,1,26,37,70.3,2,0,4,92e7e919
Kwon Chang-hoon,22,RWAM,28-151,1.kr Sangju Sangmu,56,0,0,0,0,0,0,0,0,28,1,0,0,0.0,0.0,0.2,2,0,19,25,76.0,1,0,0,7961f7aa
Lee Kangin,18,DMAM,21-282,1.es Mallorca,34,0,1,0,0,3,1,0,0,37,1,0,0,0.1,0.1,0.2,8,2,24,32,75.0,6,0,0,8455ad90
Jeong Woo-yeong,25,AM,23-069,1.de Freiburg,45,0,0,0,0,1,0,0,0,20,0,0,0,0.0,0.0,0.0,1,0,12,15,80.0,1,0,1,6190474d
Na Sang-ho,17,RW,26-108,1.kr FC Seoul,45,0,0,0,0,1,1,0,0,27,2,0,0,0.0,0.0,0.1,3,0,11,14,78.6,1,0,1,6af38cdd
Hwang In-beom,6,DM,26-069,1.gr Olympiacos,90,0,0,0,0,1,0,0,0,100,1,1,0,0.0,0.0,0.0,3,0,80,93,86.0,9,0,0,92fa5d28
Jung Woo-young,5,DM,32-349,1.qa Al Sadd SC,78,0,0,0,0,1,0,1,0,66,2,0,0,0.0,0.0,0.0,2,0,54,61,88.5,5,0,0,858a34b8
Hwang Ui-jo,16,AM,30-092,1.gr Olympiacos,12,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,0,0,a2d873dd
Kim Jin-su,3,LB,30-168,1.kr Jeonbuk,90,0,1,0,0,4,0,0,0,61,3,1,1,0.3,0.3,0.6,5,1,36,50,72.0,2,0,1,8e6ff136
Kim Young-gwon,19,CB,32-274,1.kr Ulsan Hyundai,90,0,0,0,0,1,0,1,0,71,0,0,0,0.1,0.1,0.1,4,0,60,66,90.9,6,0,0,9459ace1
Kim Min-jae,4,CB,26-013,1.it Napoli,89,0,0,0,0,1,0,0,0,80,1,0,2,0.1,0.1,0.0,1,0,58,69,84.1,2,1,1,e0f8151c
Kwon Kyung-won,20,CB,30-301,1.jp Gamba Osaka,1,0,0,0,0,1,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,9,9,100.0,1,0,0,ad1516af
Kim Moonhwan,15,RB,27-119,1.kr Jeonbuk,90,0,0,0,0,0,0,0,0,98,2,0,1,0.0,0.0,0.1,4,0,72,88,81.8,4,0,0,6bce7dd8
Kim Seung-gyu,1,GK,32-059,1.sa Al-Shabab,90,0,0,0,0,0,0,0,0,25,0,0,0,0.0,0.0,0.0,0,0,22,24,91.7,0,0,0,eabaafa6
