Player,#,Pos,Age,Club,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att,-9999
Cho Guesung,9,FW,24-311,1.kr Jeonbuk,89,0,0,0,0,2,1,0,0,30,0,0,0,0.1,0.1,0.0,2,0,13,23,56.5,3,0,1,ccfa8e5e
Cho Yumin,24,FW,26-015,2.kr Daejeon Citizen FC,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,7a4529dc
Son Heung-min,7,LW,30-147,1.eng Tottenham,90,0,1,0,0,5,2,0,0,36,1,1,1,0.2,0.2,0.7,5,1,15,20,75.0,1,1,5,92e7e919
Lee Jae-sung,10,RW,30-114,1.de Mainz 05,65,0,0,0,0,1,0,0,0,19,2,0,0,0.0,0.0,0.0,0,0,12,15,80.0,0,2,2,34b0387f
Hwang Hee-chan,11,RW,26-310,1.eng Wolves,25,1,0,0,0,1,1,1,0,13,0,0,0,0.6,0.6,0.0,1,0,2,4,50.0,0,1,4,169fd162
Lee Kangin,18,LM,21-286,1.es Mallorca,80,0,0,0,0,1,0,1,0,32,2,0,0,0.0,0.0,0.0,3,1,22,27,81.5,3,0,1,8455ad90
Hwang Ui-jo,16,LM,30-096,1.gr Olympiacos,10,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,0,0,a2d873dd
Jung Woo-young,5,CM,32-353,1.qa Al Sadd SC,90,0,0,0,0,0,0,0,0,69,2,1,2,0.0,0.0,0.1,4,1,48,57,84.2,4,0,0,858a34b8
Hwang In-beom,6,RM,26-073,1.gr Olympiacos,90,0,0,0,0,2,1,0,0,51,1,1,0,0.1,0.1,0.0,1,0,33,44,75.0,3,0,0,92fa5d28
Kim Jin-su,3,LB,30-172,1.kr Jeonbuk,90,0,0,0,0,0,0,0,0,45,1,2,0,0.0,0.0,0.0,2,0,28,39,71.8,2,0,0,8e6ff136
Kim Young-gwon,19,CB,32-278,1.kr Ulsan Hyundai,80,1,0,0,0,1,1,0,0,44,1,0,1,0.7,0.7,0.0,0,0,30,38,78.9,4,0,0,9459ace1
Son Jun-ho,13,CB,30-204,1.cn Shandong Lunen,10,0,0,0,0,0,0,0,0,9,0,0,1,0.0,0.0,0.0,0,0,7,8,87.5,0,0,0,f7c7ba0d
Kwon Kyung-won,20,CB,30-305,1.jp Gamba Osaka,90,0,0,0,0,0,0,0,0,43,0,2,1,0.0,0.0,0.0,0,0,30,34,88.2,1,0,0,ad1516af
Kim Moonhwan,15,RB,27-123,1.kr Jeonbuk,90,0,0,0,0,0,0,0,0,51,1,1,1,0.0,0.0,0.0,1,0,29,37,78.4,2,0,1,6bce7dd8
Kim Seung-gyu,1,GK,32-063,1.sa Al-Shabab,90,0,0,0,0,0,0,0,0,46,0,0,0,0.0,0.0,0.0,1,0,30,43,69.8,0,0,0,eabaafa6
