Player,#,Pos,Age,Club,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att,-9999
Robert Lewandowski,9,FW,34-093,1.es Barcelona,90,0,0,0,1,1,0,0,0,34,1,0,0,0.8,0.0,0.1,4,0,12,23,52.2,3,1,2,8d78e732
Nicola Zalewski,21,LM,20-303,1.it Roma,45,0,0,0,0,0,0,0,0,20,2,0,1,0.0,0.0,0.0,0,0,12,13,92.3,0,0,1,45191c29
Krystian Bielik,6,CM,24-322,3.eng Derby County,45,0,0,0,0,0,0,0,0,27,1,1,1,0.0,0.0,0.0,0,0,17,21,81.0,1,1,2,8e0ec853
Sebastian Szymański,19,CMLM,23-196,1.nl Feyenoord,71,0,0,0,0,0,0,0,0,38,3,1,3,0.0,0.0,0.0,0,0,15,25,60.0,2,1,3,bb718263
Przemysław Frankowski,24,LM,27-224,1.fr Lens,19,0,0,0,0,0,0,1,0,12,0,1,0,0.0,0.0,0.0,0,0,8,10,80.0,0,1,2,00a8d210
Piotr Zieliński,20,CMFW,28-186,1.it Napoli,86,0,0,0,0,0,0,0,0,34,3,0,0,0.0,0.0,0.1,2,0,22,29,75.9,0,1,1,a5296e55
Arkadiusz Milik,7,FW,28-267,1.it Juventus,4,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,1,0,4,8,50.0,0,1,1,85613cf0
Jakub Kamiński,13,RM,20-170,1.de Wolfsburg,90,0,0,0,0,2,1,0,0,25,4,0,2,0.1,0.0,0.0,0,0,9,18,50.0,1,0,1,202b3b68
Grzegorz Krychowiak,10,CMDM,32-297,1.sa Al-Shabab,90,0,0,0,0,1,0,0,0,41,2,1,0,0.0,0.0,0.1,1,0,18,29,62.1,3,0,0,580d52dd
Bartosz Bereszyński,18,LB,30-133,1.it Sampdoria,90,0,0,0,0,0,0,0,0,52,1,1,0,0.0,0.0,0.0,0,0,28,38,73.7,1,0,2,61b3978f
Jakub Kiwior,14,CB,22-280,1.it Spezia,90,0,0,0,0,1,0,0,0,58,0,2,0,0.0,0.0,0.0,1,0,35,47,74.5,1,0,0,dc3e663e
Kamil Glik,15,CB,34-292,2.it Benevento,90,0,0,0,0,0,0,0,0,36,0,1,1,0.0,0.0,0.0,0,0,24,27,88.9,0,0,0,c6056d58
Matty Cash,2,RB,25-107,1.eng Aston Villa,90,0,0,0,0,0,0,0,0,43,0,0,1,0.0,0.0,0.0,0,0,27,35,77.1,3,1,2,2389cdc2
Wojciech Szczęsny,1,GK,32-218,1.it Juventus,90,0,0,0,0,0,0,0,0,42,0,0,0,0.0,0.0,0.0,0,0,24,40,60.0,0,0,0,01b8a2b2
