Player,#,Pos,Age,Club,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att,-9999
Youssef En-Nesyri,19,FW,25-175,1.es Sevilla,80,0,0,0,0,1,0,0,0,21,0,0,3,0.1,0.1,0.0,0,0,8,15,53.3,0,0,0,04e17fd5
Abderrazak Hamdallah,9,FW,31-341,1.sa Al-Ittihad,10,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,fe73f8c6
Sofiane Boufal,17,LW,29-067,1.fr Angers,65,0,0,0,0,2,0,0,0,26,1,1,2,0.0,0.0,0.0,3,0,14,18,77.8,1,0,2,b0c71810
Abdessamad Ezzalzouli,16,LW,20-341,1.es Osasuna,25,0,0,0,0,0,0,0,0,8,1,0,1,0.0,0.0,0.0,0,0,0,1,0.0,0,0,1,bed68338
Hakim Ziyech,7,RW,29-249,1.eng Chelsea,90,0,0,0,0,2,0,0,0,49,3,1,4,0.1,0.1,0.0,3,0,20,35,57.1,2,0,2,6622454d
Selim Amallah,15,LMRM,26-008,1.be Standard Liège,90,0,0,0,0,0,0,0,0,24,3,1,1,0.0,0.0,0.1,2,0,10,13,76.9,1,0,2,00eba9c9
Sofyan Amrabat,4,CM,26-094,1.it Fiorentina,90,0,0,0,0,0,0,1,0,53,1,1,1,0.0,0.0,0.0,1,0,39,45,86.7,3,0,0,5a2cb25d
Azzedine Ounahi,8,RM,22-218,1.fr Angers,81,0,0,0,0,0,0,0,0,35,2,1,2,0.0,0.0,0.0,1,0,22,30,73.3,2,1,1,83299cc0
Abdelhamid Sabiri,11,LM,25-360,1.it Sampdoria,9,0,0,0,0,0,0,0,0,14,0,2,0,0.0,0.0,0.0,0,0,7,11,63.6,0,0,0,4830e0af
Noussair Mazraoui,3,LB,25-009,1.de Bayern Munich,59,0,0,0,0,2,1,0,0,39,4,0,2,0.1,0.1,0.0,1,0,18,22,81.8,0,0,0,b74277a0
Yahya Attiat Allah,25,LB,27-266,1.ma Wydad Casablanca,31,0,0,0,0,0,0,0,0,21,0,0,1,0.0,0.0,0.0,0,0,13,19,68.4,0,0,0,432848a2
Romain Saïss,6,CB,32-242,1.tr Beşiktaş,90,0,0,0,0,0,0,0,0,57,2,2,0,0.0,0.0,0.0,1,0,41,49,83.7,2,0,0,9fbbcf39
Nayef Aguerd,5,CB,26-238,1.eng West Ham,90,0,0,0,0,0,0,0,0,55,1,1,1,0.0,0.0,0.0,0,0,41,47,87.2,0,0,0,288e1e13
Achraf Hakimi,2,RB,24-019,1.fr Paris S-G,90,0,0,0,0,1,1,0,0,69,3,3,1,0.0,0.0,0.0,3,0,44,52,84.6,3,1,4,e42d61c7
Yassine Bounou,1,GK,31-232,1.es Sevilla,90,0,0,0,0,0,0,0,0,30,0,0,0,0.0,0.0,0.0,0,0,21,27,77.8,0,0,0,f6798fc3
