Player,#,Pos,Age,Club,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att,-9999
Youssef En-Nesyri,19,FW,25-192,1.es Sevilla,64,1,0,0,0,3,1,0,0,20,1,1,0,0.5,0.5,0.0,1,0,5,11,45.5,0,1,2,04e17fd5
Badr Banoun,24,CB,29-071,1.qa Qatar SC,26,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,0,0,06a24e51
Sofiane Boufal,17,LWLM,29-084,1.fr Angers,81,0,0,0,0,1,1,0,0,31,0,0,2,0.0,0.0,0.0,3,0,16,21,76.2,3,3,4,b0c71810
Yahya Jabrane,26,MF,31-175,1.ma Wydad Casablanca,9,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,143efbd5
Hakim Ziyech,7,RWRM,29-266,1.eng Chelsea,80,0,0,0,0,1,0,0,0,37,1,1,1,0.0,0.0,0.1,2,0,19,28,67.9,1,0,1,6622454d
Zakaria Aboukhlal,14,RM,22-295,1.fr Toulouse,10,0,0,0,0,1,1,0,0,4,0,0,1,0.6,0.6,0.0,0,0,0,2,0.0,0,0,0,c2a6033c
Selim Amallah,15,LM,26-025,1.be Standard Liège,64,0,0,0,0,1,0,0,0,20,1,1,1,0.2,0.2,0.0,2,0,7,9,77.8,1,1,1,00eba9c9
Walid Cheddira,21,FW,24-322,2.it Bari,25,0,0,0,0,0,0,2,1,9,1,0,0,0.0,0.0,0.0,0,0,2,4,50.0,0,0,1,0545a08e
Sofyan Amrabat,4,CM,26-111,1.it Fiorentina,90,0,0,0,0,0,0,0,0,31,3,0,0,0.0,0.0,0.0,1,0,14,22,63.6,1,0,1,5a2cb25d
Azzedine Ounahi,8,RMCM,22-235,1.fr Angers,90,0,0,0,0,1,0,0,0,42,0,3,1,0.0,0.0,0.1,3,1,20,25,80.0,2,3,3,83299cc0
Yahya Attiat Allah,25,LB,27-283,1.ma Wydad Casablanca,90,0,1,0,0,1,0,0,0,35,1,0,1,0.1,0.1,1.1,3,1,17,27,63.0,2,0,0,432848a2
Romain Saïss,6,CB,32-259,1.tr Beşiktaş,56,0,0,0,0,0,0,0,0,19,0,0,0,0.0,0.0,0.0,0,0,13,17,76.5,0,0,0,9fbbcf39
Achraf Dari,20,CB,23-218,1.fr Brest,34,0,0,0,0,0,0,1,0,13,1,0,2,0.0,0.0,0.0,0,0,4,7,57.1,0,0,0,5069b796
Jawad El Yamiq,18,CB,30-284,1.es Valladolid,90,0,0,0,0,0,0,0,0,43,1,2,2,0.0,0.0,0.0,0,0,20,25,80.0,0,0,0,f6f6b6e8
Achraf Hakimi,2,RB,24-036,1.fr Paris S-G,90,0,0,0,0,0,0,0,0,51,2,1,1,0.0,0.0,0.0,1,0,27,37,73.0,1,1,5,e42d61c7
Yassine Bounou,1,GK,31-249,1.es Sevilla,90,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,0,0,23,32,71.9,0,0,0,f6798fc3
