Player,#,Pos,Age,Club,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att,-9999
Youssef En-Nesyri,19,FW,25-188,1.es Sevilla,81,0,0,0,0,0,0,0,0,15,1,0,0,0.0,0.0,0.0,0,0,8,11,72.7,0,2,2,04e17fd5
Abdelhamid Sabiri,11,LMCM,26-008,1.it Sampdoria,39,0,0,0,0,1,0,0,0,13,1,0,1,0.0,0.0,0.0,0,0,4,6,66.7,0,0,0,4830e0af
Sofiane Boufal,17,LW,29-080,1.fr Angers,65,0,0,0,0,0,0,0,0,26,3,0,0,0.0,0.0,0.2,3,0,6,13,46.2,2,6,8,b0c71810
Abdessamad Ezzalzouli,16,LWLM,20-354,1.es Osasuna,55,0,0,0,0,0,0,0,0,25,2,0,2,0.0,0.0,0.1,1,0,6,8,75.0,2,0,0,bed68338
Hakim Ziyech,7,RW,29-262,1.eng Chelsea,120,0,0,0,0,0,0,0,0,49,0,2,0,0.0,0.0,0.0,1,0,26,39,66.7,4,0,0,6622454d
Selim Amallah,15,LM,26-021,1.be Standard Liège,81,0,0,0,0,0,0,0,0,17,1,2,0,0.0,0.0,0.0,0,0,7,8,87.5,0,0,2,00eba9c9
Walid Cheddira,21,FW,24-318,2.it Bari,39,0,0,0,0,2,1,0,0,9,0,0,0,0.5,0.5,0.0,0,0,2,4,50.0,1,0,0,0545a08e
Sofyan Amrabat,4,CM,26-107,1.it Fiorentina,120,0,0,0,0,0,0,0,0,47,4,1,1,0.0,0.0,0.0,0,0,26,35,74.3,1,0,2,5a2cb25d
Azzedine Ounahi,8,RM,22-231,1.fr Angers,119,0,0,0,0,0,0,0,0,56,4,1,1,0.0,0.0,0.3,1,0,32,43,74.4,2,1,1,83299cc0
Badr Banoun,24,CBRM,29-067,1.qa Qatar SC,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,06a24e51
Noussair Mazraoui,3,LB,25-022,1.de Bayern Munich,81,0,0,0,0,1,1,0,0,36,3,0,0,0.0,0.0,0.0,0,0,20,26,76.9,0,1,1,b74277a0
Yahya Attiat Allah,25,LB,27-279,1.ma Wydad Casablanca,39,0,0,0,0,0,0,0,0,15,2,0,1,0.0,0.0,0.0,0,0,4,9,44.4,0,0,0,432848a2
Romain Saïss,6,CB,32-255,1.tr Beşiktaş,120,0,0,0,0,0,0,1,0,54,0,1,3,0.0,0.0,0.0,0,0,24,33,72.7,2,0,1,9fbbcf39
Nayef Aguerd,5,CB,26-251,1.eng West Ham,83,0,0,0,0,1,0,0,0,29,1,0,0,0.2,0.2,0.0,0,0,19,22,86.4,1,0,0,288e1e13
Jawad El Yamiq,18,CB,30-280,1.es Valladolid,37,0,0,0,0,0,0,0,0,10,0,0,2,0.0,0.0,0.0,0,0,1,3,33.3,0,0,0,f6f6b6e8
Achraf Hakimi,2,RB,24-032,1.fr Paris S-G,120,0,0,0,0,1,0,0,0,72,4,1,2,0.0,0.0,0.0,1,0,39,54,72.2,1,0,1,e42d61c7
Yassine Bounou,1,GK,31-245,1.es Sevilla,120,0,0,0,0,0,0,0,0,40,0,0,0,0.0,0.0,0.0,0,0,17,38,44.7,0,0,0,f6798fc3
