Player,#,Pos,Age,Club,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att,-9999
Julián Álvarez,9,FW,22-312,1.eng Manchester City,81,0,0,0,0,0,0,0,0,26,1,0,0,0.0,0.0,0.1,1,0,12,17,70.6,0,0,0,15ab5a2b
Lautaro Martínez,22,FWLW,25-109,1.it Inter,39,0,0,0,0,2,1,0,0,20,0,0,1,0.3,0.3,0.0,0,0,9,13,69.2,0,0,0,f7036e1c
Lionel Messi,10,FW,35-168,1.fr Paris S-G,120,1,1,1,1,5,1,1,0,57,0,0,0,1.0,0.2,0.5,7,1,38,47,80.9,4,2,5,d70ce98e
Alexis Mac Allister,20,CMLM,23-350,1.eng Brighton,120,0,0,0,0,0,0,0,0,56,1,0,5,0.0,0.0,0.0,1,0,38,43,88.4,5,1,1,83d074ff
Enzo Fernández,24,CMRM,21-326,1.pt Benfica,120,0,0,0,0,2,0,0,0,80,1,0,1,0.1,0.1,0.3,3,0,61,72,84.7,2,1,2,5ff4ab71
Rodrigo De Paul,7,CM,28-199,1.es Atlético Madrid,65,0,0,0,0,2,1,0,0,62,2,1,0,0.1,0.1,0.1,2,0,41,54,75.9,3,1,1,162efffd
Leandro Paredes,5,CM,28-163,1.it Juventus,55,0,0,0,0,0,0,1,0,56,3,0,0,0.0,0.0,0.0,3,0,45,50,90.0,3,0,1,dff153a4
Marcos Acuña,8,LB,31-042,1.es Sevilla,77,0,0,0,0,0,0,1,0,36,3,1,1,0.0,0.0,0.0,1,1,19,27,70.4,1,2,3,81442ecb
Nicolás Tagliafico,3,LB,30-100,1.fr Lyon,43,0,0,0,0,0,0,0,0,14,1,0,1,0.0,0.0,0.0,0,0,9,10,90.0,0,0,0,f0661424
Lisandro Martínez,25,CB,24-325,1.eng Manchester Utd,111,0,0,0,0,0,0,1,0,49,2,2,1,0.0,0.0,0.0,1,0,29,36,80.6,2,0,0,bac46a10
Ángel Di María,11,RW,34-298,1.it Juventus,9,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.1,4,0,9,14,64.3,3,0,0,19cda00b
Nicolás Otamendi,19,CB,34-300,1.pt Benfica,120,0,0,0,0,0,0,1,0,99,2,0,0,0.0,0.0,0.0,0,0,84,92,91.3,6,0,0,0d267745
Cristian Romero,13,CB,24-226,1.eng Tottenham,77,0,0,0,0,0,0,1,0,55,2,1,0,0.0,0.0,0.0,1,1,44,47,93.6,1,0,0,a3d94a58
Germán Pezzella,6,CB,31-165,1.es Betis,43,0,0,0,0,1,0,1,0,28,0,0,0,0.1,0.1,0.0,0,0,23,26,88.5,0,0,0,8c725b43
Nahuel Molina,26,RB,24-247,1.es Atlético Madrid,105,1,0,0,0,1,1,0,0,55,1,1,2,0.4,0.4,0.0,3,1,36,45,80.0,1,0,1,23610943
Gonzalo Montiel,4,RB,25-342,1.es Sevilla,15,0,0,0,0,0,0,1,0,13,0,0,1,0.0,0.0,0.0,1,0,10,12,83.3,0,0,0,374d5158
Emiliano Martínez,23,GK,30-098,1.eng Aston Villa,120,0,0,0,0,0,0,0,0,37,0,0,0,0.0,0.0,0.0,0,0,19,37,51.4,0,0,0,7956236f
