Player,#,Pos,Age,Club,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att,-9999
Steven Bergwijn,7,FW,25-048,1.nl Ajax,45,0,0,0,0,0,0,0,0,17,0,0,0,0.0,0.0,0.0,0,0,15,16,93.8,0,1,2,a29b1131
Memphis,10,FW,28-285,1.es Barcelona,45,0,0,0,0,0,0,0,0,18,0,0,1,0.0,0.0,0.0,0,0,9,12,75.0,0,0,1,8f696594
Cody Gakpo,8,FW,23-202,1.nl PSV Eindhoven,79,1,0,0,0,1,1,0,0,31,1,0,3,0.1,0.1,0.0,1,0,11,20,55.0,1,0,0,1971591f
Wout Weghorst,19,FW,30-110,1.tr Beşiktaş,11,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,0,0,c4e87b8b
Davy Klaassen,14,AM,29-277,1.nl Ajax,68,0,1,0,0,0,0,0,0,30,1,0,2,0.0,0.0,0.1,1,0,19,23,82.6,2,0,0,15fd5593
Steven Berghuis,11,AM,30-341,1.nl Ajax,22,0,0,0,0,0,0,0,0,19,1,0,1,0.0,0.0,0.0,0,0,6,16,37.5,0,0,0,713c144a
Frenkie de Jong,21,CM,25-197,1.es Barcelona,90,0,0,0,0,0,0,0,0,80,7,2,2,0.0,0.0,0.0,0,0,64,69,92.8,2,1,1,1bacc518
Teun Koopmeiners,20,CM,24-270,1.it Atalanta,78,0,0,0,0,1,0,0,0,51,3,2,2,0.0,0.0,0.0,0,0,26,35,74.3,1,1,2,a26fb8aa
Marten de Roon,15,CM,31-241,1.it Atalanta,12,0,0,0,0,0,0,0,0,10,1,0,0,0.0,0.0,0.0,0,0,7,8,87.5,0,0,0,2a1beb34
Daley Blind,17,WB,32-261,1.nl Ajax,90,0,0,0,0,0,0,0,0,73,3,1,0,0.0,0.0,0.0,0,0,54,66,81.8,6,0,0,691bef82
Denzel Dumfries,22,WB,26-221,1.it Inter,90,0,0,0,0,0,0,0,0,39,2,1,0,0.0,0.0,0.0,0,0,19,30,63.3,2,0,1,481c9ece
Nathan Aké,5,CB,27-280,1.eng Manchester City,90,0,0,0,0,0,0,0,0,88,3,0,1,0.0,0.0,0.0,0,0,70,79,88.6,5,0,1,eaeca114
Virgil van Dijk,4,CB,31-140,1.eng Liverpool,90,0,0,0,0,0,0,0,0,71,1,1,2,0.0,0.0,0.0,0,0,51,60,85.0,1,0,0,e06683ca
Jurriën Timber,2,CB,21-161,1.nl Ajax,90,0,0,0,0,0,0,0,0,74,2,2,0,0.0,0.0,0.0,0,0,53,61,86.9,3,1,1,41034650
Andries Noppert,23,GK,28-232,1.nl Heerenveen,90,0,0,0,0,0,0,0,0,46,0,0,0,0.0,0.0,0.0,0,0,37,45,82.2,0,0,0,2dc9d6fb
