Player,#,Pos,Age,Club,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att,-9999
Memphis,10,FW,28-289,1.es Barcelona,65,0,0,0,0,5,1,0,0,42,0,0,0,0.9,0.9,0.0,2,1,27,33,81.8,1,0,0,8f696594
Vincent Janssen,18,FW,28-167,1.be Antwerp,25,0,0,0,0,0,0,0,0,11,0,0,1,0.0,0.0,0.0,0,0,7,8,87.5,1,0,0,31dce0c8
Cody Gakpo,8,FW,23-206,1.nl PSV Eindhoven,81,1,0,0,0,2,1,0,0,48,3,1,1,0.1,0.1,0.1,2,1,27,35,77.1,0,1,1,1971591f
Wout Weghorst,19,FW,30-114,1.tr Beşiktaş,9,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,1,0,2,2,100.0,0,0,0,c4e87b8b
Davy Klaassen,14,AM,29-281,1.nl Ajax,65,0,1,0,0,1,0,0,0,41,1,1,0,0.1,0.1,0.2,4,1,28,34,82.4,1,0,1,15fd5593
Steven Berghuis,11,AM,30-345,1.nl Ajax,25,0,0,0,0,1,0,0,0,36,1,0,0,0.0,0.0,0.0,0,0,28,33,84.8,2,0,0,713c144a
Frenkie de Jong,21,CM,25-201,1.es Barcelona,85,1,0,0,0,2,1,0,0,101,2,1,0,0.9,0.9,0.0,3,0,85,92,92.4,2,1,2,1bacc518
Kenneth Taylor,24,CM,20-197,1.nl Ajax,5,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,8,8,100.0,1,0,0,ad9b2747
Marten de Roon,15,CM,31-245,1.it Atalanta,81,0,0,0,0,0,0,0,0,78,4,2,3,0.0,0.0,0.0,0,0,56,66,84.8,1,0,0,2a1beb34
Teun Koopmeiners,20,CM,24-274,1.it Atalanta,9,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.0,0,0,14,15,93.3,0,0,0,a26fb8aa
Daley Blind,17,WB,32-265,1.nl Ajax,90,0,0,0,0,2,1,0,0,116,0,0,3,0.1,0.1,0.1,2,0,99,109,90.8,9,0,0,691bef82
Denzel Dumfries,22,WB,26-225,1.it Inter,90,0,0,0,0,0,0,0,0,65,1,2,2,0.0,0.0,0.0,2,0,46,53,86.8,4,0,2,481c9ece
Nathan Aké,5,CB,27-284,1.eng Manchester City,90,0,0,0,0,0,0,1,0,100,0,0,0,0.0,0.0,0.0,1,0,96,97,99.0,4,0,0,eaeca114
Virgil van Dijk,4,CB,31-144,1.eng Liverpool,90,0,0,0,0,0,0,0,0,92,0,0,0,0.0,0.0,0.1,1,0,81,88,92.0,5,0,0,e06683ca
Jurriën Timber,2,CB,21-165,1.nl Ajax,90,0,0,0,0,0,0,0,0,125,4,3,0,0.0,0.0,0.0,1,0,107,112,95.5,4,2,3,41034650
Andries Noppert,23,GK,28-236,1.nl Heerenveen,90,0,0,0,0,0,0,0,0,30,0,0,0,0.0,0.0,0.0,0,0,28,29,96.6,0,0,0,2dc9d6fb
