Player,#,Pos,Age,Club,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att,-9999
Jesús Ferreira,9,FW,21-344,1.us FC Dallas,45,0,0,0,0,0,0,0,0,24,1,0,0,0.0,0.0,0.0,1,0,16,19,84.2,0,0,1,f61246d8
Gio Reyna,7,RWFW,20-020,1.de Dortmund,45,0,0,0,0,2,0,0,0,38,0,0,1,0.1,0.1,0.2,2,0,24,34,70.6,1,0,0,7fa4e703
Christian Pulisic,10,LW,24-076,1.eng Chelsea,90,0,1,0,0,3,3,0,0,51,0,0,0,0.5,0.5,0.3,4,1,19,38,50.0,2,1,5,1bf33a9a
Timothy Weah,21,RW,22-284,1.fr Lille,66,0,0,0,0,2,1,0,0,26,0,0,0,0.0,0.0,0.1,2,0,21,24,87.5,1,0,0,8eec784d
Brenden Aaronson,11,LM,22-042,1.eng Leeds United,24,0,0,0,0,0,0,0,0,18,1,0,2,0.0,0.0,0.0,1,0,8,9,88.9,1,1,4,5bc43860
Weston McKennie,8,LM,24-097,1.it Juventus,66,0,0,0,0,3,1,0,0,50,0,0,0,0.1,0.1,0.3,6,0,32,44,72.7,5,0,0,01c3aff5
Haji Wright,19,FW,24-251,1.tr Antalyaspor,24,1,0,0,0,2,1,0,0,14,1,0,0,0.2,0.2,0.0,1,0,9,9,100.0,1,0,0,91cd37b7
Tyler Adams,4,CM,23-292,1.eng Leeds United,90,0,0,0,0,0,0,0,0,89,1,1,2,0.0,0.0,0.4,3,0,75,83,90.4,7,0,0,2b09d998
Yunus Musah,6,RM,20-004,1.es Valencia,90,0,0,0,0,1,0,0,0,59,2,1,0,0.1,0.1,0.0,3,0,38,51,74.5,4,1,2,b51b1b9c
Antonee Robinson,5,LB,25-117,1.eng Fulham,89,0,0,0,0,0,0,0,0,87,2,4,1,0.0,0.0,0.0,3,0,57,77,74.0,5,1,2,289601e6
Jordan Morris,16,LB,28-038,1.us Seattle,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,0,0,bd298d0d
Tim Ream,13,CB,35-059,1.eng Fulham,90,0,0,0,0,1,0,0,0,94,2,1,0,0.3,0.3,0.0,1,0,75,88,85.2,5,0,0,28b40c9c
Walker Zimmerman,3,CB,29-198,1.us Nashville,90,0,0,0,0,1,0,0,0,88,2,3,2,0.1,0.1,0.0,2,0,66,75,88.0,1,0,0,220fa883
Sergiño Dest,2,RB,22-030,1.it Milan,74,0,0,0,0,2,0,0,0,52,1,1,0,0.1,0.1,0.0,0,0,31,36,86.1,3,1,7,5976f83e
DeAndre Yedlin,22,RB,29-147,1.us Inter Miami,16,0,0,0,0,0,0,0,0,12,1,0,0,0.0,0.0,0.0,1,1,7,10,70.0,0,0,0,ae0a7ddf
Matt Turner,1,GK,28-162,1.eng Arsenal,90,0,0,0,0,0,0,0,0,28,0,0,0,0.0,0.0,0.0,0,0,19,25,76.0,0,0,0,4a51ba65
