Player,#,Pos,Age,Club,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att,-9999
Saleh Al-Shehri,11,FW,29-025,1.sa Al-Hilal,85,0,0,0,0,0,0,0,0,20,1,0,1,0.0,0.0,0.1,1,0,11,14,78.6,0,0,0,f4377d0f
Nasser Al-Dawsari,24,FW,23-342,1.sa Al-Hilal,5,0,0,0,0,0,0,0,0,13,2,0,0,0.0,0.0,0.1,1,0,11,11,100.0,0,0,0,7709e4a6
Salem Al-Dawsari,10,LM,31-099,1.sa Al-Hilal,90,0,0,0,1,3,2,0,0,80,2,1,0,1.1,0.3,0.1,9,0,58,68,85.3,8,1,4,60ee859c
Mohamed Kanno,23,CM,28-065,1.sa Al-Hilal,90,0,0,0,0,4,1,0,0,91,1,1,2,0.2,0.2,0.0,3,0,67,79,84.8,5,2,3,74ccf212
Sami Al-Najei,16,CM,25-292,1.sa Al-Nassr,45,0,0,0,0,0,0,0,0,25,0,0,1,0.0,0.0,0.0,0,0,13,21,61.9,0,0,0,978e29d3
Nawaf Al Abed,18,CM,32-304,1.sa Al-Shabab,44,0,0,0,0,1,0,0,0,39,0,0,0,0.1,0.1,0.1,2,0,27,32,84.4,0,1,2,bfef5c87
Hattan Bahebri,19,CM,30-133,1.sa Al-Shabab,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,0,0,b4f50ff5
Firas Al-Buraikan,9,RM,22-196,1.sa Al-Fateh,90,0,0,0,0,1,0,0,0,33,1,1,1,0.1,0.1,0.0,2,0,21,25,84.0,2,1,2,ac717a23
Abdulellah Al-Malki,8,DM,28-046,1.sa Al-Hilal,84,0,0,0,0,2,0,1,0,57,2,0,2,0.1,0.1,0.0,0,0,38,45,84.4,1,0,0,3bcd2730
Abdulrahman Al-Aboud,20,DM,27-178,1.sa Al-Ittihad,6,0,0,0,0,1,0,0,0,9,1,0,0,0.1,0.1,0.0,0,0,2,6,33.3,0,0,1,9bf54a3b
Mohammed Al-Breik,6,LBRB,30-072,1.sa Al-Hilal,64,0,0,0,0,2,1,0,0,53,1,1,1,0.4,0.0,0.0,1,0,38,46,82.6,6,0,0,bd448676
Sultan Al-Ghanam,2,RB,28-204,1.sa Al-Nassr,26,0,0,0,0,0,0,0,0,19,0,0,0,0.0,0.0,0.0,0,0,13,15,86.7,1,0,0,0ea89f8d
Ali Al-Bulaihi,5,CB,33-005,1.sa Al-Hilal,90,0,0,0,0,0,0,0,0,71,2,1,0,0.0,0.0,0.0,0,0,56,65,86.2,3,0,0,8d7b2936
Abdulelah Al-Amri,4,CB,25-315,1.sa Al-Nassr,90,0,0,0,0,0,0,1,0,75,0,3,1,0.0,0.0,0.0,0,0,51,63,81.0,9,0,0,fd0affe3
Saud Abdulhamid,12,LBRB,23-131,1.sa Al-Hilal,90,0,0,0,0,1,0,0,0,72,1,1,1,0.0,0.0,0.0,6,0,56,66,84.8,9,2,2,caa254e4
Mohammed Al-Owais,21,GK,31-047,1.sa Al-Hilal,90,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.0,0,0,20,25,80.0,0,0,0,f2c060c6
