Player,#,Pos,Age,Club,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att,-9999
Karol Świderski,16,FW,25-311,1.us Charlotte,45,0,0,0,0,0,0,0,0,14,4,2,0,0.0,0.0,0.0,0,0,7,7,100.0,0,0,0,41723204
Michał Skóraś,26,RM,22-288,1.pl Lech Poznań,45,0,0,0,0,1,0,0,0,12,0,1,1,0.0,0.0,0.0,1,0,8,9,88.9,0,0,1,5a80aea3
Robert Lewandowski,9,FW,34-101,1.es Barcelona,90,0,0,0,0,0,0,0,0,34,0,0,1,0.0,0.0,0.1,1,0,11,19,57.9,1,0,3,8d78e732
Przemysław Frankowski,24,LM,27-232,1.fr Lens,45,0,0,0,0,0,0,0,0,20,2,1,0,0.0,0.0,0.0,0,0,6,11,54.5,0,0,1,00a8d210
Jakub Kamiński,13,LM,20-178,1.de Wolfsburg,45,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.0,0,0,5,10,50.0,0,0,0,202b3b68
Grzegorz Krychowiak,10,CM,32-305,1.sa Al-Shabab,82,0,0,0,0,0,0,1,0,33,3,1,1,0.0,0.0,0.0,1,0,18,24,75.0,0,0,1,580d52dd
Krzysztof Piątek,23,FWCM,27-152,1.it Salernitana,8,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,0,0,17f3620a
Krystian Bielik,6,CM,24-330,3.eng Derby County,61,0,0,0,0,1,0,0,0,38,0,0,0,0.1,0.1,0.0,0,0,25,30,83.3,1,0,1,8e0ec853
Damian Szymański,8,CM,27-167,1.gr AEK Athens,29,0,0,0,0,0,0,0,0,9,0,1,0,0.0,0.0,0.0,0,0,8,8,100.0,0,0,0,e935dbbf
Piotr Zieliński,20,RMFWCM,28-194,1.it Napoli,90,0,0,0,0,0,0,0,0,40,1,1,1,0.0,0.0,0.2,3,0,25,33,75.8,2,0,0,a5296e55
Bartosz Bereszyński,18,LB,30-141,1.it Sampdoria,71,0,0,0,0,0,0,0,0,40,3,0,1,0.0,0.0,0.0,0,0,30,35,85.7,0,0,1,61b3978f
Artur Jędrzejczyk,3,LB,35-026,1.pl Legia Warsaw,19,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,3,4,75.0,0,0,0,d1943c8b
Jakub Kiwior,14,CB,22-288,1.it Spezia,90,0,0,0,0,0,0,0,0,53,2,0,1,0.0,0.0,0.0,0,0,40,47,85.1,0,0,0,dc3e663e
Kamil Glik,15,CB,34-300,2.it Benevento,90,0,0,0,0,2,0,0,0,46,1,0,1,0.2,0.2,0.0,0,0,30,34,88.2,0,0,0,c6056d58
Matty Cash,2,RB,25-115,1.eng Aston Villa,90,0,0,0,0,0,0,0,0,47,1,0,4,0.0,0.0,0.0,2,0,29,36,80.6,2,0,0,2389cdc2
Wojciech Szczęsny,1,GK,32-226,1.it Juventus,90,0,0,0,0,0,0,0,0,39,0,0,0,0.0,0.0,0.0,0,0,18,32,56.3,0,0,0,01b8a2b2
