Player,#,Pos,Age,Club,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att,-9999
Iñaki Williams,19,FW,28-162,1.es Athletic Club,90,0,0,0,0,1,0,0,0,24,1,0,1,0.0,0.0,0.0,0,0,14,17,82.4,0,0,0,6a99e0b1
André Ayew,10,FW,32-342,1.qa Al Sadd SC,76,1,0,0,0,1,1,1,0,21,1,0,0,0.4,0.4,0.0,0,0,11,13,84.6,0,0,1,5dbefa9d
Jordan Ayew,9,FW,31-074,1.eng Crystal Palace,14,0,0,0,0,0,0,0,0,16,0,0,0,0.0,0.0,0.0,1,0,13,14,92.9,0,0,1,da052c14
Kudus Mohammed,20,CM,22-114,1.nl Ajax,76,0,0,0,0,2,1,1,0,33,1,0,3,0.1,0.1,0.0,1,0,17,27,63.0,1,4,4,b62878a5
Osman Bukari,11,CM,23-346,1.rs Red Star,14,1,0,0,0,2,1,0,0,10,0,0,0,0.4,0.4,0.0,0,0,4,5,80.0,1,0,1,eab85789
Salis Abdul Samed,21,CM,22-243,1.fr Lens,89,0,0,0,0,0,0,0,0,53,0,1,0,0.0,0.0,0.0,2,0,47,50,94.0,1,0,0,82464ce3
Daniel Kyereh,8,CB,26-261,1.de Freiburg,1,0,0,0,0,0,0,0,0,3,1,0,0,0.0,0.0,0.0,0,0,2,2,100.0,1,1,1,2770726a
Thomas Partey,5,CM,29-164,1.eng Arsenal,90,0,0,0,0,1,0,0,0,68,4,0,2,0.0,0.0,0.1,4,0,47,55,85.5,5,0,0,529f49ab
Baba Rahman,17,LB,28-145,2.eng Reading,90,0,0,0,0,0,0,0,0,47,1,0,0,0.0,0.0,0.0,3,1,27,41,65.9,7,0,2,e4086af3
Mohammed Salisu,4,CB,23-221,1.eng Southampton,90,0,0,0,0,1,0,0,0,54,1,2,1,0.0,0.0,0.0,2,2,32,47,68.1,1,0,0,0b33f6ad
Alexander Djiku,23,CB,28-107,1.fr Strasbourg,89,0,0,0,0,0,0,0,0,36,1,2,0,0.0,0.0,0.0,1,1,22,26,84.6,1,0,0,43e7a164
Antoine Semenyo,25,CM,22-321,2.eng Bristol City,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,efd2ec23
Daniel Amartey,18,CB,27-338,1.eng Leicester City,90,0,0,0,0,0,0,1,0,60,2,0,1,0.0,0.0,0.0,2,0,43,51,84.3,2,0,0,1a4ef233
Alidu Seidu,26,RB,22-173,1.fr Clermont Foot,65,0,0,0,0,1,0,1,0,29,0,0,1,0.0,0.0,0.0,1,0,19,23,82.6,0,2,4,cea59f02
Tariq Lamptey,2,RB,22-055,1.eng Brighton,25,0,0,0,0,0,0,0,0,16,1,1,0,0.0,0.0,0.0,0,0,8,13,61.5,1,0,0,f4e433d4
Lawrence Ati-Zigi,1,GK,25-360,1.ch St. Gallen,90,0,0,0,0,0,0,0,0,31,0,0,0,0.0,0.0,0.0,0,0,22,29,75.9,0,0,0,a12402c3
