Player,#,Pos,Age,Club,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att,-9999
Xherdan Shaqiri,23,FWRM,31-057,1.us Chicago Fire,90,0,0,0,0,2,1,0,0,41,0,0,0,0.1,0.1,0.1,3,0,28,38,73.7,4,0,2,6421ec64
Breel Embolo,7,FW,25-295,1.fr Monaco,88,0,0,0,0,2,0,0,0,22,0,0,1,0.1,0.1,0.0,3,0,13,17,76.5,1,1,1,0b4f388a
Ardon Jasari,26,FW,20-129,1.ch Luzern,2,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,5,6,83.3,0,0,1,889588db
Ruben Vargas,17,LWLM,24-123,1.de Augsburg,65,0,0,0,0,0,0,0,0,42,0,1,0,0.0,0.0,0.0,0,0,28,37,75.7,1,0,2,6ecbddf6
Noah Okafor,19,LM,22-196,1.at RB Salzburg,25,0,0,0,0,1,0,0,0,12,0,0,0,0.0,0.0,0.0,0,0,8,10,80.0,0,0,1,ca607d59
Edimilson Fernandes,2,RWRB,26-235,1.de Mainz 05,90,0,0,0,0,0,0,0,0,57,0,1,0,0.0,0.0,0.0,1,0,42,53,79.2,1,0,1,3bb625ac
Remo Freuler,8,CM,30-235,1.eng Nott'ham Forest,53,0,0,0,0,1,0,0,0,30,0,1,0,0.3,0.3,0.0,1,0,16,22,72.7,1,0,0,98d2c2c4
Denis Zakaria,6,CM,26-016,1.eng Chelsea,37,0,0,0,0,1,0,0,0,17,0,0,0,0.0,0.0,0.0,0,0,13,15,86.7,0,0,1,384d58d9
Djibril Sow,15,CM,25-303,1.de Eint Frankfurt,53,0,0,0,0,0,0,0,0,19,0,0,0,0.0,0.0,0.0,1,0,15,16,93.8,2,0,1,4c6facae
Haris Seferović,9,FW,30-287,1.tr Galatasaray,37,0,0,0,0,0,0,0,0,8,0,0,2,0.0,0.0,0.0,1,0,4,6,66.7,1,0,0,a45eac1f
Granit Xhaka,10,DMCM,30-070,1.eng Arsenal,90,0,0,0,0,1,0,0,0,81,2,0,1,0.0,0.0,0.0,2,0,65,76,85.5,6,1,1,e61b8aee
Ricardo Rodríguez,13,CBLB,30-103,1.it Torino,90,0,0,0,0,0,0,0,0,75,1,0,1,0.0,0.0,0.0,1,0,50,67,74.6,0,0,0,7f78ad23
Fabian Schär,22,CB,30-351,1.eng Newcastle Utd,45,0,0,0,0,1,0,1,0,40,1,0,0,0.0,0.0,0.0,1,0,29,36,80.6,2,0,0,c8aa95da
Eray Cömert,18,CB,24-305,1.es Valencia,45,0,0,0,0,0,0,1,0,47,0,2,1,0.0,0.0,0.0,1,0,36,39,92.3,1,0,1,15937e17
Manuel Akanji,5,CB,27-140,1.eng Manchester City,90,1,0,0,0,1,1,0,0,71,1,0,2,0.7,0.7,0.0,0,0,58,64,90.6,5,0,0,89ac64a6
Yann Sommer,1,GK,33-354,1.de M'Gladbach,90,0,0,0,0,0,0,0,0,37,0,0,0,0.0,0.0,0.0,1,0,32,35,91.4,0,0,0,420c18a1
