Player,#,Pos,Age,Club,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att,-9999
João Félix,11,FWRW,23-018,1.es Atlético Madrid,81,0,0,0,0,3,0,1,0,43,1,0,0,0.1,0.1,0.0,1,0,28,36,77.8,1,0,1,8aafd64f
Matheus Nunes,23,DM,24-093,1.eng Wolves,9,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.1,1,0,5,5,100.0,0,0,1,e6af02e0
Cristiano Ronaldo,7,FW,37-296,1.eng Manchester Utd,81,0,0,0,0,3,0,0,0,47,0,0,0,0.1,0.1,0.1,5,0,30,40,75.0,2,0,1,dea698d9
Gonçalo Ramos,26,FW,21-161,1.pt Benfica,9,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,5,5,100.0,0,0,0,f63cda26
Bruno Fernandes,8,AMRWRM,28-081,1.eng Manchester Utd,90,2,0,1,1,5,2,0,0,76,2,1,2,1.0,0.2,0.0,0,0,49,63,77.8,7,0,0,507c7bdf
William Carvalho,14,LMCM,30-235,1.es Betis,81,0,0,0,0,1,0,0,0,70,2,0,1,0.1,0.1,0.0,0,0,60,65,92.3,4,0,0,dee86451
João Palhinha,6,DM,27-142,1.eng Fulham,9,0,0,0,0,0,0,0,0,15,0,1,1,0.0,0.0,0.1,1,0,8,11,72.7,1,0,0,a78ff07f
Bernardo Silva,10,RMAMLM,28-110,1.eng Manchester City,90,0,0,0,0,0,0,0,0,67,0,0,2,0.0,0.0,0.1,6,2,53,63,84.1,1,1,2,3eb22ec9
Rúben Neves,18,DM,25-260,1.eng Wolves,68,0,0,0,0,1,0,1,0,58,1,0,1,0.0,0.0,0.0,2,0,43,52,82.7,0,0,0,44bfb6c5
Rafael Leão,15,LW,23-171,1.it Milan,22,0,0,0,0,1,0,0,0,16,0,1,0,0.0,0.0,0.0,2,0,9,13,69.2,2,2,2,20730eae
Nuno Mendes,19,LB,20-162,1.fr Paris S-G,41,0,0,0,0,0,0,0,0,36,0,2,1,0.0,0.0,0.0,5,0,29,32,90.6,2,1,2,f20e4cc9
Raphaël Guerreiro,5,LB,28-341,1.de Dortmund,49,0,1,0,0,0,0,0,0,38,1,0,3,0.0,0.0,0.0,2,1,25,30,83.3,2,1,1,048a1cbc
Rúben Dias,4,CB,25-198,1.eng Manchester City,90,0,0,0,0,0,0,1,0,67,0,0,1,0.0,0.0,0.0,0,0,57,62,91.9,1,0,0,31c69ef1
Pepe,3,CB,39-275,1.pt Porto,90,0,0,0,0,0,0,0,0,73,2,2,0,0.0,0.0,0.0,2,0,50,64,78.1,3,0,0,c906ce0f
João Cancelo,20,RB,28-185,1.eng Manchester City,90,0,0,0,0,0,0,0,0,75,1,0,0,0.0,0.0,0.0,1,0,51,62,82.3,1,1,2,bd6351cd
Diogo Costa,22,GK,23-070,1.pt Porto,90,0,0,0,0,0,0,0,0,41,0,0,0,0.0,0.0,0.0,0,0,23,40,57.5,0,0,0,93fffbcf
