Player,#,Pos,Age,Club,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att,-9999
Akram Afif,11,FW,26-002,1.qa Al Sadd SC,90,0,0,0,0,1,0,1,0,43,0,0,0,0.0,0.0,0.0,1,0,31,35,88.6,0,2,4,fd53d9e7
Almoez Ali,19,FW,26-093,1.qa Al Duhail SC,71,0,0,0,0,1,0,1,0,13,0,0,0,0.2,0.2,0.0,0,0,6,10,60.0,0,0,0,bae045a9
Mohammed Muntari,9,FW,28-335,1.qa Al Duhail SC,19,0,0,0,0,1,0,0,0,8,2,0,0,0.0,0.0,0.0,0,0,3,4,75.0,0,0,0,da38f46e
Abdulaziz Hatem,6,CM,32-023,1.qa Al Rayyan SC,90,0,0,0,0,0,0,0,0,47,1,0,0,0.0,0.0,0.0,0,0,30,44,68.2,1,0,0,c5065ef8
Karim Boudiaf,12,CM,32-065,1.qa Al Duhail SC,90,0,0,0,0,0,0,1,0,57,2,0,0,0.0,0.0,0.0,2,0,41,47,87.2,5,0,1,a38f33fd
Hassan Al-Haydos,10,CM,31-344,1.qa Al Sadd SC,70,0,0,0,0,0,0,0,0,38,3,0,0,0.0,0.0,0.2,1,0,22,29,75.9,0,0,0,41bd6c64
Mohammed Waad,4,CM,23-063,1.qa Al Sadd SC,20,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,1,0,2,4,50.0,0,1,1,94e8df02
Homam Ahmed,14,LB,23-087,1.qa Al-Gharafa Sports Club,90,0,0,0,0,0,0,0,0,48,2,1,0,0.0,0.0,0.0,1,0,28,40,70.0,0,3,5,a62fa158
Abdelkarim Hassan,3,CB,29-084,1.qa Al Sadd SC,90,0,0,0,0,1,0,0,0,75,0,0,0,0.0,0.0,0.0,1,0,55,67,82.1,5,1,3,7380bccf
Boualem Khoukhi,16,CB,32-134,1.qa Al Sadd SC,90,0,0,0,0,0,0,0,0,84,0,1,1,0.0,0.0,0.0,1,0,67,77,87.0,2,0,1,7be5ad52
Bassam Al-Rawi,15,CB,24-339,1.qa Al Duhail SC,90,0,0,0,0,0,0,0,0,68,0,0,0,0.0,0.0,0.0,1,0,47,57,82.5,6,1,1,d59acc5e
Ró-Ró,2,RB,32-106,1.qa Al Sadd SC,90,0,0,0,0,1,0,0,0,40,0,0,2,0.0,0.0,0.0,1,0,27,35,77.1,0,2,4,8735fe66
Saad Al Sheeb,1,GK,32-274,1.qa Al Sadd SC,90,0,0,0,0,0,0,1,0,22,0,0,0,0.0,0.0,0.0,0,0,18,20,90.0,0,0,0,e00ad66a
