Player,#,Pos,Age,Club,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att,-9999
Akram Afif,11,FW,26-007,1.qa Al Sadd SC,90,0,0,0,0,1,0,0,0,55,0,0,0,0.0,0.0,0.2,3,0,40,49,81.6,5,1,3,fd53d9e7
Almoez Ali,19,FW,26-098,1.qa Al Duhail SC,90,0,0,0,0,2,1,0,0,34,1,0,0,0.1,0.1,0.0,0,0,15,22,68.2,0,0,0,bae045a9
Hassan Al-Haydos,10,CM,31-349,1.qa Al Sadd SC,73,0,0,0,0,0,0,0,0,29,1,0,0,0.0,0.0,0.4,3,0,22,26,84.6,1,1,2,41bd6c64
Mohammed Muntari,9,CM,28-340,1.qa Al Duhail SC,17,1,0,0,0,2,1,0,0,5,0,0,0,0.2,0.2,0.0,0,0,2,2,100.0,0,0,0,da38f46e
Assim Madibo,23,CM,26-034,1.qa Al Duhail SC,90,0,0,0,0,0,0,1,0,50,4,2,2,0.0,0.0,0.0,2,0,36,42,85.7,4,0,0,2b1d2ada
Karim Boudiaf,12,CM,32-070,1.qa Al Duhail SC,68,0,0,0,0,0,0,0,0,40,0,0,0,0.0,0.0,0.0,1,0,32,36,88.9,0,0,0,a38f33fd
Abdulaziz Hatem,6,CM,32-028,1.qa Al Rayyan SC,22,0,0,0,0,0,0,0,0,11,0,1,0,0.0,0.0,0.0,2,0,8,9,88.9,0,0,0,c5065ef8
Homam Ahmed,14,LB,23-092,1.qa Al-Gharafa Sports Club,82,0,0,0,0,0,0,1,0,35,0,1,0,0.0,0.0,0.0,2,0,24,33,72.7,2,0,0,a62fa158
Mohammed Waad,4,CB,23-068,1.qa Al Sadd SC,8,0,0,0,0,0,0,0,0,10,0,1,1,0.0,0.0,0.0,0,0,7,8,87.5,0,0,0,94e8df02
Abdelkarim Hassan,3,CBLB,29-089,1.qa Al Sadd SC,90,0,0,0,0,4,0,0,0,62,4,0,2,0.2,0.2,0.0,3,1,33,48,68.8,2,0,1,7380bccf
Boualem Khoukhi,16,CB,32-139,1.qa Al Sadd SC,90,0,0,0,0,0,0,0,0,80,1,0,3,0.0,0.0,0.0,0,0,58,65,89.2,1,0,0,7be5ad52
Ró-Ró,2,CB,32-111,1.qa Al Sadd SC,82,0,0,0,0,0,0,0,0,45,4,3,0,0.0,0.0,0.0,0,0,22,35,62.9,2,0,0,8735fe66
Tarek Salman,5,CB,24-355,1.qa Al Sadd SC,8,0,0,0,0,0,0,0,0,14,1,1,0,0.0,0.0,0.0,0,0,7,10,70.0,0,0,0,420f4985
Ismail Mohamad,17,RB,32-234,1.qa Al Duhail SC,90,0,1,0,0,1,1,1,0,,,1,,,,,,,,,,,,,b554011a
Meshaal Barsham,22,GK,24-284,1.qa Al Sadd SC,90,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,1,0,27,32,84.4,0,0,0,8d3e92e0
