Player,#,Pos,Age,Club,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att,-9999
Boulaye Dia,9,FW,26-005,1.it Salernitana,68,0,0,0,0,2,1,0,0,15,0,0,0,0.1,0.1,0.0,1,0,10,11,90.9,1,0,1,244bc2c8
Bamba Dieng,20,FW,22-243,1.fr Marseille,22,0,0,0,0,2,0,0,0,5,1,0,0,0.2,0.2,0.0,0,0,0,1,0.0,0,0,0,40774c6b
Ismaila Sarr,18,LW,24-269,2.eng Watford,90,0,0,0,0,3,0,0,0,33,3,0,0,0.2,0.2,0.3,6,0,10,20,50.0,1,2,4,bfdb33aa
Krépin Diatta,15,RW,23-269,1.fr Monaco,73,0,0,0,0,2,0,0,0,42,0,0,0,0.1,0.1,0.1,1,0,33,36,91.7,5,0,1,8104e41e
Nicolas Jackson,7,RW,21-154,1.es Villarreal,17,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,2,0,9,10,90.0,0,0,0,9c36ed83
Idrissa Gana Gueye,5,AM,33-056,1.eng Everton,90,0,0,0,0,2,1,1,0,51,0,0,1,0.1,0.1,0.0,3,0,36,45,80.0,1,0,0,72c812f3
Nampalys Mendy,6,DM,30-151,1.eng Leicester City,90,0,0,0,0,0,0,1,0,60,3,1,0,0.0,0.0,0.0,3,0,37,49,75.5,1,0,0,1598599e
Cheikhou Kouyaté,8,DM,32-335,1.eng Nott'ham Forest,72,0,0,0,0,0,0,0,0,34,0,2,2,0.0,0.0,0.0,2,0,19,23,82.6,1,1,1,8d3c902d
Pape Gueye,26,DM,23-301,1.fr Marseille,18,0,0,0,0,1,1,0,0,17,0,2,0,0.0,0.0,0.0,1,0,9,14,64.3,1,0,0,7155e3e1
Abdou Diallo,22,LB,26-201,1.de RB Leipzig,61,0,0,0,0,0,0,0,0,38,2,0,0,0.0,0.0,0.1,1,0,13,30,43.3,0,0,0,fc62f087
Ismail Jakobs,14,LB,23-096,1.fr Monaco,29,0,0,0,0,1,0,0,0,16,0,1,0,0.0,0.0,0.1,1,0,9,11,81.8,1,0,0,a0415710
Pape Abou Cissé,4,CB,27-068,1.gr Olympiacos,90,0,0,0,0,0,0,0,0,35,0,2,1,0.0,0.0,0.0,1,0,19,25,76.0,0,1,1,8bc373ea
Kalidou Koulibaly,3,CB,31-154,1.eng Chelsea,90,0,0,0,0,0,0,0,0,61,2,0,1,0.0,0.0,0.0,2,0,42,50,84.0,4,0,0,da974c7b
Youssouf Sabaly,21,RB,29-261,1.es Betis,90,0,0,0,0,2,1,0,0,79,3,2,0,0.0,0.0,0.2,3,0,60,70,85.7,4,0,0,fbbb9269
Edouard Mendy,16,GK,30-265,1.eng Chelsea,90,0,0,0,0,0,0,0,0,34,0,0,0,0.0,0.0,0.0,0,0,27,32,84.4,0,0,0,33887998
