Player,#,Pos,Age,Club,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att,-9999
Aleksandar Mitrović,9,FW,28-077,1.eng Fulham,90,1,0,0,0,3,1,1,0,33,0,0,1,0.2,0.2,0.7,0,0,17,23,73.9,1,0,0,3925dbd6
Dušan Vlahović,18,FW,22-308,1.it Juventus,54,1,0,0,0,3,3,0,0,10,1,0,0,0.8,0.8,0.0,0,0,3,5,60.0,0,0,1,79443529
Luka Jović,11,FW,24-344,1.it Fiorentina,36,0,0,0,0,2,0,0,0,14,0,1,1,0.1,0.1,0.2,1,0,6,10,60.0,0,0,0,4d8cd038
Dušan Tadić,10,AM,34-012,1.nl Ajax,77,0,1,0,0,1,0,0,0,40,0,0,2,0.1,0.1,0.3,5,1,28,35,80.0,6,2,4,2475dcc6
Filip Đuričić,21,AM,30-306,1.it Sampdoria,13,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,1,0,2,3,66.7,0,0,0,eccbe56a
Sergej Milinković-Savić,20,CM,27-278,1.it Lazio,66,0,0,0,0,0,0,1,0,39,1,1,0,0.0,0.0,0.0,0,0,24,33,72.7,2,0,0,4e6dbac4
Nemanja Maksimović,6,CMCB,27-310,1.es Getafe,24,0,0,0,0,0,0,0,0,23,1,1,1,0.0,0.0,0.0,2,0,18,19,94.7,0,0,0,00b28772
Saša Lukić,16,CM,26-111,1.it Torino,90,0,0,0,0,0,0,1,0,62,0,0,1,0.0,0.0,0.0,0,0,52,60,86.7,1,0,0,c6e8cf1f
Filip Kostić,17,WB,30-031,1.it Juventus,90,0,0,0,0,0,0,0,0,61,3,0,2,0.0,0.0,0.0,4,1,35,55,63.6,2,0,1,b1cd37e6
Andrija Živković,14,WB,26-144,1.gr PAOK,77,0,0,0,0,1,0,0,0,42,2,1,3,0.1,0.1,0.0,3,0,21,29,72.4,1,0,1,321f83a2
Nemanja Radonjić,7,WB,26-290,1.it Torino,13,0,0,0,0,1,0,0,0,11,0,0,0,0.1,0.1,0.0,1,0,5,7,71.4,0,0,3,0630eb63
Strahinja Pavlović,2,CB,21-192,1.at RB Salzburg,90,0,0,0,0,0,0,1,0,93,2,0,4,0.0,0.0,0.0,2,0,64,83,77.1,10,0,0,25146df0
Miloš Veljković,5,CB,27-067,1.de Werder Bremen,54,0,0,0,0,0,0,0,0,33,1,0,0,0.0,0.0,0.0,0,0,27,31,87.1,0,0,0,a5ae8f8e
Nemanja Gudelj,8,CB,31-016,1.es Sevilla,36,0,0,0,0,0,0,1,0,21,1,0,0,0.0,0.0,0.0,0,0,17,21,81.0,2,0,0,0076ab7f
Nikola Milenković,4,CB,25-051,1.it Fiorentina,90,0,0,0,0,1,0,1,0,67,1,2,2,0.1,0.1,0.0,0,0,52,60,86.7,1,0,0,bee704fc
Vanja Milinković-Savić,23,GK,25-285,1.it Torino,90,0,0,0,0,0,0,0,0,48,0,0,0,0.0,0.0,0.0,0,0,29,45,64.4,0,0,0,9fa26bc2
