Player,#,Pos,Age,Club,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att,-9999
Anthony Contreras,7,FWRM,22-298,1.cr Club Sport Herediano,60,0,0,0,0,0,0,0,0,13,3,1,0,0.0,0.0,0.0,0,0,4,7,57.1,0,0,0,d05ca2cc
Álvaro Zamora,26,RM,20-259,1.cr Deportivo Saprissa,30,0,0,0,0,0,0,0,0,9,2,1,0,0.0,0.0,0.0,0,0,5,5,100.0,1,0,0,d050756d
Joel Campbell,12,FWRM,30-150,1.mx León,90,0,0,0,0,0,0,1,0,33,2,0,2,0.0,0.0,0.0,0,0,18,25,72.0,1,0,0,895ff3ca
Jewison Bennette,9,LM,18-161,2.eng Sunderland,60,0,0,0,0,0,0,0,0,11,0,0,2,0.0,0.0,0.0,0,0,3,4,75.0,0,1,1,58f5704e
Bryan Ruiz,10,LM,37-097,1.cr Liga Deportiva Alajuelense,30,0,0,0,0,0,0,0,0,14,1,0,1,0.0,0.0,0.0,0,0,8,12,66.7,0,1,1,fa6292e2
Yeltsin Tejeda,17,CM,30-251,1.cr Club Sport Herediano,90,0,0,0,0,0,0,0,0,23,1,0,1,0.0,0.0,0.0,0,0,12,17,70.6,2,0,0,74319b04
Celso Borges,5,CM,34-180,1.cr Liga Deportiva Alajuelense,71,0,0,0,0,0,0,0,0,28,0,2,1,0.0,0.0,0.0,0,0,22,26,84.6,3,0,0,b8836910
Brandon Aguilera,20,CM,19-148,1.cr Asociación Deportiva Guanacasteca,19,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,8,10,80.0,1,0,0,938fa024
Keysher Fuller,4,RBRM,28-135,1.cr Club Sport Herediano,90,0,0,0,0,0,0,0,0,29,2,3,2,0.0,0.0,0.0,0,0,10,16,62.5,0,0,1,78019e88
Bryan Oviedo,8,LB,32-278,1.us Real Salt Lake,81,0,0,0,0,0,0,0,0,28,3,1,1,0.0,0.0,0.0,0,0,12,19,63.2,1,0,0,31faf295
Rónald Matarrita,22,LB,28-137,1.us FC Cincinnati,9,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,9,12,75.0,0,0,0,491862dd
Francisco Calvo,15,CB,30-138,1.tr Konyaspor,90,0,0,0,0,0,0,1,0,33,5,0,0,0.0,0.0,0.0,0,0,17,25,68.0,2,0,0,706bd23f
Óscar Duarte,6,CB,33-173,1.sa Al-Wehda,90,0,0,0,0,0,0,0,0,33,0,2,1,0.0,0.0,0.0,0,0,15,25,60.0,0,0,0,aa0ac32d
Carlos Martínez,16,RBCB,23-238,1.cr AD San Carlos,45,0,0,0,0,0,0,0,0,20,1,1,1,0.0,0.0,0.0,0,0,10,15,66.7,0,0,0,9acb9d76
Kendall Waston,19,CB,34-326,1.cr Deportivo Saprissa,45,0,0,0,0,0,0,0,0,19,0,2,1,0.0,0.0,0.0,0,0,10,13,76.9,0,0,0,02ea59b0
Keylor Navas,1,GK,35-343,1.fr Paris S-G,90,0,0,0,0,0,0,0,0,28,1,1,0,0.0,0.0,0.0,0,0,15,25,60.0,0,0,0,ecada4fc
