Player,#,Pos,Age,Club,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att,-9999
Thomas Müller,13,FW,33-075,1.de Bayern Munich,69,0,0,0,0,0,0,0,0,17,0,0,2,0.0,0.0,0.0,0,0,8,12,66.7,1,0,0,3c6089ab
Niclas Füllkrug,9,FW,29-291,1.de Werder Bremen,21,1,0,0,0,3,1,0,0,12,0,0,0,0.6,0.6,0.0,2,0,5,7,71.4,1,1,1,4f16405e
Jamal Musiala,14,LWAM,19-274,1.de Bayern Munich,90,0,1,0,0,1,1,0,0,37,0,1,1,0.4,0.4,0.6,6,0,17,19,89.5,0,5,10,2c0558b8
Serge Gnabry,10,RWLW,27-136,1.de Bayern Munich,84,0,0,0,0,2,0,0,0,30,2,1,2,0.1,0.1,0.0,1,0,12,19,63.2,1,0,1,88e357ef
Jonas Hofmann,18,LW,30-136,1.de M'Gladbach,6,0,0,0,0,0,0,0,0,4,0,0,2,0.0,0.0,0.0,0,0,1,2,50.0,0,0,0,2903a856
İlkay Gündoğan,21,AM,32-034,1.eng Manchester City,69,0,0,0,0,0,0,0,0,27,3,1,1,0.0,0.0,0.1,1,0,12,18,66.7,0,1,1,819b3158
Leroy Sané,19,RW,26-320,1.de Bayern Munich,21,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.4,3,1,5,10,50.0,2,2,3,2b114be3
Leon Goretzka,8,DM,27-294,1.de Bayern Munich,90,0,0,0,0,1,0,1,0,38,5,1,1,0.0,0.0,0.0,0,0,19,27,70.4,1,0,0,cc86b9a3
Joshua Kimmich,6,DM,27-292,1.de Bayern Munich,90,0,0,0,0,2,1,1,0,52,3,1,1,0.1,0.1,0.0,2,0,29,39,74.4,3,1,2,49296448
David Raum,3,LB,24-219,1.de RB Leipzig,86,0,0,0,0,0,0,0,0,62,2,5,5,0.0,0.0,0.1,3,0,34,48,70.8,2,1,1,7d450ed3
Nico Schlotterbeck,23,LB,22-361,1.de Dortmund,4,0,0,0,0,0,0,0,0,6,1,0,0,0.0,0.0,0.0,0,0,3,4,75.0,1,0,0,34e12499
Antonio Rüdiger,2,CB,29-269,1.es Real Madrid,90,0,0,0,0,2,1,0,0,54,2,0,0,0.0,0.0,0.0,0,0,40,49,81.6,2,0,0,18b896d6
Niklas Süle,15,CB,27-085,1.de Dortmund,90,0,0,0,0,0,0,0,0,59,5,0,0,0.0,0.0,0.0,0,0,41,50,82.0,2,0,0,e33c06cf
Thilo Kehrer,5,RB,26-067,1.eng West Ham,69,0,0,0,0,0,0,1,0,43,6,3,1,0.0,0.0,0.0,1,0,22,29,75.9,1,0,0,51dbeea9
Lukas Klostermann,16,RB,26-177,1.de RB Leipzig,21,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,1,1,8,9,88.9,0,0,0,ca8033cb
Manuel Neuer,1,GK,36-245,1.de Bayern Munich,90,0,0,0,0,0,0,0,0,40,0,0,0,0.0,0.0,0.0,0,0,31,39,79.5,0,0,0,8778c910
