Player,#,Pos,Age,Club,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att,-9999
Breel Embolo,7,FW,25-283,1.fr Monaco,71,1,0,0,0,1,1,0,0,27,1,0,0,0.5,0.5,0.0,0,0,13,18,72.2,1,0,0,0b4f388a
Haris Seferović,9,FW,30-275,1.tr Galatasaray,19,0,0,0,0,1,0,0,0,8,0,0,0,0.2,0.2,0.0,0,0,4,5,80.0,0,0,0,a45eac1f
Ruben Vargas,17,LW,24-111,1.de Augsburg,80,0,0,0,0,1,1,0,0,40,0,0,0,0.2,0.2,0.4,2,0,23,36,63.9,2,0,2,6ecbddf6
Fabian Rieder,25,LW,20-281,1.ch Young Boys,10,0,0,0,0,0,0,0,0,10,0,0,1,0.0,0.0,0.2,1,0,5,9,55.6,1,0,0,c2bd8585
Xherdan Shaqiri,23,RW,31-045,1.us Chicago Fire,71,0,1,0,0,0,0,0,0,42,0,0,0,0.0,0.0,0.5,1,1,23,41,56.1,4,0,1,6421ec64
Noah Okafor,19,RW,22-184,1.at RB Salzburg,19,0,0,0,0,0,0,0,0,15,0,0,1,0.0,0.0,0.0,1,0,9,12,75.0,0,0,0,ca607d59
Djibril Sow,15,AM,25-291,1.de Eint Frankfurt,70,0,0,0,0,0,0,0,0,37,1,0,0,0.0,0.0,0.0,1,0,31,34,91.2,2,0,0,4c6facae
Fabian Frei,20,AM,33-320,1.ch Basel,20,0,0,0,0,0,0,0,0,12,0,1,0,0.0,0.0,0.0,0,0,7,11,63.6,0,0,0,9fb640a8
Granit Xhaka,10,DM,30-058,1.eng Arsenal,90,0,0,0,0,2,1,0,0,51,1,0,0,0.1,0.1,0.0,0,0,38,44,86.4,6,0,0,e61b8aee
Remo Freuler,8,DM,30-223,1.eng Nott'ham Forest,90,0,0,0,0,0,0,0,0,72,3,0,0,0.0,0.0,0.0,4,1,60,66,90.9,7,0,1,98d2c2c4
Ricardo Rodríguez,13,LB,30-091,1.it Torino,89,0,0,0,0,0,0,0,0,61,2,0,0,0.0,0.0,0.0,0,0,46,57,80.7,4,0,0,7f78ad23
Eray Cömert,18,LB,24-293,1.es Valencia,1,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,0,0,15937e17
Nico Elvedi,4,CB,26-055,1.de M'Gladbach,90,0,0,0,0,1,0,1,0,83,2,0,2,0.1,0.1,0.0,0,0,65,71,91.5,4,0,0,48035304
Manuel Akanji,5,CB,27-128,1.eng Manchester City,90,0,0,0,0,1,0,1,0,67,1,1,0,0.3,0.3,0.0,0,0,57,65,87.7,6,0,0,89ac64a6
Silvan Widmer,3,RB,29-264,1.de Mainz 05,90,0,0,0,0,0,0,0,0,68,4,1,1,0.0,0.0,0.2,2,0,41,52,78.8,3,0,0,f68b64fc
Yann Sommer,1,GK,33-342,1.de M'Gladbach,90,0,0,0,0,0,0,0,0,38,0,0,0,0.0,0.0,0.0,0,0,31,34,91.2,0,0,0,420c18a1
