Player,#,Pos,Age,Club,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att,-9999
Issam Jebali,9,FW,30-336,1.dk Odense,72,0,0,0,0,0,0,0,0,20,0,0,0,0.0,0.0,0.1,1,0,11,15,73.3,0,1,2,4b751020
Taha Yassine Khenissi,11,FW,30-324,1.kw Kuwait SC,18,0,0,0,0,1,0,0,0,5,0,0,0,0.0,0.0,0.1,1,0,1,3,33.3,0,0,0,44d6aedb
Youssef Msakni,7,AMLW,32-029,1.qa Al-Arabi SC,90,0,0,0,0,6,2,0,0,59,1,0,1,0.4,0.4,0.1,4,0,31,42,73.8,3,1,4,0083e371
Naïm Sliti,23,AMRW,30-122,1.sa Al-Ettifaq,90,0,0,0,0,1,0,0,0,55,3,0,0,0.1,0.1,0.1,5,0,22,40,55.0,7,3,6,2e0367a6
Aïssa Laïdouni,14,CM,25-348,1.hu Ferencváros,66,0,0,0,0,0,0,1,0,39,0,0,3,0.0,0.0,0.1,1,0,25,34,73.5,2,0,0,22798128
Wahbi Khazri,10,AMCM,31-291,1.fr Montpellier,24,0,0,0,0,2,1,0,0,16,2,0,0,0.1,0.1,0.0,0,0,4,9,44.4,1,0,1,2677a1de
Ellyes Skhiri,17,CMDM,27-200,1.de Köln,90,0,0,0,0,0,0,0,0,66,2,2,1,0.0,0.0,0.0,1,0,49,59,83.1,6,0,1,c2211709
Ali Abdi,24,WBLB,28-341,2.fr Caen,90,0,0,0,0,0,0,1,0,86,1,3,1,0.0,0.0,0.0,2,0,45,71,63.4,4,0,1,ad7cdb35
Mohamed Dräger,20,WB,26-154,1.ch Luzern,45,0,0,0,0,2,0,0,0,30,3,1,0,0.2,0.2,0.0,1,0,14,19,73.7,2,1,1,8954fddc
Ferjani Sassi,13,DMWB,30-253,1.qa Al Duhail SC,45,0,0,0,0,1,0,1,0,37,2,1,1,0.0,0.0,0.0,3,0,25,32,78.1,4,2,3,35bf6065
Montassar Talbi,3,CB,24-184,1.fr Lorient,90,0,0,0,0,1,1,0,0,76,0,1,2,0.0,0.0,0.0,0,0,55,61,90.2,9,0,1,a4a44eb0
Yassine Meriah,4,CB,29-147,1.tn Espérance de Tunis,90,0,0,0,0,0,0,0,0,100,2,0,3,0.0,0.0,0.0,2,0,63,82,76.8,4,1,3,3640af28
Dylan Bronn,6,CBRB,27-160,1.it Salernitana,72,0,0,0,0,0,0,0,0,58,2,0,1,0.0,0.0,0.0,1,0,45,56,80.4,4,0,0,edd81e2a
Wajdi Kechrida,21,RB,27-021,1.gr Atromitos,18,0,0,0,0,0,0,0,0,17,0,0,0,0.0,0.0,0.1,3,0,14,19,73.7,3,0,0,11962fe7
Aimen Dahmen,16,GK,25-302,1.tn CS Sfaxien,90,0,0,0,0,0,0,0,0,23,0,0,0,0.0,0.0,0.0,0,0,14,23,60.9,0,0,0,8bf49030
