Player,#,Pos,Age,Club,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att,-9999
Wahbi Khazri,10,FW,31-295,1.fr Montpellier,59,1,0,0,0,3,2,0,0,20,0,0,0,0.3,0.3,0.0,0,0,9,11,81.8,1,0,2,2677a1de
Issam Jebali,9,FW,30-340,1.dk Odense,31,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,3,5,60.0,0,0,0,4b751020
Mohamed Ali Ben Romdhane,15,AM,23-085,1.tn Espérance de Tunis,73,0,0,0,0,0,0,0,0,31,5,0,1,0.0,0.0,0.0,0,0,14,21,66.7,0,1,3,b4db6d4d
Ghaylène Chaalali,18,AM,28-275,1.tn Espérance de Tunis,17,0,0,0,0,0,0,0,0,11,0,2,1,0.0,0.0,0.0,0,0,3,4,75.0,1,0,0,fb3f920a
Anis Ben Slimane,25,AM,21-259,1.dk Brøndby,82,0,0,0,0,1,1,0,0,41,3,1,1,0.1,0.1,0.0,2,0,15,24,62.5,0,0,0,9ade9ce1
Ali Abdi,24,AM,28-345,2.fr Caen,8,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,ad7cdb35
Aïssa Laïdouni,14,CM,25-352,1.hu Ferencváros,90,0,1,0,0,1,0,0,0,59,1,2,2,0.1,0.1,0.4,3,1,37,43,86.0,4,0,2,22798128
Ellyes Skhiri,17,CM,27-204,1.de Köln,90,0,0,0,0,0,0,0,0,49,4,3,1,0.0,0.0,0.1,2,1,30,35,85.7,5,1,2,c2211709
Ali Maâloul,12,WB,32-333,1.eg Al Ahly SC,90,0,0,0,0,0,0,0,0,70,1,0,2,0.0,0.0,0.0,2,0,39,63,61.9,4,0,0,c69ff23a
Wajdi Kechrida,21,WB,27-025,1.gr Atromitos,90,0,0,0,0,0,0,1,0,53,2,0,2,0.0,0.0,0.0,1,0,30,49,61.2,1,0,3,11962fe7
Montassar Talbi,3,CB,24-188,1.fr Lorient,90,0,0,0,0,0,0,0,0,39,2,0,2,0.0,0.0,0.0,0,0,25,29,86.2,2,0,0,a4a44eb0
Nader Ghandri,5,CB,27-285,1.tn Club Africain,90,0,0,0,0,0,0,0,0,45,2,1,4,0.0,0.0,0.0,0,0,27,33,81.8,1,0,0,7f1c7219
Yassine Meriah,4,CB,29-151,1.tn Espérance de Tunis,90,0,0,0,0,0,0,0,0,43,2,0,2,0.0,0.0,0.0,0,0,32,35,91.4,6,1,1,3640af28
Aimen Dahmen,16,GK,25-306,1.tn CS Sfaxien,90,0,0,0,0,0,0,0,0,19,0,0,0,0.0,0.0,0.0,0,0,8,16,50.0,0,0,0,8bf49030
