Player,#,Pos,Age,Club,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att,-9999
Luis Suárez,9,FW,35-304,1.uy Nacional,63,0,0,0,0,0,0,0,0,18,0,0,0,0.0,0.0,0.0,0,0,7,14,50.0,0,0,0,a6154613
Edinson Cavani,21,FW,35-283,1.es Valencia,27,0,0,0,0,2,0,0,0,9,0,0,0,0.2,0.2,0.0,1,0,6,6,100.0,1,0,0,527f063d
Darwin Núñez,11,LW,23-153,1.eng Liverpool,90,0,0,0,0,1,0,0,0,30,1,0,1,0.0,0.0,0.0,3,0,12,21,57.1,1,0,3,4d77b365
Facundo Pellistri,8,RW,20-339,1.eng Manchester Utd,87,0,0,0,0,0,0,0,0,31,1,0,0,0.0,0.0,0.1,0,0,14,21,66.7,0,0,4,ac7e7b1c
Guillermo Varela,13,RW,29-245,1.br Flamengo,3,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,3,3,100.0,0,0,0,5c961282
Matías Vecino,5,LM,31-092,1.it Lazio,77,0,0,0,0,1,1,0,0,50,1,3,3,0.1,0.1,0.0,0,0,29,41,70.7,4,0,0,44ac04e9
Nicolás De La Cruz,7,LM,25-176,1.ar River Plate,13,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,1,0,10,12,83.3,0,0,0,8fda5c72
Rodrigo Bentancur,6,CM,25-152,1.eng Tottenham,90,0,0,0,0,1,0,0,0,97,3,3,2,0.1,0.1,0.1,4,0,69,78,88.5,4,1,2,3b8674e6
Federico Valverde,15,RM,24-125,1.es Real Madrid,90,0,0,0,0,3,0,0,0,76,2,0,1,0.1,0.1,0.1,6,0,57,66,86.4,4,1,3,0959c2a2
Mathías Olivera,16,LB,25-024,1.it Napoli,78,0,0,0,0,0,0,0,0,63,3,1,1,0.0,0.0,0.1,3,0,40,50,80.0,4,0,0,41c12f75
Matías Viña,17,LB,25-015,1.it Roma,12,0,0,0,0,0,0,0,0,12,2,0,0,0.0,0.0,0.0,0,0,7,10,70.0,0,0,0,08eb3b58
José María Giménez,2,CB,27-308,1.es Atlético Madrid,90,0,0,0,0,1,0,0,0,94,3,2,0,0.0,0.0,0.0,1,0,66,81,81.5,7,0,0,f0da930c
Diego Godín,3,CB,36-281,1.ar Vélez Sarsf,90,0,0,0,0,1,0,0,0,90,0,1,0,0.1,0.1,0.0,0,0,68,80,85.0,3,0,0,fc4f85b1
Martín Cáceres,22,RB,35-231,1.us LA Galaxy,90,0,0,0,0,0,0,1,0,83,0,0,0,0.0,0.0,0.0,1,0,68,79,86.1,2,1,1,e94d79e3
Sergio Rochet,23,GK,29-246,1.uy Nacional,90,0,0,0,0,0,0,0,0,24,0,0,0,0.0,0.0,0.0,0,0,19,23,82.6,0,0,0,81b99b9e
