Player,#,Pos,Age,Club,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att,-9999
Kieffer Moore,13,FW,30-113,1.eng Bournemouth,90,0,0,0,0,2,1,0,0,31,0,0,2,0.1,0.1,0.0,1,0,10,17,58.8,0,0,0,01ce9e70
Daniel James,20,LW,25-019,1.eng Fulham,76,0,0,0,0,0,0,1,0,18,0,0,1,0.0,0.0,0.0,0,0,10,15,66.7,0,0,0,c931d9f9
Harry Wilson,8,LW,25-252,1.eng Fulham,14,0,0,0,0,1,0,0,0,8,0,0,0,0.1,0.1,0.0,0,0,6,7,85.7,0,0,0,c6dc9ecd
Gareth Bale,11,RW,33-136,1.us Los Angeles FC,45,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,1,5,20.0,0,0,0,a58bb1e1
Brennan Johnson,9,RW,21-190,1.eng Nott'ham Forest,45,0,0,0,0,1,0,0,0,7,0,0,1,0.1,0.1,0.0,0,0,2,3,66.7,0,0,2,0cd31129
Aaron Ramsey,10,AM,31-338,1.fr Nice,90,0,0,0,0,0,0,1,0,38,1,0,3,0.0,0.0,0.0,1,0,23,29,79.3,1,0,1,ef619b0b
Ethan Ampadu,15,DMRB,22-076,1.it Spezia,90,0,0,0,0,0,0,0,0,45,2,2,3,0.0,0.0,0.1,4,0,26,34,76.5,2,0,0,10b9fa99
Joe Allen,7,DM,32-260,2.eng Swansea City,80,0,0,0,0,2,0,0,0,35,1,1,0,0.1,0.1,0.1,1,0,24,28,85.7,1,0,0,9feb8f24
Rubin Colwill,25,DM,20-216,2.eng Cardiff City,10,0,0,0,0,1,0,0,0,6,0,0,1,0.0,0.0,0.0,2,0,2,4,50.0,0,0,0,f170b63e
Ben Davies,4,LB,29-219,1.eng Tottenham,58,0,0,0,0,0,0,0,0,33,2,0,0,0.0,0.0,0.0,1,0,15,30,50.0,0,0,1,44781702
Joe Morrell,16,DM,25-330,3.eng Portsmouth,32,0,0,0,0,0,0,0,0,19,2,1,1,0.0,0.0,0.0,0,0,11,12,91.7,1,0,0,3b935a91
Joe Rodon,6,CB,25-038,1.fr Rennes,90,0,0,0,0,0,0,0,0,56,0,1,1,0.0,0.0,0.0,1,0,45,49,91.8,0,0,0,8d62d31a
Chris Mepham,5,CB,25-024,1.eng Bournemouth,90,0,0,0,0,0,0,0,0,61,3,1,2,0.0,0.0,0.1,1,0,46,51,90.2,2,0,0,fed96827
Neco Williams,3,RB,21-230,1.eng Nott'ham Forest,36,0,0,0,0,0,0,0,0,12,0,1,1,0.0,0.0,0.0,0,0,4,7,57.1,0,0,1,dd323728
Connor Roberts,14,LBRB,27-067,2.eng Burnley,54,0,0,0,0,0,0,0,0,32,1,0,0,0.0,0.0,0.0,2,0,27,29,93.1,3,0,0,24fae784
Danny Ward,12,GK,29-160,1.eng Leicester City,90,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,0,0,20,32,62.5,0,0,0,d3ce0e89
