Player,#,Pos,Age,Club,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att,-9999
Sardar Azmoun,20,FW,27-328,1.de Leverkusen,67,0,0,0,0,4,2,0,0,21,0,0,0,0.4,0.4,0.1,3,0,8,13,61.5,1,0,1,10549b49
Karim Ansarifard,10,FW,32-236,1.cy AC Omonia,23,0,0,0,0,1,0,0,0,7,0,1,0,0.1,0.1,0.1,3,0,2,3,66.7,0,0,0,50cddd19
Mehdi Taremi,9,LWFW,30-130,1.pt Porto,90,0,1,0,0,2,0,0,0,37,0,0,2,0.1,0.1,0.6,8,2,15,23,65.2,2,1,4,4c2a5d34
Ali Gholizadeh,17,RW,26-260,1.be Charleroi,76,0,0,0,0,1,0,0,0,36,0,0,2,0.0,0.0,0.0,4,0,21,32,65.6,3,1,3,9fc0ac41
Alireza Jahanbakhsh,7,RM,29-106,1.nl Feyenoord,14,0,0,0,0,2,0,1,0,11,0,0,0,0.1,0.1,0.0,4,2,6,8,75.0,1,1,1,08452314
Ehsan Hajsafi,3,LM,32-273,1.gr AEK Athens,76,0,0,0,0,1,0,0,0,41,3,1,0,0.2,0.2,0.1,2,0,20,33,60.6,2,0,1,b060e3b8
Mehdi Torabi,16,LM,28-076,1.ir Persepolis,14,0,0,0,0,1,0,0,0,15,0,0,1,0.1,0.1,0.0,1,0,6,11,54.5,2,1,1,74567feb
Saeid Ezatolahi,6,CM,26-055,2.dk Vejle BK,82,0,0,0,0,1,1,0,0,38,5,1,3,0.1,0.1,0.1,2,0,17,26,65.4,1,0,0,314d95ac
Ali Karimi,18,CM,28-287,1.tr Kayserispor,8,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,3,8,37.5,1,0,0,3840bfb9
Ahmad Nourollahi,21,RM,29-296,1.ae Al-Ahli Dubai FC,77,0,0,0,0,4,1,0,0,37,3,4,3,0.1,0.1,0.0,0,0,13,20,65.0,2,1,2,2c5273b8
Roozbeh Cheshmi,15,CM,29-124,1.ir Esteghlal,13,1,0,0,0,1,1,0,0,6,0,1,0,0.1,0.1,0.0,0,0,2,2,100.0,0,0,0,87c75fb3
Milad Mohammadi,5,LB,29-057,1.gr AEK Athens,90,0,0,0,0,0,0,0,0,46,4,0,2,0.0,0.0,0.0,0,0,21,39,53.8,1,0,0,740a0e28
Morteza Pouraliganji,8,CB,30-220,1.ir Persepolis,90,0,0,0,0,1,0,0,0,37,0,4,1,0.0,0.0,0.0,2,0,15,27,55.6,3,0,0,2c2066f4
Majid Hosseini,19,CB,26-158,1.tr Kayserispor,90,0,0,0,0,0,0,0,0,40,1,1,0,0.0,0.0,0.0,0,0,25,31,80.6,1,0,0,d2161bae
Ramin Rezaeian,23,RB,32-249,1.ir Sepahan,90,1,0,0,0,2,1,1,0,59,3,1,1,0.3,0.3,0.1,6,0,33,47,70.2,4,0,0,c0ae3446
Hossein Hosseini,24,GK,30-148,1.ir Esteghlal,90,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.0,0,0,15,27,55.6,0,0,0,fb24817c
