Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Group stage,1,Sun,2022-11-20,19:00 (13:00),Qatar,0.3,0–2,1.2,Ecuador,67372,Al Bayt Stadium (Neutral Site),Daniele Orsato,Match Report,
Group stage,1,Mon,2022-11-21,16:00 (10:00),England,2.1,6–2,1.4,Iran,45334,Khalifa International Stadium (Neutral Site),Raphael Claus,Match Report,
Group stage,1,Mon,2022-11-21,19:00 (13:00),Senegal,0.9,0–2,0.7,Netherlands,41721,Al Thumama Stadium (Neutral Site),Wilton Sampaio,Match Report,
Group stage,1,Mon,2022-11-21,22:00 (16:00),United States,0.8,1–1,1.5,Wales,43418,Ahmed bin Ali Stadium (Neutral Site),Abdulrahman Ibrahim Al Jassim,Match Report,
Group stage,1,Tue,2022-11-22,13:00 (07:00),Argentina,2.2,1–2,0.1,Saudi Arabia,88012,Lusail Iconic Stadium (Neutral Site),Slavko Vinčič,Match Report,
Group stage,1,Tue,2022-11-22,16:00 (10:00),Denmark,1.4,0–0,0.9,Tunisia,42925,Education City Stadium (Neutral Site),César Arturo Ramos,Match Report,
Group stage,1,Tue,2022-11-22,19:00 (13:00),Mexico,0.7,0–0,0.9,Poland,39369,Stadium 974 (Neutral Site),Chris Beath,Match Report,
Group stage,1,Tue,2022-11-22,22:00 (16:00),France,4.0,4–1,0.5,Australia,40875,Al Janoub Stadium (Neutral Site),Victor Gomes,Match Report,
Group stage,1,Wed,2022-11-23,13:00 (07:00),Morocco,0.4,0–0,0.5,Croatia,59407,Al Bayt Stadium (Neutral Site),Fernando Rapallini,Match Report,
Group stage,1,Wed,2022-11-23,16:00 (10:00),Germany,3.1,1–2,1.5,Japan,42608,Khalifa International Stadium (Neutral Site),Iván Barton,Match Report,
Group stage,1,Wed,2022-11-23,19:00 (13:00),Spain,3.5,7–0,0.0,Costa Rica,40013,Al Thumama Stadium (Neutral Site),Mohammed Abdulla Hassan,Match Report,
Group stage,1,Wed,2022-11-23,22:00 (16:00),Belgium,0.8,1–0,2.4,Canada,40432,Ahmed bin Ali Stadium (Neutral Site),Janny Sikazwe,Match Report,
Group stage,1,Thu,2022-11-24,13:00 (07:00),Switzerland,1.4,1–0,0.7,Cameroon,39089,Al Janoub Stadium (Neutral Site),Facundo Tello,Match Report,
Group stage,1,Thu,2022-11-24,16:00 (10:00),Uruguay,0.6,0–0,0.6,Korea Republic,41663,Education City Stadium (Neutral Site),Clément Turpin,Match Report,
Group stage,1,Thu,2022-11-24,19:00 (13:00),Portugal,2.0,3–2,0.9,Ghana,42662,Stadium 974 (Neutral Site),Ismail Elfath,Match Report,
Group stage,1,Thu,2022-11-24,22:00 (16:00),Brazil,2.4,2–0,0.2,Serbia,88103,Lusail Iconic Stadium (Neutral Site),Alireza Faghani,Match Report,
Group stage,2,Fri,2022-11-25,13:00 (07:00),Wales,0.9,0–2,1.4,Iran,40875,Ahmed bin Ali Stadium (Neutral Site),Mario Escobar,Match Report,
Group stage,2,Fri,2022-11-25,16:00 (10:00),Qatar,1.0,1–3,0.8,Senegal,41797,Al Thumama Stadium (Neutral Site),Antonio Matéu,Match Report,
Group stage,2,Fri,2022-11-25,19:00 (13:00),Netherlands,0.1,1–1,1.7,Ecuador,44833,Khalifa International Stadium (Neutral Site),Mustapha Ghorbal,Match Report,
